pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=100
adv.epoch_per_test=10
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 23:53:19.914837
Test_MRR=0.004358, Test_MR=7352.499865, Test_H@10=0.004444
Epoch: 0: 2022-04-21 00:03:01.418686
Epoch 1/1000, D_loss=2.751854, reward=-9.397502
Epoch: 1: 2022-04-21 00:03:07.247832
Epoch 2/1000, D_loss=2.347040, reward=-8.882593
Epoch: 2: 2022-04-21 00:03:12.709442
Epoch 3/1000, D_loss=2.028133, reward=-8.475486
Epoch: 3: 2022-04-21 00:03:18.118795
Epoch 4/1000, D_loss=1.745232, reward=-8.148358
Epoch: 4: 2022-04-21 00:03:23.593265
Epoch 5/1000, D_loss=1.494873, reward=-7.901839
Epoch: 5: 2022-04-21 00:03:29.276999
Epoch 6/1000, D_loss=1.273623, reward=-7.736761
Epoch: 6: 2022-04-21 00:03:34.686115
Epoch 7/1000, D_loss=1.072178, reward=-7.652810
Epoch: 7: 2022-04-21 00:03:40.095027
Epoch 8/1000, D_loss=0.902724, reward=-7.612903
Epoch: 8: 2022-04-21 00:03:45.731879
Epoch 9/1000, D_loss=0.759422, reward=-7.601855
Epoch: 9: 2022-04-21 00:03:51.201420
Epoch 10/1000, D_loss=0.647217, reward=-7.604883
Test_MRR=0.196812, Test_MR=728.053000, Test_H@10=0.347380
Epoch: 10: 2022-04-21 00:11:19.788502
Epoch 11/1000, D_loss=0.562644, reward=-7.616730
Epoch: 11: 2022-04-21 00:11:25.319640
Epoch 12/1000, D_loss=0.495018, reward=-7.633842
Epoch: 12: 2022-04-21 00:11:30.951239
Epoch 13/1000, D_loss=0.446281, reward=-7.647080
Epoch: 13: 2022-04-21 00:11:36.694430
Epoch 14/1000, D_loss=0.404994, reward=-7.667175
Epoch: 14: 2022-04-21 00:11:42.219422
Epoch 15/1000, D_loss=0.374904, reward=-7.686149
Epoch: 15: 2022-04-21 00:11:48.082862
Epoch 16/1000, D_loss=0.347212, reward=-7.709091
Epoch: 16: 2022-04-21 00:11:53.746671
Epoch 17/1000, D_loss=0.326441, reward=-7.729936
Epoch: 17: 2022-04-21 00:11:59.702954
Epoch 18/1000, D_loss=0.307820, reward=-7.749270
Epoch: 18: 2022-04-21 00:12:05.316610
