pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=100
adv.epoch_per_test=10
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 23:53:25.832980
Test_MRR=0.004351, Test_MR=7386.735429, Test_H@10=0.004308
Epoch: 0: 2022-04-21 00:04:55.879541
Epoch 1/1000, D_loss=2.761890, reward=-9.408066
Epoch: 1: 2022-04-21 00:05:06.840654
Epoch 2/1000, D_loss=2.356956, reward=-8.897045
Epoch: 2: 2022-04-21 00:05:17.614165
Epoch 3/1000, D_loss=2.045489, reward=-8.472612
Epoch: 3: 2022-04-21 00:05:28.523015
Epoch 4/1000, D_loss=1.762195, reward=-8.141541
Epoch: 4: 2022-04-21 00:05:39.136640
Epoch 5/1000, D_loss=1.505851, reward=-7.904199
Epoch: 5: 2022-04-21 00:05:50.642608
Epoch 6/1000, D_loss=1.279184, reward=-7.749607
Epoch: 6: 2022-04-21 00:06:01.696010
Epoch 7/1000, D_loss=1.078121, reward=-7.663932
Epoch: 7: 2022-04-21 00:06:12.876394
Epoch 8/1000, D_loss=0.906540, reward=-7.622088
Epoch: 8: 2022-04-21 00:06:23.487399
Epoch 9/1000, D_loss=0.769077, reward=-7.606487
Epoch: 9: 2022-04-21 00:06:34.422968
Epoch 10/1000, D_loss=0.657870, reward=-7.609337
Test_MRR=0.197360, Test_MR=764.072580, Test_H@10=0.346630
Epoch: 10: 2022-04-21 00:14:30.681966
Epoch 11/1000, D_loss=0.574143, reward=-7.613303
Epoch: 11: 2022-04-21 00:14:41.547923
Epoch 12/1000, D_loss=0.506623, reward=-7.626351
Epoch: 12: 2022-04-21 00:14:51.732435
Epoch 13/1000, D_loss=0.455871, reward=-7.635844
Epoch: 13: 2022-04-21 00:15:02.301845
Epoch 14/1000, D_loss=0.413273, reward=-7.655259
Epoch: 14: 2022-04-21 00:15:12.573435
Epoch 15/1000, D_loss=0.379650, reward=-7.672586
Epoch: 15: 2022-04-21 00:15:23.268449
Epoch 16/1000, D_loss=0.355857, reward=-7.688245
Epoch: 16: 2022-04-21 00:15:34.231076
Epoch 17/1000, D_loss=0.331629, reward=-7.709696
Epoch: 17: 2022-04-21 00:15:45.136642
Epoch 18/1000, D_loss=0.313331, reward=-7.727491
Epoch: 18: 2022-04-21 00:15:55.706562
Epoch 19/1000, D_loss=0.296706, reward=-7.748591
Epoch: 19: 2022-04-21 00:16:06.687855
Epoch 20/1000, D_loss=0.286060, reward=-7.762129
Test_MRR=0.253780, Test_MR=282.948460, Test_H@10=0.424580
Epoch: 20: 2022-04-21 00:23:38.571395
Epoch 21/1000, D_loss=0.273581, reward=-7.782284
Epoch: 21: 2022-04-21 00:23:48.977834
Epoch 22/1000, D_loss=0.263641, reward=-7.796871
Epoch: 22: 2022-04-21 00:23:59.315716
