pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:46.917826
Test_MRR=0.005043, Test_MR=7015.423971, Test_H@10=0.004959
Epoch: 0: 2022-04-15 14:23:41.639409
Epoch 1/5000, D_loss=2.714736, reward=-9.467736
Epoch: 1: 2022-04-15 14:23:47.102341
Epoch 2/5000, D_loss=2.244450, reward=-8.982350
Epoch: 2: 2022-04-15 14:23:52.473053
Epoch 3/5000, D_loss=1.878741, reward=-8.621318
Epoch: 3: 2022-04-15 14:23:58.099783
Epoch 4/5000, D_loss=1.568518, reward=-8.398862
Epoch: 4: 2022-04-15 14:24:03.444005
Epoch 5/5000, D_loss=1.319016, reward=-8.291469
Epoch: 5: 2022-04-15 14:24:09.111947
Epoch 6/5000, D_loss=1.125307, reward=-8.252541
Epoch: 6: 2022-04-15 14:24:14.359133
Epoch 7/5000, D_loss=0.961045, reward=-8.267948
Epoch: 7: 2022-04-15 14:24:19.659859
Epoch 8/5000, D_loss=0.833150, reward=-8.297085
Epoch: 8: 2022-04-15 14:24:24.778056
Epoch 9/5000, D_loss=0.732492, reward=-8.337687
Epoch: 9: 2022-04-15 14:24:30.006990
Epoch 10/5000, D_loss=0.651675, reward=-8.383080
Epoch: 10: 2022-04-15 14:24:35.232173
Epoch 11/5000, D_loss=0.586473, reward=-8.433186
Epoch: 11: 2022-04-15 14:24:40.546869
Epoch 12/5000, D_loss=0.534357, reward=-8.467367
Epoch: 12: 2022-04-15 14:24:45.806072
Epoch 13/5000, D_loss=0.490839, reward=-8.503937
Epoch: 13: 2022-04-15 14:24:50.764047
Epoch 14/5000, D_loss=0.453891, reward=-8.543849
Epoch: 14: 2022-04-15 14:24:55.657479
Epoch 15/5000, D_loss=0.421322, reward=-8.580270
Epoch: 15: 2022-04-15 14:25:00.556221
Epoch 16/5000, D_loss=0.397781, reward=-8.601039
Epoch: 16: 2022-04-15 14:25:05.496093
Epoch 17/5000, D_loss=0.375101, reward=-8.630790
Epoch: 17: 2022-04-15 14:25:10.233715
Epoch 18/5000, D_loss=0.354144, reward=-8.664614
Epoch: 18: 2022-04-15 14:25:15.009499
Epoch 19/5000, D_loss=0.334741, reward=-8.695507
Epoch: 19: 2022-04-15 14:25:20.147722
Epoch 20/5000, D_loss=0.319353, reward=-8.724686
Epoch: 20: 2022-04-15 14:25:25.070958
Epoch 21/5000, D_loss=0.306988, reward=-8.747471
Epoch: 21: 2022-04-15 14:25:30.086216
Epoch 22/5000, D_loss=0.297826, reward=-8.761967
Epoch: 22: 2022-04-15 14:25:34.822768
Epoch 23/5000, D_loss=0.284633, reward=-8.796253
Epoch: 23: 2022-04-15 14:25:39.557553
Epoch 24/5000, D_loss=0.275968, reward=-8.814857
Epoch: 24: 2022-04-15 14:25:44.354947
Epoch 25/5000, D_loss=0.265498, reward=-8.838717
Epoch: 25: 2022-04-15 14:25:49.410957
