pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:40.115092
Test_MRR=0.005043, Test_MR=7150.019960, Test_H@10=0.005033
Epoch: 0: 2022-04-15 14:21:49.363096
Epoch 1/5000, D_loss=2.751033, reward=-9.414069
Epoch: 1: 2022-04-15 14:21:54.004386
Epoch 2/5000, D_loss=2.346100, reward=-8.920363
Epoch: 2: 2022-04-15 14:21:58.467160
Epoch 3/5000, D_loss=2.040233, reward=-8.529576
Epoch: 3: 2022-04-15 14:22:02.985668
Epoch 4/5000, D_loss=1.774476, reward=-8.208876
Epoch: 4: 2022-04-15 14:22:07.314666
Epoch 5/5000, D_loss=1.542359, reward=-7.956597
Epoch: 5: 2022-04-15 14:22:11.760334
Epoch 6/5000, D_loss=1.339475, reward=-7.774432
Epoch: 6: 2022-04-15 14:22:16.043751
Epoch 7/5000, D_loss=1.165377, reward=-7.647876
Epoch: 7: 2022-04-15 14:22:20.329694
Epoch 8/5000, D_loss=1.010093, reward=-7.569280
Epoch: 8: 2022-04-15 14:22:24.535168
Epoch 9/5000, D_loss=0.879136, reward=-7.523400
Epoch: 9: 2022-04-15 14:22:28.841721
Epoch 10/5000, D_loss=0.767094, reward=-7.493755
Epoch: 10: 2022-04-15 14:22:33.050758
Epoch 11/5000, D_loss=0.675043, reward=-7.476916
Epoch: 11: 2022-04-15 14:22:37.088356
Epoch 12/5000, D_loss=0.603950, reward=-7.468262
Epoch: 12: 2022-04-15 14:22:41.114970
Epoch 13/5000, D_loss=0.546837, reward=-7.467372
Epoch: 13: 2022-04-15 14:22:45.128517
Epoch 14/5000, D_loss=0.495175, reward=-7.475361
Epoch: 14: 2022-04-15 14:22:49.200754
Epoch 15/5000, D_loss=0.450586, reward=-7.491354
Epoch: 15: 2022-04-15 14:22:53.281363
Epoch 16/5000, D_loss=0.422303, reward=-7.494118
Epoch: 16: 2022-04-15 14:22:57.350245
Epoch 17/5000, D_loss=0.393630, reward=-7.510403
Epoch: 17: 2022-04-15 14:23:01.532153
Epoch 18/5000, D_loss=0.367598, reward=-7.529055
Epoch: 18: 2022-04-15 14:23:05.588766
Epoch 19/5000, D_loss=0.350527, reward=-7.543705
Epoch: 19: 2022-04-15 14:23:09.680058
Epoch 20/5000, D_loss=0.332518, reward=-7.561455
Epoch: 20: 2022-04-15 14:23:13.787779
Epoch 21/5000, D_loss=0.318419, reward=-7.578326
Epoch: 21: 2022-04-15 14:23:17.890748
Epoch 22/5000, D_loss=0.302716, reward=-7.601681
Epoch: 22: 2022-04-15 14:23:21.931937
Epoch 23/5000, D_loss=0.294191, reward=-7.617004
Epoch: 23: 2022-04-15 14:23:26.017388
Epoch 24/5000, D_loss=0.282347, reward=-7.635747
Epoch: 24: 2022-04-15 14:23:30.081687
Epoch 25/5000, D_loss=0.278207, reward=-7.646348
Epoch: 25: 2022-04-15 14:23:34.113018
Epoch 26/5000, D_loss=0.265622, reward=-7.671835
Epoch: 26: 2022-04-15 14:23:38.057466
Epoch 27/5000, D_loss=0.259957, reward=-7.684890
Epoch: 27: 2022-04-15 14:23:42.040881
Epoch 28/5000, D_loss=0.255147, reward=-7.699584
Epoch: 28: 2022-04-15 14:23:45.955692
Epoch 29/5000, D_loss=0.248076, reward=-7.718571
Epoch: 29: 2022-04-15 14:23:49.974272
Epoch 30/5000, D_loss=0.243043, reward=-7.731339
Epoch: 30: 2022-04-15 14:23:53.975838
Epoch 31/5000, D_loss=0.238423, reward=-7.748112
Epoch: 31: 2022-04-15 14:23:57.982413
Epoch 32/5000, D_loss=0.234650, reward=-7.756305
Epoch: 32: 2022-04-15 14:24:02.089894
Epoch 33/5000, D_loss=0.230328, reward=-7.770486
Epoch: 33: 2022-04-15 14:24:06.254962
Epoch 34/5000, D_loss=0.229585, reward=-7.779692
Epoch: 34: 2022-04-15 14:24:10.223220
Epoch 35/5000, D_loss=0.223947, reward=-7.794113
Epoch: 35: 2022-04-15 14:24:14.189887
Epoch 36/5000, D_loss=0.222702, reward=-7.797612
Epoch: 36: 2022-04-15 14:24:18.150323
Epoch 37/5000, D_loss=0.221940, reward=-7.809753
Epoch: 37: 2022-04-15 14:24:22.356871
Epoch 38/5000, D_loss=0.222187, reward=-7.815805
Epoch: 38: 2022-04-15 14:24:26.365031
Epoch 39/5000, D_loss=0.221734, reward=-7.821578
Epoch: 39: 2022-04-15 14:24:30.491547
Epoch 40/5000, D_loss=0.223386, reward=-7.826412
Epoch: 40: 2022-04-15 14:24:34.458922
Epoch 41/5000, D_loss=0.226482, reward=-7.830588
Epoch: 41: 2022-04-15 14:24:38.635482
Epoch 42/5000, D_loss=0.230249, reward=-7.829798
Epoch: 42: 2022-04-15 14:24:42.559749
Epoch 43/5000, D_loss=0.235917, reward=-7.827910
Epoch: 43: 2022-04-15 14:24:46.569150
Epoch 44/5000, D_loss=0.242344, reward=-7.820628
Epoch: 44: 2022-04-15 14:24:50.477538
Epoch 45/5000, D_loss=0.245615, reward=-7.819861
Epoch: 45: 2022-04-15 14:24:54.431536
Epoch 46/5000, D_loss=0.252196, reward=-7.815285
Epoch: 46: 2022-04-15 14:24:58.581748
Epoch 47/5000, D_loss=0.261297, reward=-7.806978
Epoch: 47: 2022-04-15 14:25:02.569273
Epoch 48/5000, D_loss=0.267908, reward=-7.800029
Epoch: 48: 2022-04-15 14:25:06.471378
Epoch 49/5000, D_loss=0.277340, reward=-7.786746
Epoch: 49: 2022-04-15 14:25:10.378745
Epoch 50/5000, D_loss=0.286962, reward=-7.773757
Test_MRR=0.217394, Test_MR=310.997662, Test_H@10=0.371685
Epoch: 50: 2022-04-15 14:27:47.103178
Epoch 51/5000, D_loss=0.303885, reward=-7.749441
Epoch: 51: 2022-04-15 14:27:50.817843
Epoch 52/5000, D_loss=0.316304, reward=-7.731172
Epoch: 52: 2022-04-15 14:27:54.468442
Epoch 53/5000, D_loss=0.329432, reward=-7.709717
Epoch: 53: 2022-04-15 14:27:58.109999
Epoch 54/5000, D_loss=0.343823, reward=-7.690018
Epoch: 54: 2022-04-15 14:28:01.982244
Epoch 55/5000, D_loss=0.357789, reward=-7.673186
Epoch: 55: 2022-04-15 14:28:05.563166
Epoch 56/5000, D_loss=0.374074, reward=-7.652089
Epoch: 56: 2022-04-15 14:28:09.144505
Epoch 57/5000, D_loss=0.385638, reward=-7.637031
Epoch: 57: 2022-04-15 14:28:12.717413
Epoch 58/5000, D_loss=0.397751, reward=-7.626774
Epoch: 58: 2022-04-15 14:28:16.339686
Epoch 59/5000, D_loss=0.410578, reward=-7.617014
Epoch: 59: 2022-04-15 14:28:20.068492
Epoch 60/5000, D_loss=0.423214, reward=-7.611306
Epoch: 60: 2022-04-15 14:28:23.796445
Epoch 61/5000, D_loss=0.431906, reward=-7.608123
Epoch: 61: 2022-04-15 14:28:27.543873
Epoch 62/5000, D_loss=0.446120, reward=-7.599049
Epoch: 62: 2022-04-15 14:28:31.249042
Epoch 63/5000, D_loss=0.453968, reward=-7.600585
Epoch: 63: 2022-04-15 14:28:34.870802
Epoch 64/5000, D_loss=0.462635, reward=-7.598216
Epoch: 64: 2022-04-15 14:28:38.869972
Epoch 65/5000, D_loss=0.471631, reward=-7.600069
Epoch: 65: 2022-04-15 14:28:42.878621
Epoch 66/5000, D_loss=0.479925, reward=-7.603320
Epoch: 66: 2022-04-15 14:28:46.677456
Epoch 67/5000, D_loss=0.488998, reward=-7.602003
Epoch: 67: 2022-04-15 14:28:50.386504
Epoch 68/5000, D_loss=0.495056, reward=-7.603516
Epoch: 68: 2022-04-15 14:28:54.177926
Epoch 69/5000, D_loss=0.499227, reward=-7.610507
Epoch: 69: 2022-04-15 14:28:58.009084
Epoch 70/5000, D_loss=0.503569, reward=-7.618061
Epoch: 70: 2022-04-15 14:29:01.821145
Epoch 71/5000, D_loss=0.506071, reward=-7.626221
Epoch: 71: 2022-04-15 14:29:05.629160
Epoch 72/5000, D_loss=0.514241, reward=-7.626154
Epoch: 72: 2022-04-15 14:29:09.486017
Epoch 73/5000, D_loss=0.518173, reward=-7.635640
Epoch: 73: 2022-04-15 14:29:13.069674
Epoch 74/5000, D_loss=0.518391, reward=-7.642749
Epoch: 74: 2022-04-15 14:29:16.661927
Epoch 75/5000, D_loss=0.529808, reward=-7.639132
Epoch: 75: 2022-04-15 14:29:20.268981
Epoch 76/5000, D_loss=0.530941, reward=-7.647437
Epoch: 76: 2022-04-15 14:29:24.039767
Epoch 77/5000, D_loss=0.532211, reward=-7.653401
Epoch: 77: 2022-04-15 14:29:27.893187
Epoch 78/5000, D_loss=0.535710, reward=-7.659325
Epoch: 78: 2022-04-15 14:29:31.749703
Epoch 79/5000, D_loss=0.538000, reward=-7.661304
Epoch: 79: 2022-04-15 14:29:35.573163
Epoch 80/5000, D_loss=0.543042, reward=-7.664220
Epoch: 80: 2022-04-15 14:29:39.439886
Epoch 81/5000, D_loss=0.542089, reward=-7.673994
Epoch: 81: 2022-04-15 14:29:43.677942
Epoch 82/5000, D_loss=0.550231, reward=-7.666825
Epoch: 82: 2022-04-15 14:29:47.423521
Epoch 83/5000, D_loss=0.550500, reward=-7.673519
Epoch: 83: 2022-04-15 14:29:51.089560
Epoch 84/5000, D_loss=0.553836, reward=-7.673709
Epoch: 84: 2022-04-15 14:29:54.698584
Epoch 85/5000, D_loss=0.558958, reward=-7.673446
Epoch: 85: 2022-04-15 14:29:58.298450
Epoch 86/5000, D_loss=0.562876, reward=-7.669981
Epoch: 86: 2022-04-15 14:30:02.138888
Epoch 87/5000, D_loss=0.559377, reward=-7.683503
Epoch: 87: 2022-04-15 14:30:06.197880
Epoch 88/5000, D_loss=0.569807, reward=-7.675624
Epoch: 88: 2022-04-15 14:30:10.381660
Epoch 89/5000, D_loss=0.573210, reward=-7.675003
Epoch: 89: 2022-04-15 14:30:13.989988
Epoch 90/5000, D_loss=0.575085, reward=-7.676520
Epoch: 90: 2022-04-15 14:30:17.720972
Epoch 91/5000, D_loss=0.577002, reward=-7.680348
Epoch: 91: 2022-04-15 14:30:21.329598
Epoch 92/5000, D_loss=0.579741, reward=-7.679273
Epoch: 92: 2022-04-15 14:30:24.933008
Epoch 93/5000, D_loss=0.585192, reward=-7.676239
Epoch: 93: 2022-04-15 14:30:28.536722
Epoch 94/5000, D_loss=0.589015, reward=-7.673090
Epoch: 94: 2022-04-15 14:30:32.150362
Epoch 95/5000, D_loss=0.592900, reward=-7.677082
Epoch: 95: 2022-04-15 14:30:35.719788
Epoch 96/5000, D_loss=0.593800, reward=-7.680159
Epoch: 96: 2022-04-15 14:30:39.392447
Epoch 97/5000, D_loss=0.597733, reward=-7.678859
Epoch: 97: 2022-04-15 14:30:43.067915
Epoch 98/5000, D_loss=0.602997, reward=-7.672553
Epoch: 98: 2022-04-15 14:30:47.011359
Epoch 99/5000, D_loss=0.602471, reward=-7.681075
Epoch: 99: 2022-04-15 14:30:50.844537
Epoch 100/5000, D_loss=0.603903, reward=-7.682842
Test_MRR=0.219359, Test_MR=487.736413, Test_H@10=0.387881
Epoch: 100: 2022-04-15 14:33:22.797905
Epoch 101/5000, D_loss=0.606850, reward=-7.680840
Epoch: 101: 2022-04-15 14:33:26.362058
Epoch 102/5000, D_loss=0.610572, reward=-7.678037
Epoch: 102: 2022-04-15 14:33:29.913912
Epoch 103/5000, D_loss=0.610169, reward=-7.683107
Epoch: 103: 2022-04-15 14:33:33.494369
Epoch 104/5000, D_loss=0.610647, reward=-7.690238
Epoch: 104: 2022-04-15 14:33:37.047934
Epoch 105/5000, D_loss=0.619767, reward=-7.683759
Epoch: 105: 2022-04-15 14:33:40.605076
Epoch 106/5000, D_loss=0.616003, reward=-7.693707
Epoch: 106: 2022-04-15 14:33:44.166084
