pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:54.467818
Test_MRR=0.005068, Test_MR=7091.934843, Test_H@10=0.004984
Epoch: 0: 2022-04-15 14:23:44.707122
Epoch 1/5000, D_loss=2.722755, reward=-9.473956
Epoch: 1: 2022-04-15 14:23:53.482388
Epoch 2/5000, D_loss=2.251834, reward=-8.991029
Epoch: 2: 2022-04-15 14:24:01.967248
Epoch 3/5000, D_loss=1.883284, reward=-8.641614
Epoch: 3: 2022-04-15 14:24:10.565581
Epoch 4/5000, D_loss=1.580970, reward=-8.396789
Epoch: 4: 2022-04-15 14:24:18.872273
Epoch 5/5000, D_loss=1.331344, reward=-8.274203
Epoch: 5: 2022-04-15 14:24:27.271198
Epoch 6/5000, D_loss=1.129971, reward=-8.238569
Epoch: 6: 2022-04-15 14:24:35.560503
Epoch 7/5000, D_loss=0.970295, reward=-8.248045
Epoch: 7: 2022-04-15 14:24:43.926062
Epoch 8/5000, D_loss=0.835554, reward=-8.285906
Epoch: 8: 2022-04-15 14:24:52.258925
Epoch 9/5000, D_loss=0.729388, reward=-8.329438
Epoch: 9: 2022-04-15 14:25:00.527111
Epoch 10/5000, D_loss=0.647749, reward=-8.371212
Epoch: 10: 2022-04-15 14:25:08.948733
Epoch 11/5000, D_loss=0.584504, reward=-8.405198
Epoch: 11: 2022-04-15 14:25:17.291107
Epoch 12/5000, D_loss=0.530341, reward=-8.439864
Epoch: 12: 2022-04-15 14:25:25.472325
Epoch 13/5000, D_loss=0.488171, reward=-8.466159
Epoch: 13: 2022-04-15 14:25:33.721968
Epoch 14/5000, D_loss=0.452078, reward=-8.496854
Epoch: 14: 2022-04-15 14:25:42.378348
Epoch 15/5000, D_loss=0.420140, reward=-8.529799
Epoch: 15: 2022-04-15 14:25:51.038408
Epoch 16/5000, D_loss=0.393588, reward=-8.555144
Epoch: 16: 2022-04-15 14:25:59.982850
Epoch 17/5000, D_loss=0.368074, reward=-8.589467
Epoch: 17: 2022-04-15 14:26:08.609094
Epoch 18/5000, D_loss=0.351534, reward=-8.603804
Epoch: 18: 2022-04-15 14:26:17.264157
Epoch 19/5000, D_loss=0.334108, reward=-8.630435
Epoch: 19: 2022-04-15 14:26:25.627996
Epoch 20/5000, D_loss=0.318911, reward=-8.658730
Epoch: 20: 2022-04-15 14:26:34.127508
Epoch 21/5000, D_loss=0.304595, reward=-8.688004
Epoch: 21: 2022-04-15 14:26:42.808701
Epoch 22/5000, D_loss=0.291945, reward=-8.708790
Epoch: 22: 2022-04-15 14:26:51.355437
Epoch 23/5000, D_loss=0.281001, reward=-8.734317
Epoch: 23: 2022-04-15 14:26:59.725631
Epoch 24/5000, D_loss=0.271840, reward=-8.758135
Epoch: 24: 2022-04-15 14:27:08.146740
Epoch 25/5000, D_loss=0.266024, reward=-8.773225
Epoch: 25: 2022-04-15 14:27:16.744282
