pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:47.267727
Test_MRR=0.004972, Test_MR=7075.049790, Test_H@10=0.004911
Epoch: 0: 2022-04-15 14:22:03.625005
Epoch 1/5000, D_loss=2.742638, reward=-9.403709
Epoch: 1: 2022-04-15 14:22:11.843521
Epoch 2/5000, D_loss=2.333259, reward=-8.909774
Epoch: 2: 2022-04-15 14:22:19.583456
Epoch 3/5000, D_loss=2.025505, reward=-8.517076
Epoch: 3: 2022-04-15 14:22:27.303174
Epoch 4/5000, D_loss=1.758731, reward=-8.196860
Epoch: 4: 2022-04-15 14:22:35.105544
Epoch 5/5000, D_loss=1.527230, reward=-7.952140
Epoch: 5: 2022-04-15 14:22:42.780553
Epoch 6/5000, D_loss=1.328211, reward=-7.774168
Epoch: 6: 2022-04-15 14:22:50.439392
Epoch 7/5000, D_loss=1.156752, reward=-7.651893
Epoch: 7: 2022-04-15 14:22:58.108517
Epoch 8/5000, D_loss=1.010840, reward=-7.570958
Epoch: 8: 2022-04-15 14:23:05.939138
Epoch 9/5000, D_loss=0.885591, reward=-7.521140
Epoch: 9: 2022-04-15 14:23:13.694267
Epoch 10/5000, D_loss=0.777969, reward=-7.495100
Epoch: 10: 2022-04-15 14:23:21.286212
Epoch 11/5000, D_loss=0.689971, reward=-7.475988
Epoch: 11: 2022-04-15 14:23:28.927384
Epoch 12/5000, D_loss=0.615935, reward=-7.470659
Epoch: 12: 2022-04-15 14:23:36.614683
Epoch 13/5000, D_loss=0.556722, reward=-7.470102
Epoch: 13: 2022-04-15 14:23:44.403600
Epoch 14/5000, D_loss=0.507519, reward=-7.478689
Epoch: 14: 2022-04-15 14:23:51.999439
Epoch 15/5000, D_loss=0.466642, reward=-7.486819
Epoch: 15: 2022-04-15 14:23:59.726126
Epoch 16/5000, D_loss=0.432718, reward=-7.505044
Epoch: 16: 2022-04-15 14:24:07.504797
Epoch 17/5000, D_loss=0.404827, reward=-7.517817
Epoch: 17: 2022-04-15 14:24:15.300972
Epoch 18/5000, D_loss=0.377459, reward=-7.538145
Epoch: 18: 2022-04-15 14:24:22.815588
Epoch 19/5000, D_loss=0.357009, reward=-7.555031
Epoch: 19: 2022-04-15 14:24:30.107259
Epoch 20/5000, D_loss=0.341074, reward=-7.566794
Epoch: 20: 2022-04-15 14:24:37.488057
Epoch 21/5000, D_loss=0.323088, reward=-7.589627
Epoch: 21: 2022-04-15 14:24:44.936308
Epoch 22/5000, D_loss=0.312437, reward=-7.602762
Epoch: 22: 2022-04-15 14:24:52.212147
Epoch 23/5000, D_loss=0.301426, reward=-7.619703
Epoch: 23: 2022-04-15 14:24:59.444884
Epoch 24/5000, D_loss=0.285344, reward=-7.648736
Epoch: 24: 2022-04-15 14:25:06.705858
Epoch 25/5000, D_loss=0.278080, reward=-7.661991
Epoch: 25: 2022-04-15 14:25:13.638091
Epoch 26/5000, D_loss=0.267325, reward=-7.684814
Epoch: 26: 2022-04-15 14:25:20.708133
Epoch 27/5000, D_loss=0.262483, reward=-7.697841
Epoch: 27: 2022-04-15 14:25:27.906532
Epoch 28/5000, D_loss=0.254534, reward=-7.715895
Epoch: 28: 2022-04-15 14:25:34.866467
Epoch 29/5000, D_loss=0.248250, reward=-7.729961
Epoch: 29: 2022-04-15 14:25:41.785372
Epoch 30/5000, D_loss=0.243527, reward=-7.743052
Epoch: 30: 2022-04-15 14:25:48.912544
Epoch 31/5000, D_loss=0.237008, reward=-7.761063
Epoch: 31: 2022-04-15 14:25:56.049425
Epoch 32/5000, D_loss=0.231826, reward=-7.774288
Epoch: 32: 2022-04-15 14:26:03.150736
Epoch 33/5000, D_loss=0.231059, reward=-7.784908
Epoch: 33: 2022-04-15 14:26:10.287752
Epoch 34/5000, D_loss=0.226204, reward=-7.797658
Epoch: 34: 2022-04-15 14:26:17.479506
Epoch 35/5000, D_loss=0.225127, reward=-7.804825
Epoch: 35: 2022-04-15 14:26:24.603253
Epoch 36/5000, D_loss=0.219882, reward=-7.824015
