pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=100
adv.epoch_per_test=10
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:37:22.947245
Test_MRR=0.041871, Test_MR=48.991155, Test_H@10=0.089385
Epoch: 0: 2022-04-20 13:37:24.237792
Epoch 1/1000, D_loss=3.035686, reward=-9.681418
Epoch: 1: 2022-04-20 13:37:25.369428
Epoch 2/1000, D_loss=2.963505, reward=-9.605037
Epoch: 2: 2022-04-20 13:37:26.262336
Epoch 3/1000, D_loss=2.886070, reward=-9.550920
Epoch: 3: 2022-04-20 13:37:27.013822
Epoch 4/1000, D_loss=2.797655, reward=-9.522237
Epoch: 4: 2022-04-20 13:37:27.765910
Epoch 5/1000, D_loss=2.670238, reward=-9.538598
Epoch: 5: 2022-04-20 13:37:28.516796
Epoch 6/1000, D_loss=2.548011, reward=-9.567995
Epoch: 6: 2022-04-20 13:37:29.270501
Epoch 7/1000, D_loss=2.461746, reward=-9.584854
Epoch: 7: 2022-04-20 13:37:30.022392
Epoch 8/1000, D_loss=2.401432, reward=-9.585741
Epoch: 8: 2022-04-20 13:37:30.768990
Epoch 9/1000, D_loss=2.325813, reward=-9.634153
Epoch: 9: 2022-04-20 13:37:31.520068
Epoch 10/1000, D_loss=2.299879, reward=-9.601864
Test_MRR=0.077589, Test_MR=34.049625, Test_H@10=0.215824
Epoch: 10: 2022-04-20 13:37:33.429416
Epoch 11/1000, D_loss=2.239289, reward=-9.616252
Epoch: 11: 2022-04-20 13:37:34.329850
Epoch 12/1000, D_loss=2.180499, reward=-9.649734
Epoch: 12: 2022-04-20 13:37:35.078202
Epoch 13/1000, D_loss=2.169525, reward=-9.596004
Epoch: 13: 2022-04-20 13:37:35.827855
Epoch 14/1000, D_loss=2.100933, reward=-9.629647
Epoch: 14: 2022-04-20 13:37:36.575831
Epoch 15/1000, D_loss=2.055456, reward=-9.658295
Epoch: 15: 2022-04-20 13:37:37.325766
Epoch 16/1000, D_loss=2.062351, reward=-9.594547
Epoch: 16: 2022-04-20 13:37:38.075087
Epoch 17/1000, D_loss=1.980461, reward=-9.657193
Epoch: 17: 2022-04-20 13:37:38.828679
Epoch 18/1000, D_loss=1.975416, reward=-9.636847
Epoch: 18: 2022-04-20 13:37:39.827927
Epoch 19/1000, D_loss=1.926240, reward=-9.657740
Epoch: 19: 2022-04-20 13:37:40.612475
Epoch 20/1000, D_loss=1.904127, reward=-9.652240
Test_MRR=0.136556, Test_MR=25.254682, Test_H@10=0.356742
Epoch: 20: 2022-04-20 13:37:42.668876
Epoch 21/1000, D_loss=1.874573, reward=-9.634861
Epoch: 21: 2022-04-20 13:37:43.447692
Epoch 22/1000, D_loss=1.833334, reward=-9.638840
Epoch: 22: 2022-04-20 13:37:44.230575
Epoch 23/1000, D_loss=1.758965, reward=-9.691753
Epoch: 23: 2022-04-20 13:37:44.996818
Epoch 24/1000, D_loss=1.763268, reward=-9.632253
Epoch: 24: 2022-04-20 13:37:46.001800
Epoch 25/1000, D_loss=1.700007, reward=-9.683494
Epoch: 25: 2022-04-20 13:37:46.928814
Epoch 26/1000, D_loss=1.649106, reward=-9.696225
Epoch: 26: 2022-04-20 13:37:47.692985
Epoch 27/1000, D_loss=1.656555, reward=-9.611191
Epoch: 27: 2022-04-20 13:37:48.445512
Epoch 28/1000, D_loss=1.667975, reward=-9.547588
Epoch: 28: 2022-04-20 13:37:49.201114
Epoch 29/1000, D_loss=1.662077, reward=-9.514832
Epoch: 29: 2022-04-20 13:37:49.954344
Epoch 30/1000, D_loss=1.677396, reward=-9.446813
Test_MRR=0.189329, Test_MR=17.507959, Test_H@10=0.507022
Epoch: 30: 2022-04-20 13:37:51.858360
Epoch 31/1000, D_loss=1.707505, reward=-9.345771
Epoch: 31: 2022-04-20 13:37:52.613992
Epoch 32/1000, D_loss=1.758512, reward=-9.223085
Epoch: 32: 2022-04-20 13:37:53.367090
Epoch 33/1000, D_loss=1.766761, reward=-9.118727
Epoch: 33: 2022-04-20 13:37:54.386351
Epoch 34/1000, D_loss=1.804753, reward=-9.025835
Epoch: 34: 2022-04-20 13:37:55.298651
Epoch 35/1000, D_loss=1.840214, reward=-8.917599
Epoch: 35: 2022-04-20 13:37:56.221580
Epoch 36/1000, D_loss=1.827433, reward=-8.876742
Epoch: 36: 2022-04-20 13:37:57.141380
Epoch 37/1000, D_loss=1.926793, reward=-8.693487
Epoch: 37: 2022-04-20 13:37:58.064478
Epoch 38/1000, D_loss=1.913569, reward=-8.644595
Epoch: 38: 2022-04-20 13:37:58.988792
Epoch 39/1000, D_loss=1.975348, reward=-8.501309
Epoch: 39: 2022-04-20 13:37:59.912059
Epoch 40/1000, D_loss=2.002636, reward=-8.421042
Test_MRR=0.239255, Test_MR=14.563670, Test_H@10=0.600655
Epoch: 40: 2022-04-20 13:38:02.179526
Epoch 41/1000, D_loss=2.042629, reward=-8.333400
Epoch: 41: 2022-04-20 13:38:03.097828
Epoch 42/1000, D_loss=2.025745, reward=-8.311571
Epoch: 42: 2022-04-20 13:38:03.844505
Epoch 43/1000, D_loss=2.035810, reward=-8.263241
Epoch: 43: 2022-04-20 13:38:04.591790
Epoch 44/1000, D_loss=2.024309, reward=-8.227661
Epoch: 44: 2022-04-20 13:38:05.401647
Epoch 45/1000, D_loss=2.065044, reward=-8.142181
Epoch: 45: 2022-04-20 13:38:06.176568
Epoch 46/1000, D_loss=2.074702, reward=-8.099970
Epoch: 46: 2022-04-20 13:38:06.932653
Epoch 47/1000, D_loss=2.087001, reward=-8.062113
Epoch: 47: 2022-04-20 13:38:07.701215
Epoch 48/1000, D_loss=2.062797, reward=-8.057700
Epoch: 48: 2022-04-20 13:38:08.458476
Epoch 49/1000, D_loss=2.093518, reward=-7.985639
Epoch: 49: 2022-04-20 13:38:09.222545
Epoch 50/1000, D_loss=2.106414, reward=-7.933971
Test_MRR=0.283627, Test_MR=14.274813, Test_H@10=0.612828
Epoch: 50: 2022-04-20 13:38:11.139384
Epoch 51/1000, D_loss=2.110668, reward=-7.905379
Epoch: 51: 2022-04-20 13:38:12.027373
Epoch 52/1000, D_loss=2.087331, reward=-7.918457
Epoch: 52: 2022-04-20 13:38:12.782063
Epoch 53/1000, D_loss=2.117196, reward=-7.861062
Epoch: 53: 2022-04-20 13:38:13.538039
Epoch 54/1000, D_loss=2.134330, reward=-7.824980
Epoch: 54: 2022-04-20 13:38:14.290134
Epoch 55/1000, D_loss=2.141216, reward=-7.799070
Epoch: 55: 2022-04-20 13:38:15.040572
Epoch 56/1000, D_loss=2.124000, reward=-7.792717
Epoch: 56: 2022-04-20 13:38:15.790775
Epoch 57/1000, D_loss=2.122844, reward=-7.790839
Epoch: 57: 2022-04-20 13:38:16.775197
Epoch 58/1000, D_loss=2.130394, reward=-7.758003
Epoch: 58: 2022-04-20 13:38:17.549249
Epoch 59/1000, D_loss=2.147514, reward=-7.734397
Epoch: 59: 2022-04-20 13:38:18.299955
Epoch 60/1000, D_loss=2.149912, reward=-7.711692
