pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=100
adv.epoch_per_test=10
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:37:29.916017
Test_MRR=0.045385, Test_MR=48.617318, Test_H@10=0.102886
Epoch: 0: 2022-04-20 13:37:31.252915
Epoch 1/1000, D_loss=3.039972, reward=-9.690474
Epoch: 1: 2022-04-20 13:37:32.649301
Epoch 2/1000, D_loss=3.002185, reward=-9.586178
Epoch: 2: 2022-04-20 13:37:33.971874
Epoch 3/1000, D_loss=2.932560, reward=-9.549177
Epoch: 3: 2022-04-20 13:37:35.173685
Epoch 4/1000, D_loss=2.859471, reward=-9.535454
Epoch: 4: 2022-04-20 13:37:36.392875
Epoch 5/1000, D_loss=2.787551, reward=-9.501516
Epoch: 5: 2022-04-20 13:37:37.687499
Epoch 6/1000, D_loss=2.685319, reward=-9.515391
Epoch: 6: 2022-04-20 13:37:39.081857
Epoch 7/1000, D_loss=2.604563, reward=-9.507360
Epoch: 7: 2022-04-20 13:37:40.439227
Epoch 8/1000, D_loss=2.470561, reward=-9.551972
Epoch: 8: 2022-04-20 13:37:41.759243
Epoch 9/1000, D_loss=2.405989, reward=-9.566473
Epoch: 9: 2022-04-20 13:37:43.060408
Epoch 10/1000, D_loss=2.348207, reward=-9.583254
Test_MRR=0.070338, Test_MR=35.865169, Test_H@10=0.175094
Epoch: 10: 2022-04-20 13:37:45.442386
Epoch 11/1000, D_loss=2.318997, reward=-9.579626
Epoch: 11: 2022-04-20 13:37:46.663233
Epoch 12/1000, D_loss=2.263281, reward=-9.609879
Epoch: 12: 2022-04-20 13:37:47.642825
Epoch 13/1000, D_loss=2.222367, reward=-9.597347
Epoch: 13: 2022-04-20 13:37:48.619598
Epoch 14/1000, D_loss=2.182288, reward=-9.609916
Epoch: 14: 2022-04-20 13:37:49.858057
Epoch 15/1000, D_loss=2.153522, reward=-9.587362
Epoch: 15: 2022-04-20 13:37:51.104846
