pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=100
adv.epoch_per_test=10
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:37:24.933489
Test_MRR=0.042073, Test_MR=48.709963, Test_H@10=0.093110
Epoch: 0: 2022-04-20 13:37:26.216171
Epoch 1/1000, D_loss=3.034540, reward=-9.646341
Epoch: 1: 2022-04-20 13:37:26.845509
Epoch 2/1000, D_loss=3.003336, reward=-9.531157
Epoch: 2: 2022-04-20 13:37:27.456797
Epoch 3/1000, D_loss=2.957021, reward=-9.470090
Epoch: 3: 2022-04-20 13:37:28.060257
Epoch 4/1000, D_loss=2.911850, reward=-9.427644
Epoch: 4: 2022-04-20 13:37:28.659522
Epoch 5/1000, D_loss=2.881990, reward=-9.373319
Epoch: 5: 2022-04-20 13:37:29.264079
Epoch 6/1000, D_loss=2.832604, reward=-9.334866
Epoch: 6: 2022-04-20 13:37:29.884838
Epoch 7/1000, D_loss=2.783494, reward=-9.297929
Epoch: 7: 2022-04-20 13:37:30.485624
Epoch 8/1000, D_loss=2.744746, reward=-9.261024
Epoch: 8: 2022-04-20 13:37:31.084250
Epoch 9/1000, D_loss=2.686771, reward=-9.254107
Epoch: 9: 2022-04-20 13:37:31.672296
Epoch 10/1000, D_loss=2.641366, reward=-9.225625
Test_MRR=0.056548, Test_MR=42.751873, Test_H@10=0.141854
Epoch: 10: 2022-04-20 13:37:33.544518
Epoch 11/1000, D_loss=2.616179, reward=-9.170284
Epoch: 11: 2022-04-20 13:37:34.134796
Epoch 12/1000, D_loss=2.559741, reward=-9.149614
Epoch: 12: 2022-04-20 13:37:34.683965
Epoch 13/1000, D_loss=2.475516, reward=-9.166687
Epoch: 13: 2022-04-20 13:37:35.189435
Epoch 14/1000, D_loss=2.425200, reward=-9.134347
Epoch: 14: 2022-04-20 13:37:35.731596
Epoch 15/1000, D_loss=2.377690, reward=-9.103596
Epoch: 15: 2022-04-20 13:37:36.273627
Epoch 16/1000, D_loss=2.318794, reward=-9.093554
Epoch: 16: 2022-04-20 13:37:36.816629
Epoch 17/1000, D_loss=2.271260, reward=-9.078616
Epoch: 17: 2022-04-20 13:37:37.367687
Epoch 18/1000, D_loss=2.252815, reward=-9.020204
Epoch: 18: 2022-04-20 13:37:37.925173
Epoch 19/1000, D_loss=2.165542, reward=-9.049958
Epoch: 19: 2022-04-20 13:37:38.473046
Epoch 20/1000, D_loss=2.136318, reward=-9.018712
Test_MRR=0.118750, Test_MR=29.799157, Test_H@10=0.313670
Epoch: 20: 2022-04-20 13:37:40.379403
Epoch 21/1000, D_loss=2.093719, reward=-9.001493
Epoch: 21: 2022-04-20 13:37:41.219785
Epoch 22/1000, D_loss=2.042487, reward=-9.009478
Epoch: 22: 2022-04-20 13:37:41.990271
Epoch 23/1000, D_loss=2.022401, reward=-8.975036
Epoch: 23: 2022-04-20 13:37:42.698090
Epoch 24/1000, D_loss=1.967771, reward=-8.987219
Epoch: 24: 2022-04-20 13:37:43.388048
Epoch 25/1000, D_loss=1.931461, reward=-8.978926
Epoch: 25: 2022-04-20 13:37:44.027330
Epoch 26/1000, D_loss=1.923130, reward=-8.949974
Epoch: 26: 2022-04-20 13:37:44.698673
Epoch 27/1000, D_loss=1.892270, reward=-8.945583
Epoch: 27: 2022-04-20 13:37:45.289257
Epoch 28/1000, D_loss=1.868940, reward=-8.940213
Epoch: 28: 2022-04-20 13:37:45.995410
Epoch 29/1000, D_loss=1.856987, reward=-8.926107
Epoch: 29: 2022-04-20 13:37:46.637975
Epoch 30/1000, D_loss=1.853100, reward=-8.907050
Test_MRR=0.190214, Test_MR=20.837547, Test_H@10=0.496255
Epoch: 30: 2022-04-20 13:37:48.536655
Epoch 31/1000, D_loss=1.804420, reward=-8.917103
Epoch: 31: 2022-04-20 13:37:49.379972
Epoch 32/1000, D_loss=1.808949, reward=-8.881761
Epoch: 32: 2022-04-20 13:37:50.151416
Epoch 33/1000, D_loss=1.794774, reward=-8.862363
Epoch: 33: 2022-04-20 13:37:50.892985
Epoch 34/1000, D_loss=1.813248, reward=-8.822006
Epoch: 34: 2022-04-20 13:37:51.589094
Epoch 35/1000, D_loss=1.793013, reward=-8.823616
Epoch: 35: 2022-04-20 13:37:52.264909
Epoch 36/1000, D_loss=1.799734, reward=-8.795905
Epoch: 36: 2022-04-20 13:37:52.890777
