pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=umls
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:11.020220
Test_MRR=0.043970, Test_MR=60.223903, Test_H@10=0.085477
Epoch: 0: 2022-04-15 14:17:11.352001
Epoch 1/5000, D_loss=2.922384, reward=-9.478971
Epoch: 1: 2022-04-15 14:17:12.145556
Epoch 2/5000, D_loss=2.642410, reward=-9.086965
Epoch: 2: 2022-04-15 14:17:12.922801
Epoch 3/5000, D_loss=2.354463, reward=-8.759426
Epoch: 3: 2022-04-15 14:17:13.710051
Epoch 4/5000, D_loss=2.103168, reward=-8.452995
Epoch: 4: 2022-04-15 14:17:14.539088
Epoch 5/5000, D_loss=1.869096, reward=-8.213330
Epoch: 5: 2022-04-15 14:17:15.393023
Epoch 6/5000, D_loss=1.673905, reward=-8.034910
Epoch: 6: 2022-04-15 14:17:16.222750
Epoch 7/5000, D_loss=1.511531, reward=-7.916213
Epoch: 7: 2022-04-15 14:17:17.030851
Epoch 8/5000, D_loss=1.394434, reward=-7.796563
Epoch: 8: 2022-04-15 14:17:17.853879
Epoch 9/5000, D_loss=1.285444, reward=-7.735694
Epoch: 9: 2022-04-15 14:17:18.682443
Epoch 10/5000, D_loss=1.213243, reward=-7.648521
Epoch: 10: 2022-04-15 14:17:19.515890
Epoch 11/5000, D_loss=1.061002, reward=-7.677457
Epoch: 11: 2022-04-15 14:17:20.192140
Epoch 12/5000, D_loss=1.067105, reward=-7.568343
Epoch: 12: 2022-04-15 14:17:20.865906
Epoch 13/5000, D_loss=0.982726, reward=-7.598184
Epoch: 13: 2022-04-15 14:17:21.540021
Epoch 14/5000, D_loss=0.975756, reward=-7.553340
Epoch: 14: 2022-04-15 14:17:22.213391
Epoch 15/5000, D_loss=0.946563, reward=-7.543567
Epoch: 15: 2022-04-15 14:17:22.887381
Epoch 16/5000, D_loss=0.917958, reward=-7.538292
Epoch: 16: 2022-04-15 14:17:23.561500
Epoch 17/5000, D_loss=0.883279, reward=-7.536585
Epoch: 17: 2022-04-15 14:17:24.236542
Epoch 18/5000, D_loss=0.863705, reward=-7.572428
Epoch: 18: 2022-04-15 14:17:24.911253
Epoch 19/5000, D_loss=0.856966, reward=-7.571781
Epoch: 19: 2022-04-15 14:17:25.585555
Epoch 20/5000, D_loss=0.826228, reward=-7.590012
Epoch: 20: 2022-04-15 14:17:26.259830
Epoch 21/5000, D_loss=0.803602, reward=-7.614821
Epoch: 21: 2022-04-15 14:17:26.933214
Epoch 22/5000, D_loss=0.840401, reward=-7.561158
Epoch: 22: 2022-04-15 14:17:27.607647
Epoch 23/5000, D_loss=0.847638, reward=-7.570148
Epoch: 23: 2022-04-15 14:17:28.281798
Epoch 24/5000, D_loss=0.815514, reward=-7.599574
Epoch: 24: 2022-04-15 14:17:28.955280
Epoch 25/5000, D_loss=0.817782, reward=-7.586530
Epoch: 25: 2022-04-15 14:17:29.631004
Epoch 26/5000, D_loss=0.839495, reward=-7.564950
Epoch: 26: 2022-04-15 14:17:30.306840
Epoch 27/5000, D_loss=0.876685, reward=-7.545640
Epoch: 27: 2022-04-15 14:17:30.981204
Epoch 28/5000, D_loss=0.923832, reward=-7.510272
Epoch: 28: 2022-04-15 14:17:31.656020
Epoch 29/5000, D_loss=0.949940, reward=-7.460485
Epoch: 29: 2022-04-15 14:17:32.331240
Epoch 30/5000, D_loss=0.960028, reward=-7.472130
Epoch: 30: 2022-04-15 14:17:33.005798
Epoch 31/5000, D_loss=1.007910, reward=-7.380912
Epoch: 31: 2022-04-15 14:17:33.680382
Epoch 32/5000, D_loss=1.040549, reward=-7.361824
Epoch: 32: 2022-04-15 14:17:34.357150
Epoch 33/5000, D_loss=1.133831, reward=-7.217717
Epoch: 33: 2022-04-15 14:17:35.205176
Epoch 34/5000, D_loss=1.135631, reward=-7.234901
Epoch: 34: 2022-04-15 14:17:36.032645
Epoch 35/5000, D_loss=1.179203, reward=-7.167054
Epoch: 35: 2022-04-15 14:17:36.859488
Epoch 36/5000, D_loss=1.223880, reward=-7.129461
Epoch: 36: 2022-04-15 14:17:37.684064
Epoch 37/5000, D_loss=1.285588, reward=-7.054919
Epoch: 37: 2022-04-15 14:17:38.509407
Epoch 38/5000, D_loss=1.323177, reward=-7.013938
Epoch: 38: 2022-04-15 14:17:39.335773
Epoch 39/5000, D_loss=1.394902, reward=-6.923470
Epoch: 39: 2022-04-15 14:17:40.012833
Epoch 40/5000, D_loss=1.394705, reward=-6.944202
Epoch: 40: 2022-04-15 14:17:40.687532
Epoch 41/5000, D_loss=1.501078, reward=-6.829847
Epoch: 41: 2022-04-15 14:17:41.361925
Epoch 42/5000, D_loss=1.520265, reward=-6.815109
Epoch: 42: 2022-04-15 14:17:42.035927
Epoch 43/5000, D_loss=1.594375, reward=-6.772353
Epoch: 43: 2022-04-15 14:17:42.709040
Epoch 44/5000, D_loss=1.628923, reward=-6.765209
Epoch: 44: 2022-04-15 14:17:43.383369
Epoch 45/5000, D_loss=1.641372, reward=-6.774837
Epoch: 45: 2022-04-15 14:17:44.057232
Epoch 46/5000, D_loss=1.663763, reward=-6.792027
Epoch: 46: 2022-04-15 14:17:44.733029
Epoch 47/5000, D_loss=1.674667, reward=-6.801531
Epoch: 47: 2022-04-15 14:17:45.602094
Epoch 48/5000, D_loss=1.677331, reward=-6.832181
Epoch: 48: 2022-04-15 14:17:46.427834
Epoch 49/5000, D_loss=1.722573, reward=-6.815861
Epoch: 49: 2022-04-15 14:17:47.252730
Epoch 50/5000, D_loss=1.759170, reward=-6.818541
Test_MRR=0.611453, Test_MR=6.236963, Test_H@10=0.850460
Epoch: 50: 2022-04-15 14:17:48.401170
Epoch 51/5000, D_loss=1.767692, reward=-6.835458
Epoch: 51: 2022-04-15 14:17:49.077547
Epoch 52/5000, D_loss=1.800878, reward=-6.808930
Epoch: 52: 2022-04-15 14:17:49.753309
Epoch 53/5000, D_loss=1.808127, reward=-6.837445
Epoch: 53: 2022-04-15 14:17:50.427683
Epoch 54/5000, D_loss=1.843362, reward=-6.791817
Epoch: 54: 2022-04-15 14:17:51.102086
Epoch 55/5000, D_loss=1.828709, reward=-6.804247
Epoch: 55: 2022-04-15 14:17:51.775997
Epoch 56/5000, D_loss=1.842010, reward=-6.791826
Epoch: 56: 2022-04-15 14:17:52.450723
Epoch 57/5000, D_loss=1.867027, reward=-6.787503
Epoch: 57: 2022-04-15 14:17:53.124737
Epoch 58/5000, D_loss=1.898516, reward=-6.774587
Epoch: 58: 2022-04-15 14:17:53.798956
Epoch 59/5000, D_loss=1.883335, reward=-6.786965
Epoch: 59: 2022-04-15 14:17:54.474334
Epoch 60/5000, D_loss=1.886850, reward=-6.797713
Epoch: 60: 2022-04-15 14:17:55.337097
Epoch 61/5000, D_loss=1.910389, reward=-6.787406
Epoch: 61: 2022-04-15 14:17:56.060177
Epoch 62/5000, D_loss=1.925061, reward=-6.755340
Epoch: 62: 2022-04-15 14:17:56.878254
Epoch 63/5000, D_loss=1.979662, reward=-6.688321
Epoch: 63: 2022-04-15 14:17:57.704790
Epoch 64/5000, D_loss=2.000726, reward=-6.654423
Epoch: 64: 2022-04-15 14:17:58.450568
Epoch 65/5000, D_loss=1.948149, reward=-6.708302
