pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=umls
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:02.031136
Test_MRR=0.046114, Test_MR=58.590772, Test_H@10=0.096823
Epoch: 0: 2022-04-15 14:17:02.336131
Epoch 1/5000, D_loss=2.912907, reward=-9.441354
Epoch: 1: 2022-04-15 14:17:02.748868
Epoch 2/5000, D_loss=2.604375, reward=-9.084461
Epoch: 2: 2022-04-15 14:17:03.166864
Epoch 3/5000, D_loss=2.334054, reward=-8.746572
Epoch: 3: 2022-04-15 14:17:03.576068
Epoch 4/5000, D_loss=2.072467, reward=-8.471848
Epoch: 4: 2022-04-15 14:17:03.980740
Epoch 5/5000, D_loss=1.842169, reward=-8.254821
Epoch: 5: 2022-04-15 14:17:04.388312
Epoch 6/5000, D_loss=1.648175, reward=-8.102736
Epoch: 6: 2022-04-15 14:17:04.795436
Epoch 7/5000, D_loss=1.491045, reward=-7.976840
Epoch: 7: 2022-04-15 14:17:05.205729
Epoch 8/5000, D_loss=1.377339, reward=-7.893655
Epoch: 8: 2022-04-15 14:17:05.612259
Epoch 9/5000, D_loss=1.265066, reward=-7.840175
Epoch: 9: 2022-04-15 14:17:06.016950
Epoch 10/5000, D_loss=1.157022, reward=-7.843752
Epoch: 10: 2022-04-15 14:17:06.422810
Epoch 11/5000, D_loss=1.100147, reward=-7.804301
Epoch: 11: 2022-04-15 14:17:06.826578
Epoch 12/5000, D_loss=0.980244, reward=-7.853299
Epoch: 12: 2022-04-15 14:17:07.239436
Epoch 13/5000, D_loss=0.988568, reward=-7.781790
Epoch: 13: 2022-04-15 14:17:07.644253
Epoch 14/5000, D_loss=0.927914, reward=-7.806684
Epoch: 14: 2022-04-15 14:17:08.052468
Epoch 15/5000, D_loss=0.893523, reward=-7.803745
Epoch: 15: 2022-04-15 14:17:08.494245
Epoch 16/5000, D_loss=0.856251, reward=-7.817775
Epoch: 16: 2022-04-15 14:17:08.966405
Epoch 17/5000, D_loss=0.844316, reward=-7.827809
Epoch: 17: 2022-04-15 14:17:09.433539
Epoch 18/5000, D_loss=0.834389, reward=-7.805850
Epoch: 18: 2022-04-15 14:17:09.842144
Epoch 19/5000, D_loss=0.822155, reward=-7.817730
Epoch: 19: 2022-04-15 14:17:10.251631
Epoch 20/5000, D_loss=0.821510, reward=-7.812693
Epoch: 20: 2022-04-15 14:17:10.661116
Epoch 21/5000, D_loss=0.820504, reward=-7.822383
Epoch: 21: 2022-04-15 14:17:11.069416
Epoch 22/5000, D_loss=0.821447, reward=-7.793679
Epoch: 22: 2022-04-15 14:17:11.485915
Epoch 23/5000, D_loss=0.819238, reward=-7.801485
Epoch: 23: 2022-04-15 14:17:11.901553
Epoch 24/5000, D_loss=0.866861, reward=-7.758351
Epoch: 24: 2022-04-15 14:17:12.335647
Epoch 25/5000, D_loss=0.861665, reward=-7.766816
Epoch: 25: 2022-04-15 14:17:12.754815
Epoch 26/5000, D_loss=0.894027, reward=-7.687046
Epoch: 26: 2022-04-15 14:17:13.175355
Epoch 27/5000, D_loss=0.966195, reward=-7.603140
Epoch: 27: 2022-04-15 14:17:13.596190
Epoch 28/5000, D_loss=0.999909, reward=-7.510873
Epoch: 28: 2022-04-15 14:17:14.017743
Epoch 29/5000, D_loss=1.042081, reward=-7.466339
Epoch: 29: 2022-04-15 14:17:14.437094
Epoch 30/5000, D_loss=1.058978, reward=-7.420815
Epoch: 30: 2022-04-15 14:17:14.857317
Epoch 31/5000, D_loss=1.036582, reward=-7.432548
Epoch: 31: 2022-04-15 14:17:15.286929
Epoch 32/5000, D_loss=1.092960, reward=-7.346367
Epoch: 32: 2022-04-15 14:17:15.716312
Epoch 33/5000, D_loss=1.100046, reward=-7.296674
Epoch: 33: 2022-04-15 14:17:16.147912
Epoch 34/5000, D_loss=1.096097, reward=-7.272913
Epoch: 34: 2022-04-15 14:17:16.568954
Epoch 35/5000, D_loss=1.140748, reward=-7.221426
Epoch: 35: 2022-04-15 14:17:17.110720
Epoch 36/5000, D_loss=1.147548, reward=-7.195446
Epoch: 36: 2022-04-15 14:17:17.656519
Epoch 37/5000, D_loss=1.161493, reward=-7.176796
Epoch: 37: 2022-04-15 14:17:18.158547
Epoch 38/5000, D_loss=1.191889, reward=-7.139311
Epoch: 38: 2022-04-15 14:17:18.588399
Epoch 39/5000, D_loss=1.222704, reward=-7.097806
Epoch: 39: 2022-04-15 14:17:19.017952
Epoch 40/5000, D_loss=1.276339, reward=-7.012607
Epoch: 40: 2022-04-15 14:17:19.456213
Epoch 41/5000, D_loss=1.272980, reward=-7.008828
Epoch: 41: 2022-04-15 14:17:19.893943
Epoch 42/5000, D_loss=1.279655, reward=-6.991929
Epoch: 42: 2022-04-15 14:17:20.332476
Epoch 43/5000, D_loss=1.328770, reward=-6.932670
Epoch: 43: 2022-04-15 14:17:20.772632
Epoch 44/5000, D_loss=1.381395, reward=-6.850842
Epoch: 44: 2022-04-15 14:17:21.212055
Epoch 45/5000, D_loss=1.386960, reward=-6.876113
Epoch: 45: 2022-04-15 14:17:21.641061
Epoch 46/5000, D_loss=1.434622, reward=-6.808334
Epoch: 46: 2022-04-15 14:17:22.071781
Epoch 47/5000, D_loss=1.472703, reward=-6.767793
Epoch: 47: 2022-04-15 14:17:22.510330
Epoch 48/5000, D_loss=1.470327, reward=-6.772459
Epoch: 48: 2022-04-15 14:17:22.939535
Epoch 49/5000, D_loss=1.506446, reward=-6.755676
Epoch: 49: 2022-04-15 14:17:23.369688
Epoch 50/5000, D_loss=1.504227, reward=-6.776299
Test_MRR=0.704207, Test_MR=5.726994, Test_H@10=0.860429
Epoch: 50: 2022-04-15 14:17:24.092753
Epoch 51/5000, D_loss=1.548598, reward=-6.722822
Epoch: 51: 2022-04-15 14:17:24.522250
Epoch 52/5000, D_loss=1.618320, reward=-6.651738
Epoch: 52: 2022-04-15 14:17:24.995500
Epoch 53/5000, D_loss=1.583688, reward=-6.694745
Epoch: 53: 2022-04-15 14:17:25.448373
Epoch 54/5000, D_loss=1.609230, reward=-6.674609
Epoch: 54: 2022-04-15 14:17:25.832626
Epoch 55/5000, D_loss=1.648109, reward=-6.647877
Epoch: 55: 2022-04-15 14:17:26.337337
Epoch 56/5000, D_loss=1.617489, reward=-6.684538
Epoch: 56: 2022-04-15 14:17:26.727119
Epoch 57/5000, D_loss=1.644546, reward=-6.655081
Epoch: 57: 2022-04-15 14:17:27.175552
Epoch 58/5000, D_loss=1.680679, reward=-6.624638
Epoch: 58: 2022-04-15 14:17:27.623962
Epoch 59/5000, D_loss=1.681766, reward=-6.611772
Epoch: 59: 2022-04-15 14:17:28.060402
Epoch 60/5000, D_loss=1.706162, reward=-6.586102
Epoch: 60: 2022-04-15 14:17:28.516973
Epoch 61/5000, D_loss=1.710586, reward=-6.578789
Epoch: 61: 2022-04-15 14:17:28.952046
Epoch 62/5000, D_loss=1.767117, reward=-6.499466
Epoch: 62: 2022-04-15 14:17:29.405165
Epoch 63/5000, D_loss=1.768354, reward=-6.505229
Epoch: 63: 2022-04-15 14:17:29.797086
Epoch 64/5000, D_loss=1.752545, reward=-6.512023
Epoch: 64: 2022-04-15 14:17:30.315843
Epoch 65/5000, D_loss=1.772713, reward=-6.506967
Epoch: 65: 2022-04-15 14:17:30.701106
