pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=umls
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:12.999580
Test_MRR=0.045361, Test_MR=59.124811, Test_H@10=0.100605
Epoch: 0: 2022-04-15 14:17:13.375173
Epoch 1/5000, D_loss=2.888261, reward=-9.584820
Epoch: 1: 2022-04-15 14:17:14.402788
Epoch 2/5000, D_loss=2.530054, reward=-9.247982
Epoch: 2: 2022-04-15 14:17:15.470748
Epoch 3/5000, D_loss=2.166014, reward=-9.041278
Epoch: 3: 2022-04-15 14:17:16.376543
Epoch 4/5000, D_loss=1.832618, reward=-8.942233
Epoch: 4: 2022-04-15 14:17:17.476460
Epoch 5/5000, D_loss=1.580897, reward=-8.883482
Epoch: 5: 2022-04-15 14:17:18.547065
Epoch 6/5000, D_loss=1.374555, reward=-8.886621
Epoch: 6: 2022-04-15 14:17:19.615168
Epoch 7/5000, D_loss=1.299539, reward=-8.820785
Epoch: 7: 2022-04-15 14:17:20.684521
Epoch 8/5000, D_loss=1.201253, reward=-8.795612
Epoch: 8: 2022-04-15 14:17:21.687445
Epoch 9/5000, D_loss=1.089143, reward=-8.802034
Epoch: 9: 2022-04-15 14:17:22.692903
Epoch 10/5000, D_loss=1.056556, reward=-8.746242
Epoch: 10: 2022-04-15 14:17:23.765306
Epoch 11/5000, D_loss=0.999384, reward=-8.743954
Epoch: 11: 2022-04-15 14:17:24.795709
Epoch 12/5000, D_loss=0.935988, reward=-8.757023
Epoch: 12: 2022-04-15 14:17:25.640481
Epoch 13/5000, D_loss=0.891048, reward=-8.749584
Epoch: 13: 2022-04-15 14:17:26.585614
Epoch 14/5000, D_loss=0.840565, reward=-8.761272
Epoch: 14: 2022-04-15 14:17:27.652324
Epoch 15/5000, D_loss=0.827775, reward=-8.750029
Epoch: 15: 2022-04-15 14:17:28.711700
Epoch 16/5000, D_loss=0.788833, reward=-8.755754
Epoch: 16: 2022-04-15 14:17:29.779448
Epoch 17/5000, D_loss=0.773093, reward=-8.729181
Epoch: 17: 2022-04-15 14:17:30.839587
Epoch 18/5000, D_loss=0.784941, reward=-8.685321
Epoch: 18: 2022-04-15 14:17:31.849398
Epoch 19/5000, D_loss=0.761391, reward=-8.684717
Epoch: 19: 2022-04-15 14:17:32.916461
Epoch 20/5000, D_loss=0.753085, reward=-8.624311
Epoch: 20: 2022-04-15 14:17:33.985104
Epoch 21/5000, D_loss=0.776964, reward=-8.615218
Epoch: 21: 2022-04-15 14:17:35.052082
Epoch 22/5000, D_loss=0.740704, reward=-8.653414
Epoch: 22: 2022-04-15 14:17:36.011897
Epoch 23/5000, D_loss=0.774735, reward=-8.538722
Epoch: 23: 2022-04-15 14:17:36.999088
Epoch 24/5000, D_loss=0.818718, reward=-8.532089
Epoch: 24: 2022-04-15 14:17:37.843308
Epoch 25/5000, D_loss=0.754546, reward=-8.572350
Epoch: 25: 2022-04-15 14:17:38.689023
Epoch 26/5000, D_loss=0.785015, reward=-8.501732
Epoch: 26: 2022-04-15 14:17:39.656159
Epoch 27/5000, D_loss=0.805688, reward=-8.430758
Epoch: 27: 2022-04-15 14:17:40.727050
Epoch 28/5000, D_loss=0.850263, reward=-8.354477
Epoch: 28: 2022-04-15 14:17:41.797703
Epoch 29/5000, D_loss=0.882815, reward=-8.358609
Epoch: 29: 2022-04-15 14:17:42.858394
Epoch 30/5000, D_loss=0.962577, reward=-8.179376
Epoch: 30: 2022-04-15 14:17:43.866787
Epoch 31/5000, D_loss=0.979566, reward=-8.145493
Epoch: 31: 2022-04-15 14:17:44.875075
Epoch 32/5000, D_loss=1.066011, reward=-8.041841
Epoch: 32: 2022-04-15 14:17:45.858024
Epoch 33/5000, D_loss=1.094375, reward=-8.011358
Epoch: 33: 2022-04-15 14:17:46.700089
Epoch 34/5000, D_loss=1.206579, reward=-7.829257
Epoch: 34: 2022-04-15 14:17:47.666042
Epoch 35/5000, D_loss=1.261776, reward=-7.784880
Epoch: 35: 2022-04-15 14:17:48.734495
Epoch 36/5000, D_loss=1.280627, reward=-7.715889
Epoch: 36: 2022-04-15 14:17:49.727490
Epoch 37/5000, D_loss=1.352756, reward=-7.658176
Epoch: 37: 2022-04-15 14:17:50.785325
Epoch 38/5000, D_loss=1.408141, reward=-7.630349
Epoch: 38: 2022-04-15 14:17:51.784193
Epoch 39/5000, D_loss=1.424338, reward=-7.600594
Epoch: 39: 2022-04-15 14:17:52.850962
Epoch 40/5000, D_loss=1.479795, reward=-7.566236
Epoch: 40: 2022-04-15 14:17:53.894062
Epoch 41/5000, D_loss=1.474818, reward=-7.559600
Epoch: 41: 2022-04-15 14:17:54.820859
Epoch 42/5000, D_loss=1.511487, reward=-7.536757
Epoch: 42: 2022-04-15 14:17:55.851570
Epoch 43/5000, D_loss=1.539718, reward=-7.497467
Epoch: 43: 2022-04-15 14:17:56.868140
Epoch 44/5000, D_loss=1.567212, reward=-7.506360
Epoch: 44: 2022-04-15 14:17:57.890371
Epoch 45/5000, D_loss=1.601063, reward=-7.478113
Epoch: 45: 2022-04-15 14:17:58.910150
Epoch 46/5000, D_loss=1.607485, reward=-7.494297
Epoch: 46: 2022-04-15 14:17:59.912375
Epoch 47/5000, D_loss=1.609427, reward=-7.479292
Epoch: 47: 2022-04-15 14:18:00.982352
Epoch 48/5000, D_loss=1.651429, reward=-7.443776
