pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:36.667625
Test_MRR=0.000207, Test_MR=20391.828100, Test_H@10=0.000000
Epoch: 0: 2022-04-15 14:21:45.687875
Epoch 1/5000, D_loss=2.899284, reward=-9.653228
Epoch: 1: 2022-04-15 14:21:55.337746
Epoch 2/5000, D_loss=2.539713, reward=-9.370485
Epoch: 2: 2022-04-15 14:22:05.272336
Epoch 3/5000, D_loss=2.207428, reward=-9.143675
Epoch: 3: 2022-04-15 14:22:14.998689
Epoch 4/5000, D_loss=1.928818, reward=-8.960185
Epoch: 4: 2022-04-15 14:22:24.476874
Epoch 5/5000, D_loss=1.683474, reward=-8.862564
Epoch: 5: 2022-04-15 14:22:33.951785
Epoch 6/5000, D_loss=1.476865, reward=-8.801769
Epoch: 6: 2022-04-15 14:22:43.369139
Epoch 7/5000, D_loss=1.300331, reward=-8.764179
Epoch: 7: 2022-04-15 14:22:52.707134
Epoch 8/5000, D_loss=1.144350, reward=-8.759614
Epoch: 8: 2022-04-15 14:23:01.947814
Epoch 9/5000, D_loss=1.005889, reward=-8.767879
Epoch: 9: 2022-04-15 14:23:11.372544
Epoch 10/5000, D_loss=0.895748, reward=-8.768099
Epoch: 10: 2022-04-15 14:23:20.740782
Epoch 11/5000, D_loss=0.789853, reward=-8.786926
Epoch: 11: 2022-04-15 14:23:30.192754
Epoch 12/5000, D_loss=0.705927, reward=-8.796159
Epoch: 12: 2022-04-15 14:23:39.758923
Epoch 13/5000, D_loss=0.634859, reward=-8.810928
Epoch: 13: 2022-04-15 14:23:49.023719
Epoch 14/5000, D_loss=0.569480, reward=-8.822295
Epoch: 14: 2022-04-15 14:23:58.467265
Epoch 15/5000, D_loss=0.510785, reward=-8.850307
Epoch: 15: 2022-04-15 14:24:07.559634
Epoch 16/5000, D_loss=0.460659, reward=-8.862137
Epoch: 16: 2022-04-15 14:24:16.457506
Epoch 17/5000, D_loss=0.418025, reward=-8.880860
Epoch: 17: 2022-04-15 14:24:25.244967
Epoch 18/5000, D_loss=0.382108, reward=-8.894228
Epoch: 18: 2022-04-15 14:24:33.842832
Epoch 19/5000, D_loss=0.346579, reward=-8.912437
Epoch: 19: 2022-04-15 14:24:42.610573
Epoch 20/5000, D_loss=0.318858, reward=-8.918645
Epoch: 20: 2022-04-15 14:24:51.198478
Epoch 21/5000, D_loss=0.287860, reward=-8.942930
Epoch: 21: 2022-04-15 14:25:00.056213
Epoch 22/5000, D_loss=0.268113, reward=-8.955556
Epoch: 22: 2022-04-15 14:25:08.688962
Epoch 23/5000, D_loss=0.245497, reward=-8.964042
Epoch: 23: 2022-04-15 14:25:17.087686
Epoch 24/5000, D_loss=0.229426, reward=-8.973804
