pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:31.415147
Test_MRR=0.000240, Test_MR=20293.530200, Test_H@10=0.000200
Epoch: 0: 2022-04-15 14:19:43.896583
Epoch 1/5000, D_loss=2.913539, reward=-9.594743
Epoch: 1: 2022-04-15 14:19:49.732664
Epoch 2/5000, D_loss=2.610641, reward=-9.283633
Epoch: 2: 2022-04-15 14:19:55.838740
Epoch 3/5000, D_loss=2.342356, reward=-9.000319
Epoch: 3: 2022-04-15 14:20:01.771369
Epoch 4/5000, D_loss=2.087881, reward=-8.786837
Epoch: 4: 2022-04-15 14:20:07.884403
Epoch 5/5000, D_loss=1.857048, reward=-8.614667
Epoch: 5: 2022-04-15 14:20:13.729698
Epoch 6/5000, D_loss=1.652545, reward=-8.476927
Epoch: 6: 2022-04-15 14:20:19.683681
Epoch 7/5000, D_loss=1.467412, reward=-8.376696
Epoch: 7: 2022-04-15 14:20:25.734395
Epoch 8/5000, D_loss=1.300957, reward=-8.306858
Epoch: 8: 2022-04-15 14:20:31.554882
Epoch 9/5000, D_loss=1.155274, reward=-8.245622
Epoch: 9: 2022-04-15 14:20:37.340006
Epoch 10/5000, D_loss=1.028292, reward=-8.201131
Epoch: 10: 2022-04-15 14:20:43.172290
Epoch 11/5000, D_loss=0.910579, reward=-8.181612
Epoch: 11: 2022-04-15 14:20:49.216978
Epoch 12/5000, D_loss=0.811189, reward=-8.163481
