pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:31.474397
Test_MRR=0.000258, Test_MR=20323.504700, Test_H@10=0.000300
Epoch: 0: 2022-04-15 14:21:15.704810
Epoch 1/5000, D_loss=2.891940, reward=-9.654685
Epoch: 1: 2022-04-15 14:21:21.664287
Epoch 2/5000, D_loss=2.553742, reward=-9.380754
Epoch: 2: 2022-04-15 14:21:27.546969
Epoch 3/5000, D_loss=2.234923, reward=-9.158033
Epoch: 3: 2022-04-15 14:21:33.474835
Epoch 4/5000, D_loss=1.936991, reward=-9.021543
Epoch: 4: 2022-04-15 14:21:39.354484
Epoch 5/5000, D_loss=1.686543, reward=-8.925572
Epoch: 5: 2022-04-15 14:21:45.272954
Epoch 6/5000, D_loss=1.482127, reward=-8.863717
Epoch: 6: 2022-04-15 14:21:51.155259
Epoch 7/5000, D_loss=1.302738, reward=-8.834218
Epoch: 7: 2022-04-15 14:21:57.103044
Epoch 8/5000, D_loss=1.147305, reward=-8.824786
Epoch: 8: 2022-04-15 14:22:03.008253
Epoch 9/5000, D_loss=1.014591, reward=-8.820339
Epoch: 9: 2022-04-15 14:22:09.023362
Epoch 10/5000, D_loss=0.898933, reward=-8.818171
Epoch: 10: 2022-04-15 14:22:14.915408
Epoch 11/5000, D_loss=0.799759, reward=-8.829864
Epoch: 11: 2022-04-15 14:22:20.876018
Epoch 12/5000, D_loss=0.714385, reward=-8.848686
Epoch: 12: 2022-04-15 14:22:26.798214
Epoch 13/5000, D_loss=0.641248, reward=-8.863946
Epoch: 13: 2022-04-15 14:22:32.724236
Epoch 14/5000, D_loss=0.576806, reward=-8.882668
Epoch: 14: 2022-04-15 14:22:38.593783
Epoch 15/5000, D_loss=0.520747, reward=-8.898159
Epoch: 15: 2022-04-15 14:22:44.516525
Epoch 16/5000, D_loss=0.473103, reward=-8.920566
Epoch: 16: 2022-04-15 14:22:50.484725
Epoch 17/5000, D_loss=0.426102, reward=-8.943509
Epoch: 17: 2022-04-15 14:22:56.387813
Epoch 18/5000, D_loss=0.388642, reward=-8.954885
Epoch: 18: 2022-04-15 14:23:02.271937
Epoch 19/5000, D_loss=0.355974, reward=-8.972468
Epoch: 19: 2022-04-15 14:23:08.324967
