pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:28.540439
Test_MRR=0.000225, Test_MR=20523.806900, Test_H@10=0.000300
Epoch: 0: 2022-04-15 14:19:43.404728
Epoch 1/5000, D_loss=2.914318, reward=-9.602575
Epoch: 1: 2022-04-15 14:19:47.520008
Epoch 2/5000, D_loss=2.613723, reward=-9.281877
Epoch: 2: 2022-04-15 14:19:52.042818
Epoch 3/5000, D_loss=2.343874, reward=-8.990168
Epoch: 3: 2022-04-15 14:19:55.776869
Epoch 4/5000, D_loss=2.094580, reward=-8.773127
Epoch: 4: 2022-04-15 14:19:59.537336
Epoch 5/5000, D_loss=1.867248, reward=-8.604352
Epoch: 5: 2022-04-15 14:20:03.317899
Epoch 6/5000, D_loss=1.668501, reward=-8.457548
Epoch: 6: 2022-04-15 14:20:07.147540
Epoch 7/5000, D_loss=1.481028, reward=-8.353153
Epoch: 7: 2022-04-15 14:20:10.982296
Epoch 8/5000, D_loss=1.315501, reward=-8.273776
Epoch: 8: 2022-04-15 14:20:14.735214
Epoch 9/5000, D_loss=1.168662, reward=-8.214373
Epoch: 9: 2022-04-15 14:20:18.452273
Epoch 10/5000, D_loss=1.036516, reward=-8.167462
Epoch: 10: 2022-04-15 14:20:22.208770
Epoch 11/5000, D_loss=0.922866, reward=-8.132143
Epoch: 11: 2022-04-15 14:20:25.937913
Epoch 12/5000, D_loss=0.819093, reward=-8.114438
Epoch: 12: 2022-04-15 14:20:29.706369
Epoch 13/5000, D_loss=0.731387, reward=-8.105956
Epoch: 13: 2022-04-15 14:20:33.420594
Epoch 14/5000, D_loss=0.658227, reward=-8.096744
Epoch: 14: 2022-04-15 14:20:37.178651
Epoch 15/5000, D_loss=0.586832, reward=-8.107375
Epoch: 15: 2022-04-15 14:20:40.902965
Epoch 16/5000, D_loss=0.529930, reward=-8.108266
Epoch: 16: 2022-04-15 14:20:44.652693
Epoch 17/5000, D_loss=0.478530, reward=-8.112353
Epoch: 17: 2022-04-15 14:20:48.368852
Epoch 18/5000, D_loss=0.436294, reward=-8.112812
Epoch: 18: 2022-04-15 14:20:52.127050
Epoch 19/5000, D_loss=0.396216, reward=-8.119019
Epoch: 19: 2022-04-15 14:20:55.879619
Epoch 20/5000, D_loss=0.359266, reward=-8.127232
Epoch: 20: 2022-04-15 14:20:59.634280
Epoch 21/5000, D_loss=0.324878, reward=-8.131612
Epoch: 21: 2022-04-15 14:21:03.398197
Epoch 22/5000, D_loss=0.296988, reward=-8.138206
Epoch: 22: 2022-04-15 14:21:07.194397
Epoch 23/5000, D_loss=0.274087, reward=-8.137307
Epoch: 23: 2022-04-15 14:21:10.987074
Epoch 24/5000, D_loss=0.251323, reward=-8.138247
Epoch: 24: 2022-04-15 14:21:14.843374
Epoch 25/5000, D_loss=0.232758, reward=-8.142024
Epoch: 25: 2022-04-15 14:21:18.561467
Epoch 26/5000, D_loss=0.213326, reward=-8.146681
Epoch: 26: 2022-04-15 14:21:22.331628
Epoch 27/5000, D_loss=0.196448, reward=-8.148168
Epoch: 27: 2022-04-15 14:21:26.063695
Epoch 28/5000, D_loss=0.182783, reward=-8.148487
Epoch: 28: 2022-04-15 14:21:29.814830
Epoch 29/5000, D_loss=0.170282, reward=-8.151943
Epoch: 29: 2022-04-15 14:21:33.537276
Epoch 30/5000, D_loss=0.157073, reward=-8.153295
Epoch: 30: 2022-04-15 14:21:37.295455
Epoch 31/5000, D_loss=0.145979, reward=-8.153815
Epoch: 31: 2022-04-15 14:21:41.027881
Epoch 32/5000, D_loss=0.137876, reward=-8.151833
Epoch: 32: 2022-04-15 14:21:44.789074
Epoch 33/5000, D_loss=0.130402, reward=-8.149484
Epoch: 33: 2022-04-15 14:21:48.510117
Epoch 34/5000, D_loss=0.121025, reward=-8.151007
Epoch: 34: 2022-04-15 14:21:52.267927
Epoch 35/5000, D_loss=0.114046, reward=-8.153516
Epoch: 35: 2022-04-15 14:21:55.995858
Epoch 36/5000, D_loss=0.106250, reward=-8.155192
Epoch: 36: 2022-04-15 14:21:59.758971
Epoch 37/5000, D_loss=0.101598, reward=-8.151840
Epoch: 37: 2022-04-15 14:22:03.482345
Epoch 38/5000, D_loss=0.095640, reward=-8.156419
Epoch: 38: 2022-04-15 14:22:07.293593
Epoch 39/5000, D_loss=0.089383, reward=-8.156419
Epoch: 39: 2022-04-15 14:22:11.026299
Epoch 40/5000, D_loss=0.086061, reward=-8.152102
Epoch: 40: 2022-04-15 14:22:14.780245
Epoch 41/5000, D_loss=0.081676, reward=-8.154625
Epoch: 41: 2022-04-15 14:22:18.643213
Epoch 42/5000, D_loss=0.079415, reward=-8.148187
Epoch: 42: 2022-04-15 14:22:22.406942
Epoch 43/5000, D_loss=0.075938, reward=-8.151402
Epoch: 43: 2022-04-15 14:22:26.145387
Epoch 44/5000, D_loss=0.070748, reward=-8.153978
Epoch: 44: 2022-04-15 14:22:30.021322
Epoch 45/5000, D_loss=0.068474, reward=-8.149323
Epoch: 45: 2022-04-15 14:22:33.734088
Epoch 46/5000, D_loss=0.065299, reward=-8.146167
Epoch: 46: 2022-04-15 14:22:37.498950
Epoch 47/5000, D_loss=0.063250, reward=-8.143517
Epoch: 47: 2022-04-15 14:22:41.227792
Epoch 48/5000, D_loss=0.061046, reward=-8.145769
Epoch: 48: 2022-04-15 14:22:44.987560
Epoch 49/5000, D_loss=0.058919, reward=-8.141627
Epoch: 49: 2022-04-15 14:22:48.708797
Epoch 50/5000, D_loss=0.056377, reward=-8.143581
Test_MRR=0.430385, Test_MR=635.172000, Test_H@10=0.894700
Epoch: 50: 2022-04-15 14:24:53.480574
Epoch 51/5000, D_loss=0.053336, reward=-8.143692
Epoch: 51: 2022-04-15 14:24:57.284903
Epoch 52/5000, D_loss=0.052322, reward=-8.140763
Epoch: 52: 2022-04-15 14:25:01.089430
Epoch 53/5000, D_loss=0.050144, reward=-8.141420
Epoch: 53: 2022-04-15 14:25:04.891410
Epoch 54/5000, D_loss=0.049460, reward=-8.136804
Epoch: 54: 2022-04-15 14:25:08.652980
Epoch 55/5000, D_loss=0.047989, reward=-8.135808
Epoch: 55: 2022-04-15 14:25:12.382569
Epoch 56/5000, D_loss=0.045930, reward=-8.137395
Epoch: 56: 2022-04-15 14:25:16.141329
Epoch 57/5000, D_loss=0.044815, reward=-8.136600
Epoch: 57: 2022-04-15 14:25:19.960142
Epoch 58/5000, D_loss=0.043587, reward=-8.133985
Epoch: 58: 2022-04-15 14:25:23.743541
Epoch 59/5000, D_loss=0.041793, reward=-8.135420
Epoch: 59: 2022-04-15 14:25:27.533995
Epoch 60/5000, D_loss=0.041212, reward=-8.134032
Epoch: 60: 2022-04-15 14:25:31.351819
Epoch 61/5000, D_loss=0.039107, reward=-8.131913
Epoch: 61: 2022-04-15 14:25:35.143280
Epoch 62/5000, D_loss=0.039096, reward=-8.131431
Epoch: 62: 2022-04-15 14:25:38.961871
Epoch 63/5000, D_loss=0.037278, reward=-8.126139
Epoch: 63: 2022-04-15 14:25:42.749873
Epoch 64/5000, D_loss=0.037762, reward=-8.124725
Epoch: 64: 2022-04-15 14:25:46.567419
Epoch 65/5000, D_loss=0.035850, reward=-8.128149
Epoch: 65: 2022-04-15 14:25:50.359107
Epoch 66/5000, D_loss=0.035758, reward=-8.127917
Epoch: 66: 2022-04-15 14:25:54.187834
Epoch 67/5000, D_loss=0.034145, reward=-8.125425
Epoch: 67: 2022-04-15 14:25:58.578296
Epoch 68/5000, D_loss=0.033865, reward=-8.125457
Epoch: 68: 2022-04-15 14:26:02.412555
Epoch 69/5000, D_loss=0.034364, reward=-8.119167
Epoch: 69: 2022-04-15 14:26:06.667765
Epoch 70/5000, D_loss=0.032572, reward=-8.122771
Epoch: 70: 2022-04-15 14:26:11.008865
Epoch 71/5000, D_loss=0.032172, reward=-8.117109
