pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:22.845891
Test_MRR=0.000193, Test_MR=20773.206286, Test_H@10=0.000000
Epoch: 0: 2022-04-15 14:19:48.436274
Epoch 1/5000, D_loss=2.929742, reward=-9.677271
Epoch: 1: 2022-04-15 14:19:55.304612
Epoch 2/5000, D_loss=2.602810, reward=-9.414163
Epoch: 2: 2022-04-15 14:20:02.052912
Epoch 3/5000, D_loss=2.308377, reward=-9.186558
Epoch: 3: 2022-04-15 14:20:08.989186
Epoch 4/5000, D_loss=2.040097, reward=-9.017285
Epoch: 4: 2022-04-15 14:20:15.740283
Epoch 5/5000, D_loss=1.805502, reward=-8.900387
Epoch: 5: 2022-04-15 14:20:22.396704
Epoch 6/5000, D_loss=1.605919, reward=-8.808803
Epoch: 6: 2022-04-15 14:20:29.139773
Epoch 7/5000, D_loss=1.418960, reward=-8.770754
Epoch: 7: 2022-04-15 14:20:35.729075
Epoch 8/5000, D_loss=1.267903, reward=-8.743022
Epoch: 8: 2022-04-15 14:20:42.452150
Epoch 9/5000, D_loss=1.131193, reward=-8.742846
Epoch: 9: 2022-04-15 14:20:49.036269
Epoch 10/5000, D_loss=1.012364, reward=-8.749347
Epoch: 10: 2022-04-15 14:20:55.834075
Epoch 11/5000, D_loss=0.915016, reward=-8.760279
Epoch: 11: 2022-04-15 14:21:02.409419
Epoch 12/5000, D_loss=0.836143, reward=-8.765146
Epoch: 12: 2022-04-15 14:21:09.251431
Epoch 13/5000, D_loss=0.763010, reward=-8.788824
Epoch: 13: 2022-04-15 14:21:16.024395
Epoch 14/5000, D_loss=0.698648, reward=-8.801989
Epoch: 14: 2022-04-15 14:21:22.725060
Epoch 15/5000, D_loss=0.639430, reward=-8.824415
Epoch: 15: 2022-04-15 14:21:29.320854
Epoch 16/5000, D_loss=0.585842, reward=-8.850970
Epoch: 16: 2022-04-15 14:21:36.028027
Epoch 17/5000, D_loss=0.546732, reward=-8.852630
Epoch: 17: 2022-04-15 14:21:42.613504
Epoch 18/5000, D_loss=0.500646, reward=-8.875242
Epoch: 18: 2022-04-15 14:21:49.320030
Epoch 19/5000, D_loss=0.473294, reward=-8.876219
Epoch: 19: 2022-04-15 14:21:55.915646
Epoch 20/5000, D_loss=0.436156, reward=-8.904795
Epoch: 20: 2022-04-15 14:22:02.644131
Epoch 21/5000, D_loss=0.406283, reward=-8.915592
Epoch: 21: 2022-04-15 14:22:09.279500
Epoch 22/5000, D_loss=0.377292, reward=-8.930784
Epoch: 22: 2022-04-15 14:22:16.009137
Epoch 23/5000, D_loss=0.351588, reward=-8.950751
Epoch: 23: 2022-04-15 14:22:22.613683
Epoch 24/5000, D_loss=0.330542, reward=-8.967023
Epoch: 24: 2022-04-15 14:22:29.339376
Epoch 25/5000, D_loss=0.307568, reward=-8.979250
Epoch: 25: 2022-04-15 14:22:35.935341
Epoch 26/5000, D_loss=0.288652, reward=-8.983486
Epoch: 26: 2022-04-15 14:22:42.643978
Epoch 27/5000, D_loss=0.275314, reward=-8.985637
Epoch: 27: 2022-04-15 14:22:49.222547
Epoch 28/5000, D_loss=0.256995, reward=-9.004899
Epoch: 28: 2022-04-15 14:22:55.922273
Epoch 29/5000, D_loss=0.243871, reward=-8.999899
Epoch: 29: 2022-04-15 14:23:02.597809
Epoch 30/5000, D_loss=0.229172, reward=-9.018154
Epoch: 30: 2022-04-15 14:23:09.292329
Epoch 31/5000, D_loss=0.214037, reward=-9.031105
Epoch: 31: 2022-04-15 14:23:15.876612
Epoch 32/5000, D_loss=0.206056, reward=-9.033391
Epoch: 32: 2022-04-15 14:23:22.576320
Epoch 33/5000, D_loss=0.195710, reward=-9.030193
Epoch: 33: 2022-04-15 14:23:29.147019
Epoch 34/5000, D_loss=0.182102, reward=-9.046820
Epoch: 34: 2022-04-15 14:23:35.952115
Epoch 35/5000, D_loss=0.174985, reward=-9.050083
