pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:19.213251
Test_MRR=0.000328, Test_MR=20155.008456, Test_H@10=0.000319
Epoch: 0: 2022-04-15 14:19:50.811759
Epoch 1/5000, D_loss=2.915628, reward=-9.673346
Epoch: 1: 2022-04-15 14:19:57.034743
Epoch 2/5000, D_loss=2.577589, reward=-9.406757
Epoch: 2: 2022-04-15 14:20:03.632652
Epoch 3/5000, D_loss=2.281980, reward=-9.189282
Epoch: 3: 2022-04-15 14:20:10.219399
Epoch 4/5000, D_loss=2.012861, reward=-9.036057
Epoch: 4: 2022-04-15 14:20:16.268906
Epoch 5/5000, D_loss=1.779987, reward=-8.931435
Epoch: 5: 2022-04-15 14:20:22.603812
Epoch 6/5000, D_loss=1.575906, reward=-8.867836
Epoch: 6: 2022-04-15 14:20:28.390434
Epoch 7/5000, D_loss=1.396873, reward=-8.830084
Epoch: 7: 2022-04-15 14:20:34.139198
Epoch 8/5000, D_loss=1.248388, reward=-8.811237
Epoch: 8: 2022-04-15 14:20:39.980297
Epoch 9/5000, D_loss=1.118509, reward=-8.803944
Epoch: 9: 2022-04-15 14:20:46.281466
Epoch 10/5000, D_loss=1.012531, reward=-8.806330
Epoch: 10: 2022-04-15 14:20:53.126989
Epoch 11/5000, D_loss=0.918355, reward=-8.811533
Epoch: 11: 2022-04-15 14:20:59.509480
Epoch 12/5000, D_loss=0.837787, reward=-8.823682
Epoch: 12: 2022-04-15 14:21:05.843359
Epoch 13/5000, D_loss=0.768727, reward=-8.833451
Epoch: 13: 2022-04-15 14:21:12.254814
Epoch 14/5000, D_loss=0.703423, reward=-8.847929
Epoch: 14: 2022-04-15 14:21:18.984133
Epoch 15/5000, D_loss=0.644820, reward=-8.867840
Epoch: 15: 2022-04-15 14:21:25.331105
Epoch 16/5000, D_loss=0.594688, reward=-8.878501
Epoch: 16: 2022-04-15 14:21:31.634373
Epoch 17/5000, D_loss=0.560150, reward=-8.876528
Epoch: 17: 2022-04-15 14:21:37.657231
Epoch 18/5000, D_loss=0.514450, reward=-8.891894
Epoch: 18: 2022-04-15 14:21:43.301512
Epoch 19/5000, D_loss=0.473707, reward=-8.911858
Epoch: 19: 2022-04-15 14:21:49.183056
Epoch 20/5000, D_loss=0.442289, reward=-8.921248
Epoch: 20: 2022-04-15 14:21:55.287915
Epoch 21/5000, D_loss=0.414606, reward=-8.926468
Epoch: 21: 2022-04-15 14:22:01.573822
Epoch 22/5000, D_loss=0.386566, reward=-8.941521
Epoch: 22: 2022-04-15 14:22:08.115683
Epoch 23/5000, D_loss=0.362946, reward=-8.947036
Epoch: 23: 2022-04-15 14:22:14.427472
Epoch 24/5000, D_loss=0.338464, reward=-8.950677
Epoch: 24: 2022-04-15 14:22:20.744482
Epoch 25/5000, D_loss=0.315260, reward=-8.960551
Epoch: 25: 2022-04-15 14:22:26.414013
Epoch 26/5000, D_loss=0.298676, reward=-8.969431
Epoch: 26: 2022-04-15 14:22:32.254056
Epoch 27/5000, D_loss=0.282259, reward=-8.977597
Epoch: 27: 2022-04-15 14:22:38.027626
Epoch 28/5000, D_loss=0.263465, reward=-8.972158
Epoch: 28: 2022-04-15 14:22:43.889058
Epoch 29/5000, D_loss=0.247363, reward=-8.990365
Epoch: 29: 2022-04-15 14:22:49.713982
Epoch 30/5000, D_loss=0.236159, reward=-8.976330
Epoch: 30: 2022-04-15 14:22:55.200348
Epoch 31/5000, D_loss=0.222980, reward=-8.985509
Epoch: 31: 2022-04-15 14:23:00.613233
Epoch 32/5000, D_loss=0.208955, reward=-8.989599
Epoch: 32: 2022-04-15 14:23:06.378165
Epoch 33/5000, D_loss=0.200635, reward=-8.989888
Epoch: 33: 2022-04-15 14:23:12.223227
Epoch 34/5000, D_loss=0.189095, reward=-8.986685
Epoch: 34: 2022-04-15 14:23:17.924775
Epoch 35/5000, D_loss=0.178082, reward=-9.004990
Epoch: 35: 2022-04-15 14:23:23.680592
Epoch 36/5000, D_loss=0.169627, reward=-9.012189
Epoch: 36: 2022-04-15 14:23:29.560471
Epoch 37/5000, D_loss=0.161397, reward=-8.998291
Epoch: 37: 2022-04-15 14:23:35.502412
Epoch 38/5000, D_loss=0.153462, reward=-9.005025
Epoch: 38: 2022-04-15 14:23:41.008641
Epoch 39/5000, D_loss=0.146781, reward=-9.001960
Epoch: 39: 2022-04-15 14:23:46.670203
Epoch 40/5000, D_loss=0.139999, reward=-9.004611
Epoch: 40: 2022-04-15 14:23:52.250059
Epoch 41/5000, D_loss=0.135711, reward=-8.998243
Epoch: 41: 2022-04-15 14:23:57.828533
Epoch 42/5000, D_loss=0.126614, reward=-8.999624
Epoch: 42: 2022-04-15 14:24:03.450892
Epoch 43/5000, D_loss=0.123296, reward=-8.992537
Epoch: 43: 2022-04-15 14:24:09.111479
Epoch 44/5000, D_loss=0.118771, reward=-8.992846
Epoch: 44: 2022-04-15 14:24:14.611297
Epoch 45/5000, D_loss=0.113173, reward=-9.005883
Epoch: 45: 2022-04-15 14:24:20.121181
Epoch 46/5000, D_loss=0.109214, reward=-9.001312
Epoch: 46: 2022-04-15 14:24:25.718596
Epoch 47/5000, D_loss=0.104448, reward=-8.996669
Epoch: 47: 2022-04-15 14:24:31.383029
Epoch 48/5000, D_loss=0.098746, reward=-9.005559
Epoch: 48: 2022-04-15 14:24:36.949838
Epoch 49/5000, D_loss=0.096578, reward=-8.992326
Epoch: 49: 2022-04-15 14:24:42.558059
Epoch 50/5000, D_loss=0.093449, reward=-8.993184
Test_MRR=0.166644, Test_MR=7721.565096, Test_H@10=0.374423
Epoch: 50: 2022-04-15 14:27:05.992439
