pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-15 14:17:17.019732
Test_MRR=0.000333, Test_MR=20323.565890, Test_H@10=0.000319
Epoch: 0: 2022-04-15 14:18:59.023989
Epoch 1/5000, D_loss=2.929405, reward=-9.620635
Epoch: 1: 2022-04-15 14:19:02.530358
Epoch 2/5000, D_loss=2.639921, reward=-9.341142
Epoch: 2: 2022-04-15 14:19:05.907682
Epoch 3/5000, D_loss=2.375219, reward=-9.119762
Epoch: 3: 2022-04-15 14:19:09.208470
Epoch 4/5000, D_loss=2.144091, reward=-8.937151
Epoch: 4: 2022-04-15 14:19:12.608334
Epoch 5/5000, D_loss=1.935243, reward=-8.788104
Epoch: 5: 2022-04-15 14:19:15.903932
Epoch 6/5000, D_loss=1.739058, reward=-8.677272
Epoch: 6: 2022-04-15 14:19:19.244832
Epoch 7/5000, D_loss=1.552051, reward=-8.598131
Epoch: 7: 2022-04-15 14:19:22.562218
Epoch 8/5000, D_loss=1.398813, reward=-8.524732
Epoch: 8: 2022-04-15 14:19:25.866720
Epoch 9/5000, D_loss=1.263385, reward=-8.463371
Epoch: 9: 2022-04-15 14:19:29.183677
Epoch 10/5000, D_loss=1.141304, reward=-8.424042
Epoch: 10: 2022-04-15 14:19:32.494368
Epoch 11/5000, D_loss=1.036594, reward=-8.390430
Epoch: 11: 2022-04-15 14:19:35.812285
Epoch 12/5000, D_loss=0.937623, reward=-8.373411
Epoch: 12: 2022-04-15 14:19:39.131459
Epoch 13/5000, D_loss=0.854362, reward=-8.362309
Epoch: 13: 2022-04-15 14:19:42.482623
Epoch 14/5000, D_loss=0.797791, reward=-8.329204
Epoch: 14: 2022-04-15 14:19:45.785219
Epoch 15/5000, D_loss=0.723747, reward=-8.335906
Epoch: 15: 2022-04-15 14:19:49.103376
Epoch 16/5000, D_loss=0.672625, reward=-8.319809
Epoch: 16: 2022-04-15 14:19:52.437935
Epoch 17/5000, D_loss=0.623243, reward=-8.316015
Epoch: 17: 2022-04-15 14:19:55.748925
Epoch 18/5000, D_loss=0.579375, reward=-8.312165
Epoch: 18: 2022-04-15 14:19:59.323159
Epoch 19/5000, D_loss=0.540350, reward=-8.302933
Epoch: 19: 2022-04-15 14:20:02.666854
Epoch 20/5000, D_loss=0.505495, reward=-8.299924
Epoch: 20: 2022-04-15 14:20:06.066872
Epoch 21/5000, D_loss=0.468087, reward=-8.306946
Epoch: 21: 2022-04-15 14:20:09.368513
Epoch 22/5000, D_loss=0.435862, reward=-8.304147
Epoch: 22: 2022-04-15 14:20:12.766181
Epoch 23/5000, D_loss=0.412639, reward=-8.300146
Epoch: 23: 2022-04-15 14:20:16.032919
Epoch 24/5000, D_loss=0.380804, reward=-8.305476
Epoch: 24: 2022-04-15 14:20:19.563744
Epoch 25/5000, D_loss=0.360460, reward=-8.296984
Epoch: 25: 2022-04-15 14:20:22.828770
Epoch 26/5000, D_loss=0.337031, reward=-8.296136
Epoch: 26: 2022-04-15 14:20:26.225077
Epoch 27/5000, D_loss=0.319987, reward=-8.293269
Epoch: 27: 2022-04-15 14:20:29.490695
Epoch 28/5000, D_loss=0.295338, reward=-8.298234
Epoch: 28: 2022-04-15 14:20:32.964622
Epoch 29/5000, D_loss=0.281451, reward=-8.296571
Epoch: 29: 2022-04-15 14:20:36.236709
Epoch 30/5000, D_loss=0.264162, reward=-8.294113
Epoch: 30: 2022-04-15 14:20:39.640189
Epoch 31/5000, D_loss=0.250882, reward=-8.286012
Epoch: 31: 2022-04-15 14:20:43.066910
Epoch 32/5000, D_loss=0.234599, reward=-8.288669
Epoch: 32: 2022-04-15 14:20:46.492870
Epoch 33/5000, D_loss=0.222755, reward=-8.286509
Epoch: 33: 2022-04-15 14:20:50.040959
Epoch 34/5000, D_loss=0.210782, reward=-8.280203
Epoch: 34: 2022-04-15 14:20:53.482201
Epoch 35/5000, D_loss=0.197747, reward=-8.284680
Epoch: 35: 2022-04-15 14:20:56.902812
Epoch 36/5000, D_loss=0.190416, reward=-8.273169
Epoch: 36: 2022-04-15 14:21:00.327033
Epoch 37/5000, D_loss=0.177075, reward=-8.270782
Epoch: 37: 2022-04-15 14:21:03.744341
Epoch 38/5000, D_loss=0.170202, reward=-8.269357
Epoch: 38: 2022-04-15 14:21:07.152714
Epoch 39/5000, D_loss=0.162888, reward=-8.262755
Epoch: 39: 2022-04-15 14:21:10.571221
Epoch 40/5000, D_loss=0.153012, reward=-8.264150
Epoch: 40: 2022-04-15 14:21:13.976199
Epoch 41/5000, D_loss=0.144428, reward=-8.260556
Epoch: 41: 2022-04-15 14:21:17.369167
Epoch 42/5000, D_loss=0.139272, reward=-8.252862
Epoch: 42: 2022-04-15 14:21:20.753558
Epoch 43/5000, D_loss=0.131903, reward=-8.252363
Epoch: 43: 2022-04-15 14:21:24.222549
Epoch 44/5000, D_loss=0.125365, reward=-8.248669
Epoch: 44: 2022-04-15 14:21:27.587783
Epoch 45/5000, D_loss=0.121046, reward=-8.238653
Epoch: 45: 2022-04-15 14:21:30.940319
Epoch 46/5000, D_loss=0.116086, reward=-8.237381
Epoch: 46: 2022-04-15 14:21:34.323251
Epoch 47/5000, D_loss=0.110929, reward=-8.227029
Epoch: 47: 2022-04-15 14:21:37.714065
Epoch 48/5000, D_loss=0.106255, reward=-8.231751
Epoch: 48: 2022-04-15 14:21:41.104891
Epoch 49/5000, D_loss=0.103417, reward=-8.223110
Epoch: 49: 2022-04-15 14:21:44.496662
Epoch 50/5000, D_loss=0.098081, reward=-8.223405
Test_MRR=0.173173, Test_MR=7239.810976, Test_H@10=0.384806
Epoch: 50: 2022-04-15 14:23:26.947552
Epoch 51/5000, D_loss=0.093266, reward=-8.227903
Epoch: 51: 2022-04-15 14:23:30.440568
Epoch 52/5000, D_loss=0.090147, reward=-8.221887
Epoch: 52: 2022-04-15 14:23:33.790285
Epoch 53/5000, D_loss=0.086717, reward=-8.214309
Epoch: 53: 2022-04-15 14:23:37.223906
Epoch 54/5000, D_loss=0.082403, reward=-8.213831
Epoch: 54: 2022-04-15 14:23:40.541654
Epoch 55/5000, D_loss=0.081416, reward=-8.210850
Epoch: 55: 2022-04-15 14:23:43.977341
Epoch 56/5000, D_loss=0.078979, reward=-8.209358
Epoch: 56: 2022-04-15 14:23:47.437073
Epoch 57/5000, D_loss=0.074931, reward=-8.208424
Epoch: 57: 2022-04-15 14:23:50.862797
