pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=50
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=200
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-26 23:27:49.475934
Test_MRR=0.000086, Test_MR=62167.117824, Test_H@10=0.000000
Epoch: 0: 2022-04-26 23:35:29.156805
Epoch 1/1000, D_loss=2.585621, reward=-9.241735
Epoch: 1: 2022-04-26 23:36:14.023867
Epoch 2/1000, D_loss=1.921298, reward=-8.524792
Epoch: 2: 2022-04-26 23:36:57.342353
Epoch 3/1000, D_loss=1.572906, reward=-8.118482
Epoch: 3: 2022-04-26 23:37:40.380541
Epoch 4/1000, D_loss=1.343717, reward=-7.861482
Epoch: 4: 2022-04-26 23:38:23.913034
Epoch 5/1000, D_loss=1.175619, reward=-7.685229
Epoch: 5: 2022-04-26 23:39:06.183397
Epoch 6/1000, D_loss=1.049371, reward=-7.567325
Epoch: 6: 2022-04-26 23:39:48.359013
Epoch 7/1000, D_loss=0.950982, reward=-7.492502
Epoch: 7: 2022-04-26 23:40:30.343760
Epoch 8/1000, D_loss=0.871267, reward=-7.445616
Epoch: 8: 2022-04-26 23:41:12.231591
Epoch 9/1000, D_loss=0.799098, reward=-7.429318
Epoch: 9: 2022-04-26 23:41:54.132634
Epoch 10/1000, D_loss=0.732025, reward=-7.437931
Epoch: 10: 2022-04-26 23:42:35.787857
Epoch 11/1000, D_loss=0.676193, reward=-7.456145
Epoch: 11: 2022-04-26 23:43:17.596457
Epoch 12/1000, D_loss=0.620360, reward=-7.491759
