pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=50
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=200
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-26 23:27:50.761862
Test_MRR=0.000126, Test_MR=60420.391309, Test_H@10=0.000100
Epoch: 0: 2022-04-26 23:39:08.362626
Epoch 1/1000, D_loss=2.476000, reward=-9.196613
Epoch: 1: 2022-04-26 23:39:51.070629
Epoch 2/1000, D_loss=1.801987, reward=-8.459270
Epoch: 2: 2022-04-26 23:40:33.591885
Epoch 3/1000, D_loss=1.478426, reward=-8.138140
Epoch: 3: 2022-04-26 23:41:16.033334
Epoch 4/1000, D_loss=1.258322, reward=-7.962221
Epoch: 4: 2022-04-26 23:41:58.612908
Epoch 5/1000, D_loss=1.094977, reward=-7.883770
Epoch: 5: 2022-04-26 23:42:41.340299
Epoch 6/1000, D_loss=0.974428, reward=-7.864967
Epoch: 6: 2022-04-26 23:43:23.963464
Epoch 7/1000, D_loss=0.872926, reward=-7.897502
Epoch: 7: 2022-04-26 23:44:06.776101
Epoch 8/1000, D_loss=0.791383, reward=-7.957319
Epoch: 8: 2022-04-26 23:44:49.645321
Epoch 9/1000, D_loss=0.717720, reward=-8.045004
Epoch: 9: 2022-04-26 23:45:32.266380
Epoch 10/1000, D_loss=0.652229, reward=-8.156670
Epoch: 10: 2022-04-26 23:46:15.104664
Epoch 11/1000, D_loss=0.591974, reward=-8.283667
Epoch: 11: 2022-04-26 23:46:58.243091
Epoch 12/1000, D_loss=0.536202, reward=-8.417257
Epoch: 12: 2022-04-26 23:47:40.982394
Epoch 13/1000, D_loss=0.493410, reward=-8.540112
Epoch: 13: 2022-04-26 23:48:23.656694
Epoch 14/1000, D_loss=0.455479, reward=-8.657278
Epoch: 14: 2022-04-26 23:49:06.261568
Epoch 15/1000, D_loss=0.427238, reward=-8.758180
Epoch: 15: 2022-04-26 23:49:49.043990
Epoch 16/1000, D_loss=0.399235, reward=-8.855563
Epoch: 16: 2022-04-26 23:50:32.112389
Epoch 17/1000, D_loss=0.378071, reward=-8.937200
Epoch: 17: 2022-04-26 23:51:16.041974
Epoch 18/1000, D_loss=0.356034, reward=-9.017274
Epoch: 18: 2022-04-26 23:51:58.617253
Epoch 19/1000, D_loss=0.338313, reward=-9.085724
Epoch: 19: 2022-04-26 23:52:41.361739
Epoch 20/1000, D_loss=0.319725, reward=-9.152470
Epoch: 20: 2022-04-26 23:53:24.083017
Epoch 21/1000, D_loss=0.307049, reward=-9.202401
Epoch: 21: 2022-04-26 23:54:06.643301
Epoch 22/1000, D_loss=0.296036, reward=-9.232023
Epoch: 22: 2022-04-26 23:54:49.291060
Epoch 23/1000, D_loss=0.289302, reward=-9.244286
Epoch: 23: 2022-04-26 23:55:31.842804
Epoch 24/1000, D_loss=0.284390, reward=-9.233794
Epoch: 24: 2022-04-26 23:56:14.370491
Epoch 25/1000, D_loss=0.282881, reward=-9.203020
Epoch: 25: 2022-04-26 23:56:56.825508
Epoch 26/1000, D_loss=0.280679, reward=-9.164442
