pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=50
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=200
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-26 23:27:49.866717
Test_MRR=0.000071, Test_MR=61730.290345, Test_H@10=0.000000
Epoch: 0: 2022-04-26 23:34:28.369394
Epoch 1/1000, D_loss=2.581921, reward=-9.203452
Epoch: 1: 2022-04-26 23:34:56.027345
Epoch 2/1000, D_loss=1.919557, reward=-8.500832
Epoch: 2: 2022-04-26 23:35:23.903194
Epoch 3/1000, D_loss=1.571448, reward=-8.099269
Epoch: 3: 2022-04-26 23:35:51.904695
Epoch 4/1000, D_loss=1.340449, reward=-7.841783
Epoch: 4: 2022-04-26 23:36:18.991978
Epoch 5/1000, D_loss=1.172426, reward=-7.667079
Epoch: 5: 2022-04-26 23:36:47.227499
Epoch 6/1000, D_loss=1.048578, reward=-7.545027
Epoch: 6: 2022-04-26 23:37:14.939224
Epoch 7/1000, D_loss=0.951820, reward=-7.470881
Epoch: 7: 2022-04-26 23:37:42.965655
Epoch 8/1000, D_loss=0.873394, reward=-7.427335
Epoch: 8: 2022-04-26 23:38:10.846270
Epoch 9/1000, D_loss=0.802527, reward=-7.414154
Epoch: 9: 2022-04-26 23:38:38.561176
Epoch 10/1000, D_loss=0.736930, reward=-7.423355
Epoch: 10: 2022-04-26 23:39:06.364354
Epoch 11/1000, D_loss=0.681592, reward=-7.445329
Epoch: 11: 2022-04-26 23:39:33.868365
Epoch 12/1000, D_loss=0.623722, reward=-7.487933
