pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=50
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=False
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=1000
adv.n_batch=200
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-26 23:27:47.441377
Test_MRR=0.000071, Test_MR=60985.693898, Test_H@10=0.000000
Epoch: 0: 2022-04-26 23:39:23.202860
Epoch 1/1000, D_loss=2.454380, reward=-9.162098
Epoch: 1: 2022-04-26 23:40:20.790458
Epoch 2/1000, D_loss=1.798974, reward=-8.425073
Epoch: 2: 2022-04-26 23:41:18.256242
Epoch 3/1000, D_loss=1.500429, reward=-8.115785
Epoch: 3: 2022-04-26 23:42:15.489320
Epoch 4/1000, D_loss=1.294832, reward=-7.934740
Epoch: 4: 2022-04-26 23:43:12.592858
Epoch 5/1000, D_loss=1.140509, reward=-7.837487
Epoch: 5: 2022-04-26 23:44:09.864323
Epoch 6/1000, D_loss=1.022852, reward=-7.797473
Epoch: 6: 2022-04-26 23:45:06.924718
Epoch 7/1000, D_loss=0.920441, reward=-7.814769
Epoch: 7: 2022-04-26 23:46:04.294836
Epoch 8/1000, D_loss=0.833672, reward=-7.863296
Epoch: 8: 2022-04-26 23:47:02.058197
Epoch 9/1000, D_loss=0.751983, reward=-7.943968
Epoch: 9: 2022-04-26 23:47:59.110542
Epoch 10/1000, D_loss=0.680158, reward=-8.042309
Epoch: 10: 2022-04-26 23:48:56.471680
Epoch 11/1000, D_loss=0.613915, reward=-8.156492
Epoch: 11: 2022-04-26 23:49:54.055412
Epoch 12/1000, D_loss=0.557428, reward=-8.271605
Epoch: 12: 2022-04-26 23:50:51.402716
Epoch 13/1000, D_loss=0.509282, reward=-8.386253
Epoch: 13: 2022-04-26 23:51:49.561249
Epoch 14/1000, D_loss=0.467033, reward=-8.496832
Epoch: 14: 2022-04-26 23:52:47.399853
Epoch 15/1000, D_loss=0.430139, reward=-8.601777
Epoch: 15: 2022-04-26 23:53:45.371248
Epoch 16/1000, D_loss=0.400356, reward=-8.696924
Epoch: 16: 2022-04-26 23:54:42.617376
Epoch 17/1000, D_loss=0.374097, reward=-8.783844
Epoch: 17: 2022-04-26 23:55:40.003431
Epoch 18/1000, D_loss=0.352237, reward=-8.864152
Epoch: 18: 2022-04-26 23:56:37.262166
Epoch 19/1000, D_loss=0.332701, reward=-8.939119
Epoch: 19: 2022-04-26 23:57:34.954922
Epoch 20/1000, D_loss=0.315445, reward=-9.011258
Epoch: 20: 2022-04-26 23:58:32.504133
Epoch 21/1000, D_loss=0.298657, reward=-9.078843
Epoch: 21: 2022-04-26 23:59:30.178514
Epoch 22/1000, D_loss=0.285999, reward=-9.134501
Epoch: 22: 2022-04-27 00:00:27.838725
Epoch 23/1000, D_loss=0.273609, reward=-9.183875
Epoch: 23: 2022-04-27 00:01:25.940806
Epoch 24/1000, D_loss=0.260923, reward=-9.232452
Epoch: 24: 2022-04-27 00:02:23.471651
Epoch 25/1000, D_loss=0.251441, reward=-9.276777
Epoch: 25: 2022-04-27 00:03:20.582960
Epoch 26/1000, D_loss=0.242832, reward=-9.302551
Epoch: 26: 2022-04-27 00:04:17.765253
Epoch 27/1000, D_loss=0.234879, reward=-9.333305
Epoch: 27: 2022-04-27 00:05:14.843649
Epoch 28/1000, D_loss=0.229141, reward=-9.343282
Epoch: 28: 2022-04-27 00:06:12.702880
Epoch 29/1000, D_loss=0.225963, reward=-9.333863
Epoch: 29: 2022-04-27 00:07:10.163401
Epoch 30/1000, D_loss=0.224651, reward=-9.315548
Epoch: 30: 2022-04-27 00:08:07.113399
Epoch 31/1000, D_loss=0.225083, reward=-9.282638
Epoch: 31: 2022-04-27 00:09:05.179619
Epoch 32/1000, D_loss=0.226562, reward=-9.234934
Epoch: 32: 2022-04-27 00:10:02.746339
Epoch 33/1000, D_loss=0.230388, reward=-9.184931
Epoch: 33: 2022-04-27 00:11:00.894192
Epoch 34/1000, D_loss=0.231416, reward=-9.139968
Epoch: 34: 2022-04-27 00:12:00.462635
Epoch 35/1000, D_loss=0.233089, reward=-9.097138
Epoch: 35: 2022-04-27 00:12:58.556358
Epoch 36/1000, D_loss=0.234646, reward=-9.057551
Epoch: 36: 2022-04-27 00:13:56.226577
Epoch 37/1000, D_loss=0.235372, reward=-9.022428
Epoch: 37: 2022-04-27 00:14:54.866778
Epoch 38/1000, D_loss=0.236415, reward=-8.986957
Epoch: 38: 2022-04-27 00:15:53.214862
Epoch 39/1000, D_loss=0.236264, reward=-8.955369
Epoch: 39: 2022-04-27 00:16:50.961035
Epoch 40/1000, D_loss=0.236790, reward=-8.924623
Epoch: 40: 2022-04-27 00:17:49.084442
Epoch 41/1000, D_loss=0.237331, reward=-8.896454
Epoch: 41: 2022-04-27 00:18:46.424151
Epoch 42/1000, D_loss=0.237064, reward=-8.871607
Epoch: 42: 2022-04-27 00:19:44.611564
Epoch 43/1000, D_loss=0.237366, reward=-8.848102
Epoch: 43: 2022-04-27 00:20:42.043733
Epoch 44/1000, D_loss=0.238015, reward=-8.820800
Epoch: 44: 2022-04-27 00:21:39.545484
Epoch 45/1000, D_loss=0.239131, reward=-8.794785
Epoch: 45: 2022-04-27 00:22:36.938023
Epoch 46/1000, D_loss=0.239291, reward=-8.770341
Epoch: 46: 2022-04-27 00:23:34.716024
Epoch 47/1000, D_loss=0.238722, reward=-8.751935
Epoch: 47: 2022-04-27 00:24:31.793047
Epoch 48/1000, D_loss=0.241075, reward=-8.724183
Epoch: 48: 2022-04-27 00:25:29.682051
Epoch 49/1000, D_loss=0.242544, reward=-8.698910
Epoch: 49: 2022-04-27 00:26:27.192089
Epoch 50/1000, D_loss=0.243617, reward=-8.679071
Test_MRR=0.099752, Test_MR=2001.266774, Test_H@10=0.199076
Epoch: 50: 2022-04-27 00:38:45.936478
Epoch 51/1000, D_loss=0.245234, reward=-8.656609
Epoch: 51: 2022-04-27 00:39:43.916718
Epoch 52/1000, D_loss=0.247149, reward=-8.631005
Epoch: 52: 2022-04-27 00:40:41.293451
Epoch 53/1000, D_loss=0.248318, reward=-8.609693
Epoch: 53: 2022-04-27 00:41:38.650705
Epoch 54/1000, D_loss=0.249363, reward=-8.590515
Epoch: 54: 2022-04-27 00:42:35.817073
Epoch 55/1000, D_loss=0.252706, reward=-8.566806
Epoch: 55: 2022-04-27 00:43:33.152838
Epoch 56/1000, D_loss=0.254378, reward=-8.544496
Epoch: 56: 2022-04-27 00:44:30.237955
Epoch 57/1000, D_loss=0.256226, reward=-8.524787
Epoch: 57: 2022-04-27 00:45:27.582295
Epoch 58/1000, D_loss=0.256948, reward=-8.508911
Epoch: 58: 2022-04-27 00:46:25.655289
Epoch 59/1000, D_loss=0.259062, reward=-8.489608
Epoch: 59: 2022-04-27 00:47:23.271944
Epoch 60/1000, D_loss=0.260485, reward=-8.472043
Epoch: 60: 2022-04-27 00:48:20.621078
Epoch 61/1000, D_loss=0.261778, reward=-8.455934
Epoch: 61: 2022-04-27 00:49:17.931873
Epoch 62/1000, D_loss=0.262821, reward=-8.442497
Epoch: 62: 2022-04-27 00:50:15.517860
Epoch 63/1000, D_loss=0.263527, reward=-8.430074
Epoch: 63: 2022-04-27 00:51:12.971079
Epoch 64/1000, D_loss=0.265169, reward=-8.417902
Epoch: 64: 2022-04-27 00:52:11.105193
Epoch 65/1000, D_loss=0.266011, reward=-8.404560
Epoch: 65: 2022-04-27 00:53:09.063253
Epoch 66/1000, D_loss=0.266283, reward=-8.396092
Epoch: 66: 2022-04-27 00:54:08.103649
Epoch 67/1000, D_loss=0.267788, reward=-8.387452
Epoch: 67: 2022-04-27 00:55:08.197506
Epoch 68/1000, D_loss=0.267601, reward=-8.376978
Epoch: 68: 2022-04-27 00:56:06.608680
Epoch 69/1000, D_loss=0.267574, reward=-8.372517
Epoch: 69: 2022-04-27 00:57:05.935217
Epoch 70/1000, D_loss=0.270132, reward=-8.360873
Epoch: 70: 2022-04-27 00:58:04.404070
Epoch 71/1000, D_loss=0.270208, reward=-8.353745
Epoch: 71: 2022-04-27 00:59:02.331542
Epoch 72/1000, D_loss=0.268576, reward=-8.350079
Epoch: 72: 2022-04-27 01:00:00.386467
Epoch 73/1000, D_loss=0.268133, reward=-8.345134
Epoch: 73: 2022-04-27 01:00:58.667016
Epoch 74/1000, D_loss=0.268941, reward=-8.341701
Epoch: 74: 2022-04-27 01:01:56.531563
Epoch 75/1000, D_loss=0.266973, reward=-8.342218
Epoch: 75: 2022-04-27 01:02:54.691058
Epoch 76/1000, D_loss=0.266949, reward=-8.337759
Epoch: 76: 2022-04-27 01:03:52.805405
