pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=5000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-21 20:57:46.533603
Test_MRR=0.339334, Test_MR=82.509404, Test_H@10=0.564109
Epoch: 0: 2022-04-21 20:59:49.177924
Epoch 1/5000, D_loss=0.718769, reward=-7.886149
Epoch: 1: 2022-04-21 20:59:51.257291
Epoch 2/5000, D_loss=0.699077, reward=-7.958665
Epoch: 2: 2022-04-21 20:59:53.431027
Epoch 3/5000, D_loss=0.690879, reward=-8.002275
Epoch: 3: 2022-04-21 20:59:55.682437
Epoch 4/5000, D_loss=0.685686, reward=-8.027719
Epoch: 4: 2022-04-21 20:59:57.919356
Epoch 5/5000, D_loss=0.681938, reward=-8.047467
Epoch: 5: 2022-04-21 21:00:00.174656
Epoch 6/5000, D_loss=0.684878, reward=-8.059514
Epoch: 6: 2022-04-21 21:00:02.485105
Epoch 7/5000, D_loss=0.681448, reward=-8.079676
Epoch: 7: 2022-04-21 21:00:04.748252
Epoch 8/5000, D_loss=0.678721, reward=-8.093836
Epoch: 8: 2022-04-21 21:00:06.807414
Epoch 9/5000, D_loss=0.675427, reward=-8.113064
Epoch: 9: 2022-04-21 21:00:09.046157
Epoch 10/5000, D_loss=0.676883, reward=-8.116490
Epoch: 10: 2022-04-21 21:00:11.262928
Epoch 11/5000, D_loss=0.674335, reward=-8.128945
Epoch: 11: 2022-04-21 21:00:13.496056
Epoch 12/5000, D_loss=0.673353, reward=-8.139224
Epoch: 12: 2022-04-21 21:00:15.825306
Epoch 13/5000, D_loss=0.674813, reward=-8.145335
Epoch: 13: 2022-04-21 21:00:18.034338
Epoch 14/5000, D_loss=0.674271, reward=-8.150533
Epoch: 14: 2022-04-21 21:00:20.292631
Epoch 15/5000, D_loss=0.672574, reward=-8.163956
Epoch: 15: 2022-04-21 21:00:22.505641
Epoch 16/5000, D_loss=0.674524, reward=-8.165103
Epoch: 16: 2022-04-21 21:00:24.634776
Epoch 17/5000, D_loss=0.673901, reward=-8.171237
Epoch: 17: 2022-04-21 21:00:26.805684
Epoch 18/5000, D_loss=0.670892, reward=-8.179103
Epoch: 18: 2022-04-21 21:00:28.980138
