pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=5000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-21 20:57:43.006818
Test_MRR=0.333107, Test_MR=83.579836, Test_H@10=0.555052
Epoch: 0: 2022-04-21 20:59:29.928771
Epoch 1/5000, D_loss=0.774559, reward=-7.048710
Epoch: 1: 2022-04-21 20:59:31.448516
Epoch 2/5000, D_loss=0.758070, reward=-7.111421
Epoch: 2: 2022-04-21 20:59:32.837593
Epoch 3/5000, D_loss=0.747543, reward=-7.159697
Epoch: 3: 2022-04-21 20:59:34.284451
Epoch 4/5000, D_loss=0.740830, reward=-7.201509
Epoch: 4: 2022-04-21 20:59:35.749877
Epoch 5/5000, D_loss=0.737794, reward=-7.233540
Epoch: 5: 2022-04-21 20:59:37.217036
Epoch 6/5000, D_loss=0.733262, reward=-7.267216
Epoch: 6: 2022-04-21 20:59:38.688328
Epoch 7/5000, D_loss=0.732626, reward=-7.292745
Epoch: 7: 2022-04-21 20:59:40.059995
Epoch 8/5000, D_loss=0.727245, reward=-7.324474
Epoch: 8: 2022-04-21 20:59:41.515240
Epoch 9/5000, D_loss=0.730789, reward=-7.338406
Epoch: 9: 2022-04-21 20:59:42.999376
Epoch 10/5000, D_loss=0.730291, reward=-7.360502
Epoch: 10: 2022-04-21 20:59:44.365364
Epoch 11/5000, D_loss=0.725542, reward=-7.381713
Epoch: 11: 2022-04-21 20:59:45.788735
Epoch 12/5000, D_loss=0.725828, reward=-7.403158
Epoch: 12: 2022-04-21 20:59:47.144521
Epoch 13/5000, D_loss=0.727112, reward=-7.416804
Epoch: 13: 2022-04-21 20:59:48.527481
Epoch 14/5000, D_loss=0.726825, reward=-7.435009
Epoch: 14: 2022-04-21 20:59:49.979130
Epoch 15/5000, D_loss=0.726200, reward=-7.450329
Epoch: 15: 2022-04-21 20:59:51.395679
Epoch 16/5000, D_loss=0.724854, reward=-7.465804
Epoch: 16: 2022-04-21 20:59:52.869094
Epoch 17/5000, D_loss=0.725423, reward=-7.481513
Epoch: 17: 2022-04-21 20:59:54.307609
Epoch 18/5000, D_loss=0.720676, reward=-7.501091
Epoch: 18: 2022-04-21 20:59:55.692621
Epoch 19/5000, D_loss=0.720933, reward=-7.514910
Epoch: 19: 2022-04-21 20:59:57.145033
Epoch 20/5000, D_loss=0.725570, reward=-7.517690
Epoch: 20: 2022-04-21 20:59:58.640306
Epoch 21/5000, D_loss=0.721571, reward=-7.539308
Epoch: 21: 2022-04-21 21:00:00.004441
Epoch 22/5000, D_loss=0.725322, reward=-7.542926
Epoch: 22: 2022-04-21 21:00:01.367857
Epoch 23/5000, D_loss=0.722461, reward=-7.557206
Epoch: 23: 2022-04-21 21:00:02.649667
Epoch 24/5000, D_loss=0.722539, reward=-7.568378
Epoch: 24: 2022-04-21 21:00:04.048025
Epoch 25/5000, D_loss=0.723571, reward=-7.578035
Epoch: 25: 2022-04-21 21:00:05.412806
Epoch 26/5000, D_loss=0.722916, reward=-7.587870
Epoch: 26: 2022-04-21 21:00:06.767696
Epoch 27/5000, D_loss=0.720608, reward=-7.599955
Epoch: 27: 2022-04-21 21:00:07.949381
Epoch 28/5000, D_loss=0.722095, reward=-7.604579
Epoch: 28: 2022-04-21 21:00:09.192611
Epoch 29/5000, D_loss=0.719958, reward=-7.617088
Epoch: 29: 2022-04-21 21:00:10.489363
Epoch 30/5000, D_loss=0.723315, reward=-7.623009
Epoch: 30: 2022-04-21 21:00:11.780743
Epoch 31/5000, D_loss=0.719798, reward=-7.634305
Epoch: 31: 2022-04-21 21:00:13.143304
Epoch 32/5000, D_loss=0.719547, reward=-7.643055
Epoch: 32: 2022-04-21 21:00:14.689955
Epoch 33/5000, D_loss=0.719541, reward=-7.651827
Epoch: 33: 2022-04-21 21:00:16.175632
Epoch 34/5000, D_loss=0.718981, reward=-7.658488
Epoch: 34: 2022-04-21 21:00:17.653747
Epoch 35/5000, D_loss=0.719457, reward=-7.663085
Epoch: 35: 2022-04-21 21:00:19.133969
Epoch 36/5000, D_loss=0.721579, reward=-7.669029
Epoch: 36: 2022-04-21 21:00:20.461506
Epoch 37/5000, D_loss=0.721158, reward=-7.674236
Epoch: 37: 2022-04-21 21:00:21.728106
Epoch 38/5000, D_loss=0.721983, reward=-7.680754
Epoch: 38: 2022-04-21 21:00:23.083597
Epoch 39/5000, D_loss=0.720274, reward=-7.689278
Epoch: 39: 2022-04-21 21:00:24.573056
Epoch 40/5000, D_loss=0.720024, reward=-7.693746
Epoch: 40: 2022-04-21 21:00:25.979385
Epoch 41/5000, D_loss=0.720455, reward=-7.701068
Epoch: 41: 2022-04-21 21:00:27.431973
Epoch 42/5000, D_loss=0.719608, reward=-7.705781
Epoch: 42: 2022-04-21 21:00:28.909052
Epoch 43/5000, D_loss=0.721985, reward=-7.707475
Epoch: 43: 2022-04-21 21:00:30.276712
Epoch 44/5000, D_loss=0.717745, reward=-7.718529
Epoch: 44: 2022-04-21 21:00:31.632220
Epoch 45/5000, D_loss=0.717928, reward=-7.721597
Epoch: 45: 2022-04-21 21:00:32.989803
Epoch 46/5000, D_loss=0.719289, reward=-7.724654
Epoch: 46: 2022-04-21 21:00:34.349041
Epoch 47/5000, D_loss=0.718938, reward=-7.730613
Epoch: 47: 2022-04-21 21:00:35.706699
Epoch 48/5000, D_loss=0.718621, reward=-7.733083
Epoch: 48: 2022-04-21 21:00:36.876989
Epoch 49/5000, D_loss=0.718916, reward=-7.736017
Epoch: 49: 2022-04-21 21:00:38.123765
Epoch 50/5000, D_loss=0.715842, reward=-7.744447
Test_MRR=0.384401, Test_MR=231.455060, Test_H@10=0.626170
Epoch: 50: 2022-04-21 21:02:15.893700
Epoch 51/5000, D_loss=0.719393, reward=-7.744582
Epoch: 51: 2022-04-21 21:02:17.248595
Epoch 52/5000, D_loss=0.717081, reward=-7.751393
Epoch: 52: 2022-04-21 21:02:18.476870
Epoch 53/5000, D_loss=0.719997, reward=-7.749188
Epoch: 53: 2022-04-21 21:02:19.899990
Epoch 54/5000, D_loss=0.718411, reward=-7.753937
Epoch: 54: 2022-04-21 21:02:21.315230
Epoch 55/5000, D_loss=0.719724, reward=-7.753922
Epoch: 55: 2022-04-21 21:02:22.776848
Epoch 56/5000, D_loss=0.718554, reward=-7.759441
Epoch: 56: 2022-04-21 21:02:24.228048
Epoch 57/5000, D_loss=0.718381, reward=-7.762175
Epoch: 57: 2022-04-21 21:02:25.544421
Epoch 58/5000, D_loss=0.720858, reward=-7.762280
Epoch: 58: 2022-04-21 21:02:26.857274
Epoch 59/5000, D_loss=0.719077, reward=-7.765594
Epoch: 59: 2022-04-21 21:02:28.136651
Epoch 60/5000, D_loss=0.719325, reward=-7.769642
Epoch: 60: 2022-04-21 21:02:29.395479
Epoch 61/5000, D_loss=0.721006, reward=-7.767522
Epoch: 61: 2022-04-21 21:02:30.790628
Epoch 62/5000, D_loss=0.718505, reward=-7.773374
Epoch: 62: 2022-04-21 21:02:32.126956
Epoch 63/5000, D_loss=0.716898, reward=-7.779735
Epoch: 63: 2022-04-21 21:02:33.520326
Epoch 64/5000, D_loss=0.718159, reward=-7.780563
Epoch: 64: 2022-04-21 21:02:34.915906
Epoch 65/5000, D_loss=0.719791, reward=-7.779562
Epoch: 65: 2022-04-21 21:02:36.407332
Epoch 66/5000, D_loss=0.720770, reward=-7.781254
Epoch: 66: 2022-04-21 21:02:37.839791
Epoch 67/5000, D_loss=0.718532, reward=-7.784330
Epoch: 67: 2022-04-21 21:02:39.259287
Epoch 68/5000, D_loss=0.718044, reward=-7.787130
Epoch: 68: 2022-04-21 21:02:40.722671
Epoch 69/5000, D_loss=0.719477, reward=-7.787267
Epoch: 69: 2022-04-21 21:02:42.188095
Epoch 70/5000, D_loss=0.718286, reward=-7.790243
Epoch: 70: 2022-04-21 21:02:43.644610
Epoch 71/5000, D_loss=0.718622, reward=-7.790332
Epoch: 71: 2022-04-21 21:02:45.102778
Epoch 72/5000, D_loss=0.719598, reward=-7.789782
Epoch: 72: 2022-04-21 21:02:46.466325
Epoch 73/5000, D_loss=0.717235, reward=-7.794941
Epoch: 73: 2022-04-21 21:02:47.928295
Epoch 74/5000, D_loss=0.718140, reward=-7.795421
Epoch: 74: 2022-04-21 21:02:49.411553
Epoch 75/5000, D_loss=0.720794, reward=-7.793941
Epoch: 75: 2022-04-21 21:02:50.877284
Epoch 76/5000, D_loss=0.718251, reward=-7.797314
Epoch: 76: 2022-04-21 21:02:52.351944
Epoch 77/5000, D_loss=0.719068, reward=-7.799220
Epoch: 77: 2022-04-21 21:02:53.839571
Epoch 78/5000, D_loss=0.718906, reward=-7.799899
Epoch: 78: 2022-04-21 21:02:55.194776
Epoch 79/5000, D_loss=0.718798, reward=-7.800767
Epoch: 79: 2022-04-21 21:02:56.555686
Epoch 80/5000, D_loss=0.718201, reward=-7.805830
Epoch: 80: 2022-04-21 21:02:57.963227
Epoch 81/5000, D_loss=0.717853, reward=-7.805662
Epoch: 81: 2022-04-21 21:02:59.423385
Epoch 82/5000, D_loss=0.721162, reward=-7.802209
Epoch: 82: 2022-04-21 21:03:00.762105
Epoch 83/5000, D_loss=0.719695, reward=-7.804456
Epoch: 83: 2022-04-21 21:03:02.092429
Epoch 84/5000, D_loss=0.720649, reward=-7.804709
Epoch: 84: 2022-04-21 21:03:03.531781
Epoch 85/5000, D_loss=0.719284, reward=-7.808561
Epoch: 85: 2022-04-21 21:03:04.842679
Epoch 86/5000, D_loss=0.716615, reward=-7.814485
Epoch: 86: 2022-04-21 21:03:06.093441
Epoch 87/5000, D_loss=0.717449, reward=-7.814961
Epoch: 87: 2022-04-21 21:03:07.426971
Epoch 88/5000, D_loss=0.720727, reward=-7.807870
Epoch: 88: 2022-04-21 21:03:08.779503
Epoch 89/5000, D_loss=0.722921, reward=-7.808146
Epoch: 89: 2022-04-21 21:03:10.126852
Epoch 90/5000, D_loss=0.721388, reward=-7.809240
Epoch: 90: 2022-04-21 21:03:11.382862
Epoch 91/5000, D_loss=0.719426, reward=-7.813149
Epoch: 91: 2022-04-21 21:03:12.682291
Epoch 92/5000, D_loss=0.718431, reward=-7.815232
Epoch: 92: 2022-04-21 21:03:13.855175
Epoch 93/5000, D_loss=0.720415, reward=-7.813876
Epoch: 93: 2022-04-21 21:03:15.122422
Epoch 94/5000, D_loss=0.719766, reward=-7.814994
Epoch: 94: 2022-04-21 21:03:16.378826
