pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=5000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-21 20:57:55.217857
Test_MRR=0.339334, Test_MR=82.509404, Test_H@10=0.564109
Epoch: 0: 2022-04-21 20:59:59.760021
Epoch 1/5000, D_loss=0.719692, reward=-7.858700
Epoch: 1: 2022-04-21 21:00:02.641196
Epoch 2/5000, D_loss=0.700555, reward=-7.928329
Epoch: 2: 2022-04-21 21:00:05.429859
Epoch 3/5000, D_loss=0.693635, reward=-7.970134
Epoch: 3: 2022-04-21 21:00:08.074564
Epoch 4/5000, D_loss=0.688840, reward=-7.997055
Epoch: 4: 2022-04-21 21:00:10.629759
Epoch 5/5000, D_loss=0.683870, reward=-8.021433
Epoch: 5: 2022-04-21 21:00:13.256373
Epoch 6/5000, D_loss=0.680894, reward=-8.041945
Epoch: 6: 2022-04-21 21:00:16.102427
Epoch 7/5000, D_loss=0.680166, reward=-8.056457
Epoch: 7: 2022-04-21 21:00:18.980253
Epoch 8/5000, D_loss=0.679337, reward=-8.066731
Epoch: 8: 2022-04-21 21:00:21.866866
Epoch 9/5000, D_loss=0.677877, reward=-8.077624
Epoch: 9: 2022-04-21 21:00:24.633136
Epoch 10/5000, D_loss=0.674408, reward=-8.094510
Epoch: 10: 2022-04-21 21:00:27.519828
Epoch 11/5000, D_loss=0.672412, reward=-8.108582
Epoch: 11: 2022-04-21 21:00:30.390172
Epoch 12/5000, D_loss=0.671274, reward=-8.115566
Epoch: 12: 2022-04-21 21:00:33.233990
Epoch 13/5000, D_loss=0.675509, reward=-8.115035
Epoch: 13: 2022-04-21 21:00:36.048807
Epoch 14/5000, D_loss=0.673990, reward=-8.125668
Epoch: 14: 2022-04-21 21:00:38.848835
Epoch 15/5000, D_loss=0.672869, reward=-8.137173
Epoch: 15: 2022-04-21 21:00:41.612826
Epoch 16/5000, D_loss=0.671776, reward=-8.134365
Epoch: 16: 2022-04-21 21:00:44.365656
Epoch 17/5000, D_loss=0.674708, reward=-8.137267
Epoch: 17: 2022-04-21 21:00:47.254756
Epoch 18/5000, D_loss=0.673377, reward=-8.139090
Epoch: 18: 2022-04-21 21:00:50.051076
Epoch 19/5000, D_loss=0.671793, reward=-8.144028
Epoch: 19: 2022-04-21 21:00:52.575845
Epoch 20/5000, D_loss=0.675353, reward=-8.142130
Epoch: 20: 2022-04-21 21:00:55.096796
Epoch 21/5000, D_loss=0.671288, reward=-8.152164
Epoch: 21: 2022-04-21 21:00:57.996303
Epoch 22/5000, D_loss=0.673128, reward=-8.149387
Epoch: 22: 2022-04-21 21:01:00.917495
Epoch 23/5000, D_loss=0.671339, reward=-8.156218
Epoch: 23: 2022-04-21 21:01:03.847022
Epoch 24/5000, D_loss=0.672010, reward=-8.159852
Epoch: 24: 2022-04-21 21:01:06.722332
Epoch 25/5000, D_loss=0.670289, reward=-8.158974
Epoch: 25: 2022-04-21 21:01:09.656531
Epoch 26/5000, D_loss=0.671857, reward=-8.160728
Epoch: 26: 2022-04-21 21:01:12.264507
Epoch 27/5000, D_loss=0.670795, reward=-8.162316
Epoch: 27: 2022-04-21 21:01:14.738391
Epoch 28/5000, D_loss=0.669278, reward=-8.168970
Epoch: 28: 2022-04-21 21:01:17.644857
Epoch 29/5000, D_loss=0.670514, reward=-8.165016
Epoch: 29: 2022-04-21 21:01:20.550271
Epoch 30/5000, D_loss=0.672023, reward=-8.161822
Epoch: 30: 2022-04-21 21:01:23.344330
Epoch 31/5000, D_loss=0.671041, reward=-8.166606
Epoch: 31: 2022-04-21 21:01:26.285211
Epoch 32/5000, D_loss=0.673706, reward=-8.159232
Epoch: 32: 2022-04-21 21:01:29.112220
Epoch 33/5000, D_loss=0.669821, reward=-8.165310
Epoch: 33: 2022-04-21 21:01:31.850509
Epoch 34/5000, D_loss=0.671897, reward=-8.164841
Epoch: 34: 2022-04-21 21:01:34.771958
Epoch 35/5000, D_loss=0.669910, reward=-8.166936
Epoch: 35: 2022-04-21 21:01:37.716724
Epoch 36/5000, D_loss=0.671941, reward=-8.162060
Epoch: 36: 2022-04-21 21:01:40.645831
Epoch 37/5000, D_loss=0.672003, reward=-8.161765
Epoch: 37: 2022-04-21 21:01:43.631864
Epoch 38/5000, D_loss=0.671793, reward=-8.160917
Epoch: 38: 2022-04-21 21:01:46.532970
Epoch 39/5000, D_loss=0.670770, reward=-8.161606
Epoch: 39: 2022-04-21 21:01:49.348367
Epoch 40/5000, D_loss=0.674511, reward=-8.155977
Epoch: 40: 2022-04-21 21:01:52.115577
Epoch 41/5000, D_loss=0.671409, reward=-8.159216
Epoch: 41: 2022-04-21 21:01:54.795071
Epoch 42/5000, D_loss=0.671605, reward=-8.157867
