pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=fb15k
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=5000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-21 20:57:52.329422
Test_MRR=0.333107, Test_MR=83.579836, Test_H@10=0.555052
Epoch: 0: 2022-04-21 20:59:39.765590
Epoch 1/5000, D_loss=0.776349, reward=-7.038913
Epoch: 1: 2022-04-21 20:59:41.801189
Epoch 2/5000, D_loss=0.758006, reward=-7.107865
Epoch: 2: 2022-04-21 20:59:43.829801
Epoch 3/5000, D_loss=0.747207, reward=-7.155705
Epoch: 3: 2022-04-21 20:59:45.841470
Epoch 4/5000, D_loss=0.744330, reward=-7.192898
Epoch: 4: 2022-04-21 20:59:47.874888
Epoch 5/5000, D_loss=0.738436, reward=-7.233210
Epoch: 5: 2022-04-21 20:59:49.907164
Epoch 6/5000, D_loss=0.737496, reward=-7.260173
Epoch: 6: 2022-04-21 20:59:51.916273
Epoch 7/5000, D_loss=0.733074, reward=-7.289586
Epoch: 7: 2022-04-21 20:59:53.929686
Epoch 8/5000, D_loss=0.730762, reward=-7.319123
Epoch: 8: 2022-04-21 20:59:55.743551
Epoch 9/5000, D_loss=0.730309, reward=-7.342383
Epoch: 9: 2022-04-21 20:59:57.807020
Epoch 10/5000, D_loss=0.730087, reward=-7.360862
Epoch: 10: 2022-04-21 20:59:59.860583
Epoch 11/5000, D_loss=0.726979, reward=-7.386840
Epoch: 11: 2022-04-21 21:00:01.775682
Epoch 12/5000, D_loss=0.722830, reward=-7.409744
Epoch: 12: 2022-04-21 21:00:03.730307
Epoch 13/5000, D_loss=0.725933, reward=-7.422391
Epoch: 13: 2022-04-21 21:00:05.808287
Epoch 14/5000, D_loss=0.725212, reward=-7.437419
Epoch: 14: 2022-04-21 21:00:07.862401
Epoch 15/5000, D_loss=0.723721, reward=-7.456750
Epoch: 15: 2022-04-21 21:00:09.932488
Epoch 16/5000, D_loss=0.723939, reward=-7.469179
Epoch: 16: 2022-04-21 21:00:11.944388
Epoch 17/5000, D_loss=0.724028, reward=-7.485548
Epoch: 17: 2022-04-21 21:00:13.961096
Epoch 18/5000, D_loss=0.726694, reward=-7.494574
Epoch: 18: 2022-04-21 21:00:15.965257
Epoch 19/5000, D_loss=0.723594, reward=-7.510929
Epoch: 19: 2022-04-21 21:00:17.969371
Epoch 20/5000, D_loss=0.720136, reward=-7.527574
Epoch: 20: 2022-04-21 21:00:19.888368
Epoch 21/5000, D_loss=0.723430, reward=-7.536325
Epoch: 21: 2022-04-21 21:00:21.686886
Epoch 22/5000, D_loss=0.727060, reward=-7.541830
Epoch: 22: 2022-04-21 21:00:23.479608
Epoch 23/5000, D_loss=0.724545, reward=-7.560017
Epoch: 23: 2022-04-21 21:00:25.516259
Epoch 24/5000, D_loss=0.722042, reward=-7.572199
Epoch: 24: 2022-04-21 21:00:27.526011
Epoch 25/5000, D_loss=0.721575, reward=-7.582634
Epoch: 25: 2022-04-21 21:00:29.477452
Epoch 26/5000, D_loss=0.724652, reward=-7.588035
Epoch: 26: 2022-04-21 21:00:31.611758
Epoch 27/5000, D_loss=0.724567, reward=-7.594592
Epoch: 27: 2022-04-21 21:00:33.670549
Epoch 28/5000, D_loss=0.723765, reward=-7.604164
Epoch: 28: 2022-04-21 21:00:35.763307
Epoch 29/5000, D_loss=0.720356, reward=-7.618377
Epoch: 29: 2022-04-21 21:00:37.674170
Epoch 30/5000, D_loss=0.719943, reward=-7.627063
Epoch: 30: 2022-04-21 21:00:39.578980
Epoch 31/5000, D_loss=0.723790, reward=-7.628366
Epoch: 31: 2022-04-21 21:00:41.474779
Epoch 32/5000, D_loss=0.725264, reward=-7.633638
Epoch: 32: 2022-04-21 21:00:43.383692
Epoch 33/5000, D_loss=0.721340, reward=-7.647094
Epoch: 33: 2022-04-21 21:00:45.282327
Epoch 34/5000, D_loss=0.719919, reward=-7.655321
Epoch: 34: 2022-04-21 21:00:47.187231
Epoch 35/5000, D_loss=0.721647, reward=-7.659419
Epoch: 35: 2022-04-21 21:00:49.094604
Epoch 36/5000, D_loss=0.724169, reward=-7.661963
Epoch: 36: 2022-04-21 21:00:51.195389
Epoch 37/5000, D_loss=0.721879, reward=-7.672873
Epoch: 37: 2022-04-21 21:00:53.111930
Epoch 38/5000, D_loss=0.721148, reward=-7.678210
Epoch: 38: 2022-04-21 21:00:55.076727
Epoch 39/5000, D_loss=0.719137, reward=-7.686574
Epoch: 39: 2022-04-21 21:00:57.049518
Epoch 40/5000, D_loss=0.722101, reward=-7.687956
Epoch: 40: 2022-04-21 21:00:59.013410
Epoch 41/5000, D_loss=0.721242, reward=-7.695820
Epoch: 41: 2022-04-21 21:01:01.036864
Epoch 42/5000, D_loss=0.721098, reward=-7.698688
Epoch: 42: 2022-04-21 21:01:03.019072
Epoch 43/5000, D_loss=0.720969, reward=-7.705315
Epoch: 43: 2022-04-21 21:01:05.029534
Epoch 44/5000, D_loss=0.719646, reward=-7.711091
Epoch: 44: 2022-04-21 21:01:07.036680
Epoch 45/5000, D_loss=0.722736, reward=-7.710908
Epoch: 45: 2022-04-21 21:01:09.094909
Epoch 46/5000, D_loss=0.720750, reward=-7.718685
Epoch: 46: 2022-04-21 21:01:11.032705
Epoch 47/5000, D_loss=0.722176, reward=-7.721915
Epoch: 47: 2022-04-21 21:01:12.828721
Epoch 48/5000, D_loss=0.722986, reward=-7.724098
Epoch: 48: 2022-04-21 21:01:14.619614
Epoch 49/5000, D_loss=0.719886, reward=-7.732054
Epoch: 49: 2022-04-21 21:01:16.514857
Epoch 50/5000, D_loss=0.723165, reward=-7.731025
Test_MRR=0.383516, Test_MR=241.769640, Test_H@10=0.625790
Epoch: 50: 2022-04-21 21:02:49.731921
Epoch 51/5000, D_loss=0.720874, reward=-7.737783
Epoch: 51: 2022-04-21 21:02:51.696609
Epoch 52/5000, D_loss=0.720620, reward=-7.741947
Epoch: 52: 2022-04-21 21:02:53.653037
Epoch 53/5000, D_loss=0.724660, reward=-7.738632
Epoch: 53: 2022-04-21 21:02:55.597513
Epoch 54/5000, D_loss=0.723798, reward=-7.740918
Epoch: 54: 2022-04-21 21:02:57.669047
Epoch 55/5000, D_loss=0.724899, reward=-7.744575
Epoch: 55: 2022-04-21 21:02:59.634045
Epoch 56/5000, D_loss=0.722378, reward=-7.751796
Epoch: 56: 2022-04-21 21:03:01.608291
Epoch 57/5000, D_loss=0.725379, reward=-7.749116
Epoch: 57: 2022-04-21 21:03:03.538099
Epoch 58/5000, D_loss=0.720999, reward=-7.757758
Epoch: 58: 2022-04-21 21:03:05.511810
Epoch 59/5000, D_loss=0.722686, reward=-7.757353
Epoch: 59: 2022-04-21 21:03:07.487720
Epoch 60/5000, D_loss=0.721262, reward=-7.763488
Epoch: 60: 2022-04-21 21:03:09.465344
Epoch 61/5000, D_loss=0.722407, reward=-7.760945
Epoch: 61: 2022-04-21 21:03:11.387796
Epoch 62/5000, D_loss=0.720972, reward=-7.766757
Epoch: 62: 2022-04-21 21:03:13.276954
Epoch 63/5000, D_loss=0.720742, reward=-7.770145
Epoch: 63: 2022-04-21 21:03:15.164715
Epoch 64/5000, D_loss=0.721907, reward=-7.769562
Epoch: 64: 2022-04-21 21:03:17.068623
Epoch 65/5000, D_loss=0.720372, reward=-7.776524
Epoch: 65: 2022-04-21 21:03:18.993815
Epoch 66/5000, D_loss=0.720319, reward=-7.775965
Epoch: 66: 2022-04-21 21:03:20.809495
Epoch 67/5000, D_loss=0.722315, reward=-7.776280
Epoch: 67: 2022-04-21 21:03:22.724493
Epoch 68/5000, D_loss=0.720565, reward=-7.780440
Epoch: 68: 2022-04-21 21:03:24.708904
Epoch 69/5000, D_loss=0.720763, reward=-7.781946
Epoch: 69: 2022-04-21 21:03:26.689175
Epoch 70/5000, D_loss=0.721458, reward=-7.783506
Epoch: 70: 2022-04-21 21:03:28.657412
Epoch 71/5000, D_loss=0.722384, reward=-7.782722
Epoch: 71: 2022-04-21 21:03:30.643759
Epoch 72/5000, D_loss=0.719489, reward=-7.787833
Epoch: 72: 2022-04-21 21:03:32.627113
Epoch 73/5000, D_loss=0.722667, reward=-7.784852
Epoch: 73: 2022-04-21 21:03:34.603022
Epoch 74/5000, D_loss=0.722072, reward=-7.787714
Epoch: 74: 2022-04-21 21:03:36.604735
Epoch 75/5000, D_loss=0.722928, reward=-7.788589
Epoch: 75: 2022-04-21 21:03:38.582207
Epoch 76/5000, D_loss=0.721196, reward=-7.792337
Epoch: 76: 2022-04-21 21:03:40.559620
Epoch 77/5000, D_loss=0.719736, reward=-7.794559
Epoch: 77: 2022-04-21 21:03:42.542446
Epoch 78/5000, D_loss=0.721642, reward=-7.796391
Epoch: 78: 2022-04-21 21:03:44.535078
Epoch 79/5000, D_loss=0.723724, reward=-7.792451
Epoch: 79: 2022-04-21 21:03:46.526731
Epoch 80/5000, D_loss=0.721670, reward=-7.798016
Epoch: 80: 2022-04-21 21:03:48.516135
Epoch 81/5000, D_loss=0.720455, reward=-7.799182
Epoch: 81: 2022-04-21 21:03:50.502151
Epoch 82/5000, D_loss=0.722210, reward=-7.797176
Epoch: 82: 2022-04-21 21:03:52.491781
Epoch 83/5000, D_loss=0.725475, reward=-7.794189
Epoch: 83: 2022-04-21 21:03:54.482780
Epoch 84/5000, D_loss=0.724956, reward=-7.798574
Epoch: 84: 2022-04-21 21:03:56.466491
Epoch 85/5000, D_loss=0.723198, reward=-7.801819
Epoch: 85: 2022-04-21 21:03:58.449183
Epoch 86/5000, D_loss=0.722819, reward=-7.803747
Epoch: 86: 2022-04-21 21:04:00.434955
Epoch 87/5000, D_loss=0.724325, reward=-7.801577
Epoch: 87: 2022-04-21 21:04:02.540480
Epoch 88/5000, D_loss=0.722393, reward=-7.805121
Epoch: 88: 2022-04-21 21:04:04.457063
Epoch 89/5000, D_loss=0.723041, reward=-7.805984
Epoch: 89: 2022-04-21 21:04:06.361127
Epoch 90/5000, D_loss=0.720285, reward=-7.808841
Epoch: 90: 2022-04-21 21:04:08.272981
Epoch 91/5000, D_loss=0.720886, reward=-7.809647
Epoch: 91: 2022-04-21 21:04:10.181383
Epoch 92/5000, D_loss=0.722207, reward=-7.806940
Epoch: 92: 2022-04-21 21:04:12.093081
Epoch 93/5000, D_loss=0.720272, reward=-7.810992
Epoch: 93: 2022-04-21 21:04:14.001968
Epoch 94/5000, D_loss=0.723250, reward=-7.805755
Epoch: 94: 2022-04-21 21:04:15.914852
Epoch 95/5000, D_loss=0.720445, reward=-7.810525
Epoch: 95: 2022-04-21 21:04:17.827529
Epoch 96/5000, D_loss=0.723764, reward=-7.809247
Epoch: 96: 2022-04-21 21:04:19.740161
Epoch 97/5000, D_loss=0.720587, reward=-7.813967
Epoch: 97: 2022-04-21 21:04:21.640214
Epoch 98/5000, D_loss=0.724101, reward=-7.810577
Epoch: 98: 2022-04-21 21:04:23.543555
Epoch 99/5000, D_loss=0.724447, reward=-7.810849
Epoch: 99: 2022-04-21 21:04:25.453188
Epoch 100/5000, D_loss=0.724306, reward=-7.810516
Test_MRR=0.372842, Test_MR=330.722080, Test_H@10=0.627970
Epoch: 100: 2022-04-21 21:06:00.884842
Epoch 101/5000, D_loss=0.720059, reward=-7.816110
Epoch: 101: 2022-04-21 21:06:02.859839
Epoch 102/5000, D_loss=0.723288, reward=-7.814713
Epoch: 102: 2022-04-21 21:06:04.825477
Epoch 103/5000, D_loss=0.721184, reward=-7.816702
Epoch: 103: 2022-04-21 21:06:06.813557
Epoch 104/5000, D_loss=0.720370, reward=-7.816545
Epoch: 104: 2022-04-21 21:06:08.785815
Epoch 105/5000, D_loss=0.722605, reward=-7.814667
Epoch: 105: 2022-04-21 21:06:10.890551
Epoch 106/5000, D_loss=0.722089, reward=-7.815983
Epoch: 106: 2022-04-21 21:06:12.791507
Epoch 107/5000, D_loss=0.723154, reward=-7.814950
Epoch: 107: 2022-04-21 21:06:14.677271
Epoch 108/5000, D_loss=0.722545, reward=-7.819729
Epoch: 108: 2022-04-21 21:06:16.582236
Epoch 109/5000, D_loss=0.721870, reward=-7.819261
Epoch: 109: 2022-04-21 21:06:18.494812
Epoch 110/5000, D_loss=0.721793, reward=-7.819754
Epoch: 110: 2022-04-21 21:06:20.411177
Epoch 111/5000, D_loss=0.723564, reward=-7.816487
Epoch: 111: 2022-04-21 21:06:22.431145
Epoch 112/5000, D_loss=0.721742, reward=-7.820064
Epoch: 112: 2022-04-21 21:06:24.537150
Epoch 113/5000, D_loss=0.722384, reward=-7.821307
Epoch: 113: 2022-04-21 21:06:26.456188
Epoch 114/5000, D_loss=0.723595, reward=-7.818651
Epoch: 114: 2022-04-21 21:06:28.370380
Epoch 115/5000, D_loss=0.722120, reward=-7.820350
Epoch: 115: 2022-04-21 21:06:30.259459
Epoch 116/5000, D_loss=0.723795, reward=-7.819626
Epoch: 116: 2022-04-21 21:06:32.207822
Epoch 117/5000, D_loss=0.722621, reward=-7.821924
Epoch: 117: 2022-04-21 21:06:34.166152
Epoch 118/5000, D_loss=0.722832, reward=-7.821031
Epoch: 118: 2022-04-21 21:06:36.272710
Epoch 119/5000, D_loss=0.724531, reward=-7.818888
Epoch: 119: 2022-04-21 21:06:38.189989
Epoch 120/5000, D_loss=0.722283, reward=-7.822749
Epoch: 120: 2022-04-21 21:06:40.207946
Epoch 121/5000, D_loss=0.720964, reward=-7.824428
Epoch: 121: 2022-04-21 21:06:42.293506
Epoch 122/5000, D_loss=0.721645, reward=-7.824165
Epoch: 122: 2022-04-21 21:06:44.282297
Epoch 123/5000, D_loss=0.725719, reward=-7.817770
Epoch: 123: 2022-04-21 21:06:46.270528
Epoch 124/5000, D_loss=0.722369, reward=-7.823277
Epoch: 124: 2022-04-21 21:06:48.255970
Epoch 125/5000, D_loss=0.724507, reward=-7.821450
Epoch: 125: 2022-04-21 21:06:50.241946
Epoch 126/5000, D_loss=0.722387, reward=-7.825840
Epoch: 126: 2022-04-21 21:06:52.230082
Epoch 127/5000, D_loss=0.722779, reward=-7.824193
Epoch: 127: 2022-04-21 21:06:54.335840
Epoch 128/5000, D_loss=0.726285, reward=-7.819836
Epoch: 128: 2022-04-21 21:06:56.237457
Epoch 129/5000, D_loss=0.724042, reward=-7.823458
Epoch: 129: 2022-04-21 21:06:58.211393
Epoch 130/5000, D_loss=0.722626, reward=-7.824164
Epoch: 130: 2022-04-21 21:07:00.201735
Epoch 131/5000, D_loss=0.726006, reward=-7.819801
Epoch: 131: 2022-04-21 21:07:02.191043
Epoch 132/5000, D_loss=0.726286, reward=-7.820385
Epoch: 132: 2022-04-21 21:07:04.182405
Epoch 133/5000, D_loss=0.725261, reward=-7.823119
Epoch: 133: 2022-04-21 21:07:06.169346
Epoch 134/5000, D_loss=0.722196, reward=-7.825544
Epoch: 134: 2022-04-21 21:07:08.160036
Epoch 135/5000, D_loss=0.723151, reward=-7.825827
Epoch: 135: 2022-04-21 21:07:10.132725
Epoch 136/5000, D_loss=0.722984, reward=-7.826133
Epoch: 136: 2022-04-21 21:07:12.123880
Epoch 137/5000, D_loss=0.726920, reward=-7.821411
Epoch: 137: 2022-04-21 21:07:14.224807
Epoch 138/5000, D_loss=0.721956, reward=-7.825262
Epoch: 138: 2022-04-21 21:07:16.146762
Epoch 139/5000, D_loss=0.725058, reward=-7.822432
Epoch: 139: 2022-04-21 21:07:18.039096
Epoch 140/5000, D_loss=0.722995, reward=-7.825304
Epoch: 140: 2022-04-21 21:07:19.937494
Epoch 141/5000, D_loss=0.724399, reward=-7.823472
Epoch: 141: 2022-04-21 21:07:21.884917
Epoch 142/5000, D_loss=0.721739, reward=-7.829118
Epoch: 142: 2022-04-21 21:07:23.956210
Epoch 143/5000, D_loss=0.726639, reward=-7.820431
Epoch: 143: 2022-04-21 21:07:25.851116
Epoch 144/5000, D_loss=0.724181, reward=-7.823072
Epoch: 144: 2022-04-21 21:07:27.766026
Epoch 145/5000, D_loss=0.723846, reward=-7.825717
Epoch: 145: 2022-04-21 21:07:29.744521
Epoch 146/5000, D_loss=0.725133, reward=-7.822169
Epoch: 146: 2022-04-21 21:07:31.513231
Epoch 147/5000, D_loss=0.724879, reward=-7.823591
Epoch: 147: 2022-04-21 21:07:33.490732
Epoch 148/5000, D_loss=0.726788, reward=-7.822844
Epoch: 148: 2022-04-21 21:07:35.478763
Epoch 149/5000, D_loss=0.724036, reward=-7.826848
Epoch: 149: 2022-04-21 21:07:37.466407
Epoch 150/5000, D_loss=0.723761, reward=-7.827210
Test_MRR=0.371916, Test_MR=358.772530, Test_H@10=0.628330
Epoch: 150: 2022-04-21 21:09:10.680353
Epoch 151/5000, D_loss=0.725834, reward=-7.821353
Epoch: 151: 2022-04-21 21:09:12.770352
Epoch 152/5000, D_loss=0.724957, reward=-7.824565
Epoch: 152: 2022-04-21 21:09:14.628995
Epoch 153/5000, D_loss=0.721267, reward=-7.831178
Epoch: 153: 2022-04-21 21:09:16.524091
Epoch 154/5000, D_loss=0.727194, reward=-7.821822
Epoch: 154: 2022-04-21 21:09:18.421812
Epoch 155/5000, D_loss=0.726684, reward=-7.820875
Epoch: 155: 2022-04-21 21:09:20.330751
Epoch 156/5000, D_loss=0.724992, reward=-7.825670
Epoch: 156: 2022-04-21 21:09:22.233204
Epoch 157/5000, D_loss=0.726640, reward=-7.822021
Epoch: 157: 2022-04-21 21:09:24.141464
Epoch 158/5000, D_loss=0.723418, reward=-7.826735
Epoch: 158: 2022-04-21 21:09:26.049964
Epoch 159/5000, D_loss=0.725785, reward=-7.823916
Epoch: 159: 2022-04-21 21:09:27.956360
Epoch 160/5000, D_loss=0.723796, reward=-7.826358
Epoch: 160: 2022-04-21 21:09:29.865773
Epoch 161/5000, D_loss=0.724828, reward=-7.824431
Epoch: 161: 2022-04-21 21:09:31.777584
Epoch 162/5000, D_loss=0.723939, reward=-7.826435
Epoch: 162: 2022-04-21 21:09:33.757945
Epoch 163/5000, D_loss=0.724287, reward=-7.824852
Epoch: 163: 2022-04-21 21:09:35.667253
Epoch 164/5000, D_loss=0.726429, reward=-7.821249
Epoch: 164: 2022-04-21 21:09:37.562609
Epoch 165/5000, D_loss=0.725951, reward=-7.824073
Epoch: 165: 2022-04-21 21:09:39.499708
Epoch 166/5000, D_loss=0.722797, reward=-7.826689
Epoch: 166: 2022-04-21 21:09:41.485464
Epoch 167/5000, D_loss=0.725498, reward=-7.822400
Epoch: 167: 2022-04-21 21:09:43.471045
Epoch 168/5000, D_loss=0.725255, reward=-7.821756
Epoch: 168: 2022-04-21 21:09:45.435392
Epoch 169/5000, D_loss=0.723189, reward=-7.825482
Epoch: 169: 2022-04-21 21:09:47.443355
Epoch 170/5000, D_loss=0.725606, reward=-7.822811
Epoch: 170: 2022-04-21 21:09:49.318852
Epoch 171/5000, D_loss=0.725678, reward=-7.821382
Epoch: 171: 2022-04-21 21:09:51.296725
Epoch 172/5000, D_loss=0.723897, reward=-7.823685
Epoch: 172: 2022-04-21 21:09:53.282862
Epoch 173/5000, D_loss=0.723304, reward=-7.824461
Epoch: 173: 2022-04-21 21:09:55.393828
Epoch 174/5000, D_loss=0.724681, reward=-7.822501
Epoch: 174: 2022-04-21 21:09:57.372705
Epoch 175/5000, D_loss=0.724213, reward=-7.823847
Epoch: 175: 2022-04-21 21:09:59.170687
Epoch 176/5000, D_loss=0.724876, reward=-7.823927
Epoch: 176: 2022-04-21 21:10:01.103109
Epoch 177/5000, D_loss=0.724987, reward=-7.820168
Epoch: 177: 2022-04-21 21:10:03.056980
