pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:42:48.297399
Test_MRR=0.233387, Test_MR=214.559758, Test_H@10=0.413002
Epoch: 0: 2022-03-09 14:48:05.227362
Epoch 1/5000, D_loss=0.716124, reward=-7.829959
Epoch: 1: 2022-03-09 14:48:13.425455
Epoch 2/5000, D_loss=0.698891, reward=-7.894727
Epoch: 2: 2022-03-09 14:48:21.804059
Epoch 3/5000, D_loss=0.687926, reward=-7.938118
Epoch: 3: 2022-03-09 14:48:30.019740
Epoch 4/5000, D_loss=0.683950, reward=-7.969279
Epoch: 4: 2022-03-09 14:48:38.173004
Epoch 5/5000, D_loss=0.679251, reward=-7.994282
Epoch: 5: 2022-03-09 14:48:46.374413
Epoch 6/5000, D_loss=0.677831, reward=-8.009190
Epoch: 6: 2022-03-09 14:48:54.590155
Epoch 7/5000, D_loss=0.672652, reward=-8.028385
Epoch: 7: 2022-03-09 14:49:02.749758
Epoch 8/5000, D_loss=0.671807, reward=-8.043800
Epoch: 8: 2022-03-09 14:49:10.856821
Epoch 9/5000, D_loss=0.673164, reward=-8.051624
Epoch: 9: 2022-03-09 14:49:19.103017
Epoch 10/5000, D_loss=0.670090, reward=-8.072640
Epoch: 10: 2022-03-09 14:49:27.501477
Epoch 11/5000, D_loss=0.669223, reward=-8.079633
Epoch: 11: 2022-03-09 14:49:35.674574
Epoch 12/5000, D_loss=0.670710, reward=-8.080389
Epoch: 12: 2022-03-09 14:49:43.823443
Epoch 13/5000, D_loss=0.666870, reward=-8.095992
Epoch: 13: 2022-03-09 14:49:52.009766
Epoch 14/5000, D_loss=0.663871, reward=-8.099158
Epoch: 14: 2022-03-09 14:50:00.266782
Epoch 15/5000, D_loss=0.662785, reward=-8.108112
Epoch: 15: 2022-03-09 14:50:08.326678
Epoch 16/5000, D_loss=0.662965, reward=-8.117272
Epoch: 16: 2022-03-09 14:50:16.399334
Epoch 17/5000, D_loss=0.662964, reward=-8.120547
Epoch: 17: 2022-03-09 14:50:24.704455
Epoch 18/5000, D_loss=0.660309, reward=-8.123967
Epoch: 18: 2022-03-09 14:50:32.848029
Epoch 19/5000, D_loss=0.663324, reward=-8.123479
Epoch: 19: 2022-03-09 14:50:40.937934
Epoch 20/5000, D_loss=0.664973, reward=-8.127275
Epoch: 20: 2022-03-09 14:50:49.190585
Epoch 21/5000, D_loss=0.662892, reward=-8.129375
Epoch: 21: 2022-03-09 14:50:57.398916
Epoch 22/5000, D_loss=0.662185, reward=-8.136985
Epoch: 22: 2022-03-09 14:51:05.583724
Epoch 23/5000, D_loss=0.662356, reward=-8.138664
Epoch: 23: 2022-03-09 14:51:13.914786
Epoch 24/5000, D_loss=0.662398, reward=-8.140838
Epoch: 24: 2022-03-09 14:51:22.179286
Epoch 25/5000, D_loss=0.659768, reward=-8.145008
Epoch: 25: 2022-03-09 14:51:30.323657
Epoch 26/5000, D_loss=0.662962, reward=-8.140010
Epoch: 26: 2022-03-09 14:51:38.485770
Epoch 27/5000, D_loss=0.659617, reward=-8.149453
Epoch: 27: 2022-03-09 14:51:46.606658
Epoch 28/5000, D_loss=0.660105, reward=-8.146059
Epoch: 28: 2022-03-09 14:51:54.707626
Epoch 29/5000, D_loss=0.660941, reward=-8.151828
Epoch: 29: 2022-03-09 14:52:03.114605
Epoch 30/5000, D_loss=0.658865, reward=-8.156304
Epoch: 30: 2022-03-09 14:52:11.351579
Epoch 31/5000, D_loss=0.658097, reward=-8.155488
Epoch: 31: 2022-03-09 14:52:19.720370
Epoch 32/5000, D_loss=0.659005, reward=-8.151734
Epoch: 32: 2022-03-09 14:52:27.999607
Epoch 33/5000, D_loss=0.659107, reward=-8.155176
Epoch: 33: 2022-03-09 14:52:36.058692
Epoch 34/5000, D_loss=0.658101, reward=-8.156261
Epoch: 34: 2022-03-09 14:52:44.085021
Epoch 35/5000, D_loss=0.661075, reward=-8.149281
Epoch: 35: 2022-03-09 14:52:52.672965
Epoch 36/5000, D_loss=0.660832, reward=-8.147376
Epoch: 36: 2022-03-09 14:53:01.189594
Epoch 37/5000, D_loss=0.658847, reward=-8.150642
Epoch: 37: 2022-03-09 14:53:09.508850
Epoch 38/5000, D_loss=0.656266, reward=-8.154755
Epoch: 38: 2022-03-09 14:53:17.770794
Epoch 39/5000, D_loss=0.658978, reward=-8.152054
Epoch: 39: 2022-03-09 14:53:26.242932
Epoch 40/5000, D_loss=0.658212, reward=-8.153674
Epoch: 40: 2022-03-09 14:53:34.543619
Epoch 41/5000, D_loss=0.657801, reward=-8.152070
Epoch: 41: 2022-03-09 14:53:42.822964
Epoch 42/5000, D_loss=0.659303, reward=-8.145800
Epoch: 42: 2022-03-09 14:53:51.184636
Epoch 43/5000, D_loss=0.658373, reward=-8.146069
Epoch: 43: 2022-03-09 14:53:59.598711
Epoch 44/5000, D_loss=0.659146, reward=-8.144410
Epoch: 44: 2022-03-09 14:54:07.850457
Epoch 45/5000, D_loss=0.659394, reward=-8.144043
Epoch: 45: 2022-03-09 14:54:16.234485
Epoch 46/5000, D_loss=0.658395, reward=-8.148880
Epoch: 46: 2022-03-09 14:54:24.544173
Epoch 47/5000, D_loss=0.658455, reward=-8.145773
Epoch: 47: 2022-03-09 14:54:32.751802
Epoch 48/5000, D_loss=0.660305, reward=-8.136276
Epoch: 48: 2022-03-09 14:54:41.073166
Epoch 49/5000, D_loss=0.658779, reward=-8.138806
Epoch: 49: 2022-03-09 14:54:49.583822
Epoch 50/5000, D_loss=0.657163, reward=-8.136293
Test_MRR=0.246684, Test_MR=430.768634, Test_H@10=0.431794
Epoch: 50: 2022-03-09 14:59:26.302680
Epoch 51/5000, D_loss=0.658127, reward=-8.129964
Epoch: 51: 2022-03-09 14:59:34.557867
Epoch 52/5000, D_loss=0.658616, reward=-8.132847
Epoch: 52: 2022-03-09 14:59:42.813698
Epoch 53/5000, D_loss=0.660984, reward=-8.128617
Epoch: 53: 2022-03-09 14:59:51.103610
Epoch 54/5000, D_loss=0.657692, reward=-8.130711
Epoch: 54: 2022-03-09 14:59:59.281153
Epoch 55/5000, D_loss=0.659946, reward=-8.125337
Epoch: 55: 2022-03-09 15:00:07.605422
Epoch 56/5000, D_loss=0.658811, reward=-8.124839
Epoch: 56: 2022-03-09 15:00:16.059467
Epoch 57/5000, D_loss=0.657193, reward=-8.125320
Epoch: 57: 2022-03-09 15:00:24.492248
Epoch 58/5000, D_loss=0.655847, reward=-8.126327
Epoch: 58: 2022-03-09 15:00:32.869710
Epoch 59/5000, D_loss=0.658072, reward=-8.122195
Epoch: 59: 2022-03-09 15:00:41.059160
Epoch 60/5000, D_loss=0.657916, reward=-8.122719
Epoch: 60: 2022-03-09 15:00:49.294763
Epoch 61/5000, D_loss=0.660192, reward=-8.119242
Epoch: 61: 2022-03-09 15:00:57.648245
Epoch 62/5000, D_loss=0.658258, reward=-8.119155
Epoch: 62: 2022-03-09 15:01:05.976670
Epoch 63/5000, D_loss=0.657659, reward=-8.115849
Epoch: 63: 2022-03-09 15:01:14.236544
Epoch 64/5000, D_loss=0.659409, reward=-8.113973
Epoch: 64: 2022-03-09 15:01:22.496192
Epoch 65/5000, D_loss=0.659791, reward=-8.117654
Epoch: 65: 2022-03-09 15:01:30.640503
Epoch 66/5000, D_loss=0.660459, reward=-8.108946
Epoch: 66: 2022-03-09 15:01:38.941277
Epoch 67/5000, D_loss=0.657380, reward=-8.111184
Epoch: 67: 2022-03-09 15:01:47.186448
Epoch 68/5000, D_loss=0.659161, reward=-8.108859
Epoch: 68: 2022-03-09 15:01:55.393945
Epoch 69/5000, D_loss=0.658466, reward=-8.105912
Epoch: 69: 2022-03-09 15:02:03.513185
Epoch 70/5000, D_loss=0.658403, reward=-8.108069
Epoch: 70: 2022-03-09 15:02:11.524847
Epoch 71/5000, D_loss=0.659844, reward=-8.102480
Epoch: 71: 2022-03-09 15:02:19.542919
Epoch 72/5000, D_loss=0.658989, reward=-8.104666
Epoch: 72: 2022-03-09 15:02:27.703146
Epoch 73/5000, D_loss=0.657412, reward=-8.105844
Epoch: 73: 2022-03-09 15:02:35.780735
Epoch 74/5000, D_loss=0.659293, reward=-8.101303
Epoch: 74: 2022-03-09 15:02:44.353077
Epoch 75/5000, D_loss=0.658093, reward=-8.101917
Epoch: 75: 2022-03-09 15:02:52.692776
Epoch 76/5000, D_loss=0.657708, reward=-8.098942
Epoch: 76: 2022-03-09 15:03:00.772003
Epoch 77/5000, D_loss=0.657046, reward=-8.098020
Epoch: 77: 2022-03-09 15:03:08.842526
Epoch 78/5000, D_loss=0.659058, reward=-8.094145
Epoch: 78: 2022-03-09 15:03:16.765529
Epoch 79/5000, D_loss=0.657538, reward=-8.096008
Epoch: 79: 2022-03-09 15:03:24.983968
Epoch 80/5000, D_loss=0.661171, reward=-8.090445
Epoch: 80: 2022-03-09 15:03:33.205106
Epoch 81/5000, D_loss=0.655781, reward=-8.099582
Epoch: 81: 2022-03-09 15:03:41.448271
Epoch 82/5000, D_loss=0.659613, reward=-8.091133
Epoch: 82: 2022-03-09 15:03:49.562201
Epoch 83/5000, D_loss=0.662080, reward=-8.083220
Epoch: 83: 2022-03-09 15:03:57.588950
Epoch 84/5000, D_loss=0.662029, reward=-8.081819
Epoch: 84: 2022-03-09 15:04:05.720133
Epoch 85/5000, D_loss=0.659681, reward=-8.087027
Epoch: 85: 2022-03-09 15:04:14.207745
Epoch 86/5000, D_loss=0.657138, reward=-8.089410
Epoch: 86: 2022-03-09 15:04:22.617390
Epoch 87/5000, D_loss=0.658372, reward=-8.084057
Epoch: 87: 2022-03-09 15:04:30.985081
