pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:42:36.261703
Test_MRR=0.231254, Test_MR=204.829547, Test_H@10=0.410364
Epoch: 0: 2022-03-09 14:45:45.077800
Epoch 1/5000, D_loss=0.777741, reward=-6.978714
Epoch: 1: 2022-03-09 14:45:52.777221
Epoch 2/5000, D_loss=0.759542, reward=-7.041359
Epoch: 2: 2022-03-09 14:46:00.153729
Epoch 3/5000, D_loss=0.750016, reward=-7.089287
Epoch: 3: 2022-03-09 14:46:07.819328
Epoch 4/5000, D_loss=0.737192, reward=-7.138484
Epoch: 4: 2022-03-09 14:46:15.179115
Epoch 5/5000, D_loss=0.737710, reward=-7.161245
Epoch: 5: 2022-03-09 14:46:22.269493
Epoch 6/5000, D_loss=0.732020, reward=-7.193799
Epoch: 6: 2022-03-09 14:46:29.336475
Epoch 7/5000, D_loss=0.733660, reward=-7.220972
Epoch: 7: 2022-03-09 14:46:36.441415
Epoch 8/5000, D_loss=0.728073, reward=-7.246807
Epoch: 8: 2022-03-09 14:46:43.525051
Epoch 9/5000, D_loss=0.724227, reward=-7.275422
Epoch: 9: 2022-03-09 14:46:50.546427
Epoch 10/5000, D_loss=0.724174, reward=-7.297425
Epoch: 10: 2022-03-09 14:46:57.953593
Epoch 11/5000, D_loss=0.726835, reward=-7.308161
Epoch: 11: 2022-03-09 14:47:05.227062
Epoch 12/5000, D_loss=0.721379, reward=-7.337358
Epoch: 12: 2022-03-09 14:47:12.312059
Epoch 13/5000, D_loss=0.723802, reward=-7.347313
Epoch: 13: 2022-03-09 14:47:19.882245
Epoch 14/5000, D_loss=0.719648, reward=-7.369979
Epoch: 14: 2022-03-09 14:47:27.201145
Epoch 15/5000, D_loss=0.721355, reward=-7.383475
Epoch: 15: 2022-03-09 14:47:34.550540
Epoch 16/5000, D_loss=0.720080, reward=-7.401759
Epoch: 16: 2022-03-09 14:47:41.593664
Epoch 17/5000, D_loss=0.717879, reward=-7.419031
Epoch: 17: 2022-03-09 14:47:48.966072
Epoch 18/5000, D_loss=0.716303, reward=-7.432898
Epoch: 18: 2022-03-09 14:47:56.361031
Epoch 19/5000, D_loss=0.717420, reward=-7.445656
Epoch: 19: 2022-03-09 14:48:03.722041
Epoch 20/5000, D_loss=0.716825, reward=-7.457547
Epoch: 20: 2022-03-09 14:48:10.757946
Epoch 21/5000, D_loss=0.713506, reward=-7.471997
Epoch: 21: 2022-03-09 14:48:17.908435
Epoch 22/5000, D_loss=0.714680, reward=-7.482780
Epoch: 22: 2022-03-09 14:48:25.231233
Epoch 23/5000, D_loss=0.714476, reward=-7.492837
Epoch: 23: 2022-03-09 14:48:32.808305
Epoch 24/5000, D_loss=0.713188, reward=-7.510165
Epoch: 24: 2022-03-09 14:48:39.842671
Epoch 25/5000, D_loss=0.715467, reward=-7.514942
Epoch: 25: 2022-03-09 14:48:46.889249
Epoch 26/5000, D_loss=0.714472, reward=-7.523987
Epoch: 26: 2022-03-09 14:48:53.980540
Epoch 27/5000, D_loss=0.711909, reward=-7.537432
Epoch: 27: 2022-03-09 14:49:01.400364
Epoch 28/5000, D_loss=0.712833, reward=-7.546113
Epoch: 28: 2022-03-09 14:49:08.456523
Epoch 29/5000, D_loss=0.712668, reward=-7.552669
Epoch: 29: 2022-03-09 14:49:15.463193
Epoch 30/5000, D_loss=0.711194, reward=-7.567143
Epoch: 30: 2022-03-09 14:49:22.788487
Epoch 31/5000, D_loss=0.714666, reward=-7.566737
Epoch: 31: 2022-03-09 14:49:30.080407
Epoch 32/5000, D_loss=0.714207, reward=-7.576332
Epoch: 32: 2022-03-09 14:49:37.707185
Epoch 33/5000, D_loss=0.713988, reward=-7.581959
Epoch: 33: 2022-03-09 14:49:45.043278
Epoch 34/5000, D_loss=0.711279, reward=-7.592561
Epoch: 34: 2022-03-09 14:49:52.758413
Epoch 35/5000, D_loss=0.713520, reward=-7.597740
Epoch: 35: 2022-03-09 14:49:59.730224
Epoch 36/5000, D_loss=0.711649, reward=-7.604207
Epoch: 36: 2022-03-09 14:50:07.213021
Epoch 37/5000, D_loss=0.711389, reward=-7.614486
Epoch: 37: 2022-03-09 14:50:14.567516
Epoch 38/5000, D_loss=0.708984, reward=-7.625801
