pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=fb15k237
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:42:32.438496
Test_MRR=0.233387, Test_MR=214.559758, Test_H@10=0.413002
Epoch: 0: 2022-03-09 14:47:54.580236
Epoch 1/5000, D_loss=0.701502, reward=-7.833944
Epoch: 1: 2022-03-09 14:47:59.328407
Epoch 2/5000, D_loss=0.682838, reward=-7.912276
Epoch: 2: 2022-03-09 14:48:04.287574
Epoch 3/5000, D_loss=0.673607, reward=-7.955490
Epoch: 3: 2022-03-09 14:48:09.047898
Epoch 4/5000, D_loss=0.671468, reward=-7.976065
Epoch: 4: 2022-03-09 14:48:13.793261
Epoch 5/5000, D_loss=0.665698, reward=-8.005431
Epoch: 5: 2022-03-09 14:48:18.688428
Epoch 6/5000, D_loss=0.662236, reward=-8.022979
Epoch: 6: 2022-03-09 14:48:23.626196
Epoch 7/5000, D_loss=0.660834, reward=-8.041573
Epoch: 7: 2022-03-09 14:48:28.435649
Epoch 8/5000, D_loss=0.661732, reward=-8.054263
Epoch: 8: 2022-03-09 14:48:33.247237
Epoch 9/5000, D_loss=0.658645, reward=-8.068803
Epoch: 9: 2022-03-09 14:48:37.996387
Epoch 10/5000, D_loss=0.656490, reward=-8.080076
Epoch: 10: 2022-03-09 14:48:42.733189
Epoch 11/5000, D_loss=0.653892, reward=-8.093275
Epoch: 11: 2022-03-09 14:48:47.512303
Epoch 12/5000, D_loss=0.654893, reward=-8.099480
