pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:39:22.064702
Test_MRR=0.272580, Test_MR=11.824022, Test_H@10=0.662477
Epoch: 0: 2022-04-20 13:39:22.867780
Epoch 1/5000, D_loss=2.739181, reward=-7.658478
Epoch: 1: 2022-04-20 13:39:23.462906
Epoch 2/5000, D_loss=2.763957, reward=-7.700226
Epoch: 2: 2022-04-20 13:39:23.924178
Epoch 3/5000, D_loss=2.769385, reward=-7.760713
Epoch: 3: 2022-04-20 13:39:24.384520
Epoch 4/5000, D_loss=2.770962, reward=-7.807375
Epoch: 4: 2022-04-20 13:39:24.844555
Epoch 5/5000, D_loss=2.774151, reward=-7.852445
Epoch: 5: 2022-04-20 13:39:25.304066
Epoch 6/5000, D_loss=2.788934, reward=-7.876885
Epoch: 6: 2022-04-20 13:39:25.764082
Epoch 7/5000, D_loss=2.774206, reward=-7.934141
Epoch: 7: 2022-04-20 13:39:26.223081
Epoch 8/5000, D_loss=2.781188, reward=-7.956042
Epoch: 8: 2022-04-20 13:39:26.681868
Epoch 9/5000, D_loss=2.776427, reward=-8.010926
Epoch: 9: 2022-04-20 13:39:27.140307
Epoch 10/5000, D_loss=2.784186, reward=-8.052576
Epoch: 10: 2022-04-20 13:39:27.599040
Epoch 11/5000, D_loss=2.788784, reward=-8.106440
Epoch: 11: 2022-04-20 13:39:28.057890
Epoch 12/5000, D_loss=2.804655, reward=-8.125483
