pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:39:22.134719
Test_MRR=0.219547, Test_MR=16.964618, Test_H@10=0.577747
Epoch: 0: 2022-04-20 13:39:23.683951
Epoch 1/5000, D_loss=2.797937, reward=-7.654531
Epoch: 1: 2022-04-20 13:39:24.742062
Epoch 2/5000, D_loss=2.818657, reward=-7.716161
Epoch: 2: 2022-04-20 13:39:25.692889
Epoch 3/5000, D_loss=2.803671, reward=-7.785152
Epoch: 3: 2022-04-20 13:39:26.665356
Epoch 4/5000, D_loss=2.830785, reward=-7.801732
Epoch: 4: 2022-04-20 13:39:27.660888
Epoch 5/5000, D_loss=2.842972, reward=-7.824043
Epoch: 5: 2022-04-20 13:39:28.632107
Epoch 6/5000, D_loss=2.852637, reward=-7.849319
Epoch: 6: 2022-04-20 13:39:29.558948
Epoch 7/5000, D_loss=2.808816, reward=-7.929551
Epoch: 7: 2022-04-20 13:39:30.542960
Epoch 8/5000, D_loss=2.858973, reward=-7.912313
Epoch: 8: 2022-04-20 13:39:31.498348
Epoch 9/5000, D_loss=2.847788, reward=-7.953522
Epoch: 9: 2022-04-20 13:39:32.378349
Epoch 10/5000, D_loss=2.839654, reward=-7.996633
Epoch: 10: 2022-04-20 13:39:33.167719
Epoch 11/5000, D_loss=2.861380, reward=-8.006310
Epoch: 11: 2022-04-20 13:39:33.967314
Epoch 12/5000, D_loss=2.881371, reward=-8.013498
Epoch: 12: 2022-04-20 13:39:34.791390
Epoch 13/5000, D_loss=2.866933, reward=-8.059842
Epoch: 13: 2022-04-20 13:39:35.636461
Epoch 14/5000, D_loss=2.850599, reward=-8.101644
Epoch: 14: 2022-04-20 13:39:36.595345
Epoch 15/5000, D_loss=2.860779, reward=-8.122631
Epoch: 15: 2022-04-20 13:39:37.320468
Epoch 16/5000, D_loss=2.858916, reward=-8.149778
Epoch: 16: 2022-04-20 13:39:37.983172
Epoch 17/5000, D_loss=2.870296, reward=-8.161757
Epoch: 17: 2022-04-20 13:39:38.660058
Epoch 18/5000, D_loss=2.857968, reward=-8.196321
Epoch: 18: 2022-04-20 13:39:39.364054
Epoch 19/5000, D_loss=2.861017, reward=-8.227287
Epoch: 19: 2022-04-20 13:39:40.154635
Epoch 20/5000, D_loss=2.848161, reward=-8.262573
Epoch: 20: 2022-04-20 13:39:40.993262
Epoch 21/5000, D_loss=2.834239, reward=-8.313674
Epoch: 21: 2022-04-20 13:39:41.757394
Epoch 22/5000, D_loss=2.840015, reward=-8.334867
Epoch: 22: 2022-04-20 13:39:42.656943
Epoch 23/5000, D_loss=2.869446, reward=-8.326222
Epoch: 23: 2022-04-20 13:39:43.456717
Epoch 24/5000, D_loss=2.848120, reward=-8.363382
Epoch: 24: 2022-04-20 13:39:44.218233
Epoch 25/5000, D_loss=2.857485, reward=-8.372714
Epoch: 25: 2022-04-20 13:39:45.014502
Epoch 26/5000, D_loss=2.848562, reward=-8.408271
Epoch: 26: 2022-04-20 13:39:45.814946
Epoch 27/5000, D_loss=2.854749, reward=-8.424158
Epoch: 27: 2022-04-20 13:39:46.594089
Epoch 28/5000, D_loss=2.835309, reward=-8.463238
Epoch: 28: 2022-04-20 13:39:47.415901
Epoch 29/5000, D_loss=2.845031, reward=-8.468356
Epoch: 29: 2022-04-20 13:39:48.298810
Epoch 30/5000, D_loss=2.844226, reward=-8.494554
Epoch: 30: 2022-04-20 13:39:49.286452
Epoch 31/5000, D_loss=2.853734, reward=-8.499915
Epoch: 31: 2022-04-20 13:39:50.268007
Epoch 32/5000, D_loss=2.838974, reward=-8.532688
Epoch: 32: 2022-04-20 13:39:51.260778
Epoch 33/5000, D_loss=2.840540, reward=-8.541052
Epoch: 33: 2022-04-20 13:39:52.257096
