pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:39:01.417489
Test_MRR=0.272580, Test_MR=11.824022, Test_H@10=0.662477
Epoch: 0: 2022-04-20 13:39:02.779869
Epoch 1/5000, D_loss=2.521729, reward=-7.890256
Epoch: 1: 2022-04-20 13:39:03.709096
Epoch 2/5000, D_loss=2.464178, reward=-8.025887
Epoch: 2: 2022-04-20 13:39:04.665476
Epoch 3/5000, D_loss=2.453288, reward=-8.102060
Epoch: 3: 2022-04-20 13:39:05.567471
Epoch 4/5000, D_loss=2.490088, reward=-8.124375
Epoch: 4: 2022-04-20 13:39:06.491174
Epoch 5/5000, D_loss=2.462445, reward=-8.191413
Epoch: 5: 2022-04-20 13:39:07.464898
Epoch 6/5000, D_loss=2.446526, reward=-8.263561
Epoch: 6: 2022-04-20 13:39:08.439475
Epoch 7/5000, D_loss=2.465300, reward=-8.265949
Epoch: 7: 2022-04-20 13:39:09.413969
Epoch 8/5000, D_loss=2.469705, reward=-8.325695
Epoch: 8: 2022-04-20 13:39:10.389190
Epoch 9/5000, D_loss=2.467956, reward=-8.341254
Epoch: 9: 2022-04-20 13:39:11.346025
Epoch 10/5000, D_loss=2.461624, reward=-8.379633
Epoch: 10: 2022-04-20 13:39:12.319188
Epoch 11/5000, D_loss=2.473180, reward=-8.400695
Epoch: 11: 2022-04-20 13:39:13.316166
Epoch 12/5000, D_loss=2.485374, reward=-8.407219
Epoch: 12: 2022-04-20 13:39:14.320305
Epoch 13/5000, D_loss=2.440555, reward=-8.485222
Epoch: 13: 2022-04-20 13:39:15.260529
Epoch 14/5000, D_loss=2.460338, reward=-8.505014
Epoch: 14: 2022-04-20 13:39:16.210223
Epoch 15/5000, D_loss=2.438248, reward=-8.536471
Epoch: 15: 2022-04-20 13:39:17.205452
Epoch 16/5000, D_loss=2.442221, reward=-8.541929
Epoch: 16: 2022-04-20 13:39:18.211469
Epoch 17/5000, D_loss=2.447404, reward=-8.547502
Epoch: 17: 2022-04-20 13:39:19.176168
Epoch 18/5000, D_loss=2.444208, reward=-8.577583
Epoch: 18: 2022-04-20 13:39:20.154184
Epoch 19/5000, D_loss=2.453284, reward=-8.575132
Epoch: 19: 2022-04-20 13:39:21.137956
Epoch 20/5000, D_loss=2.461787, reward=-8.592088
Epoch: 20: 2022-04-20 13:39:22.139031
Epoch 21/5000, D_loss=2.451536, reward=-8.604716
Epoch: 21: 2022-04-20 13:39:23.121306
Epoch 22/5000, D_loss=2.440557, reward=-8.619614
Epoch: 22: 2022-04-20 13:39:24.097366
Epoch 23/5000, D_loss=2.459615, reward=-8.601945
Epoch: 23: 2022-04-20 13:39:25.093825
Epoch 24/5000, D_loss=2.437011, reward=-8.635289
Epoch: 24: 2022-04-20 13:39:26.090890
Epoch 25/5000, D_loss=2.442891, reward=-8.644972
Epoch: 25: 2022-04-20 13:39:27.077774
Epoch 26/5000, D_loss=2.466789, reward=-8.620045
Epoch: 26: 2022-04-20 13:39:28.039188
Epoch 27/5000, D_loss=2.463414, reward=-8.621315
Epoch: 27: 2022-04-20 13:39:28.885745
Epoch 28/5000, D_loss=2.441151, reward=-8.642315
Epoch: 28: 2022-04-20 13:39:29.845183
Epoch 29/5000, D_loss=2.450639, reward=-8.650857
Epoch: 29: 2022-04-20 13:39:30.767240
Epoch 30/5000, D_loss=2.444642, reward=-8.657964
Epoch: 30: 2022-04-20 13:39:31.529297
Epoch 31/5000, D_loss=2.473206, reward=-8.643663
Epoch: 31: 2022-04-20 13:39:32.284347
Epoch 32/5000, D_loss=2.450266, reward=-8.650746
Epoch: 32: 2022-04-20 13:39:33.029498
Epoch 33/5000, D_loss=2.459301, reward=-8.667245
Epoch: 33: 2022-04-20 13:39:33.864738
Epoch 34/5000, D_loss=2.452704, reward=-8.662591
Epoch: 34: 2022-04-20 13:39:34.806911
Epoch 35/5000, D_loss=2.455856, reward=-8.646832
Epoch: 35: 2022-04-20 13:39:35.741645
Epoch 36/5000, D_loss=2.457371, reward=-8.656650
Epoch: 36: 2022-04-20 13:39:36.683657
Epoch 37/5000, D_loss=2.452646, reward=-8.653754
Epoch: 37: 2022-04-20 13:39:37.624399
Epoch 38/5000, D_loss=2.463105, reward=-8.629889
Epoch: 38: 2022-04-20 13:39:38.502648
Epoch 39/5000, D_loss=2.452652, reward=-8.654490
Epoch: 39: 2022-04-20 13:39:39.444296
Epoch 40/5000, D_loss=2.456477, reward=-8.651962
Epoch: 40: 2022-04-20 13:39:40.387443
Epoch 41/5000, D_loss=2.469426, reward=-8.629520
Epoch: 41: 2022-04-20 13:39:41.325107
Epoch 42/5000, D_loss=2.470819, reward=-8.635033
Epoch: 42: 2022-04-20 13:39:42.264915
Epoch 43/5000, D_loss=2.472859, reward=-8.620373
Epoch: 43: 2022-04-20 13:39:43.130973
Epoch 44/5000, D_loss=2.467646, reward=-8.618711
Epoch: 44: 2022-04-20 13:39:44.070943
Epoch 45/5000, D_loss=2.471113, reward=-8.601631
Epoch: 45: 2022-04-20 13:39:44.943170
Epoch 46/5000, D_loss=2.470478, reward=-8.624659
Epoch: 46: 2022-04-20 13:39:45.802391
Epoch 47/5000, D_loss=2.468786, reward=-8.603244
Epoch: 47: 2022-04-20 13:39:46.764347
Epoch 48/5000, D_loss=2.485151, reward=-8.601728
Epoch: 48: 2022-04-20 13:39:47.704583
Epoch 49/5000, D_loss=2.498261, reward=-8.576449
Epoch: 49: 2022-04-20 13:39:48.641871
Epoch 50/5000, D_loss=2.478978, reward=-8.605504
Test_MRR=0.090729, Test_MR=30.863764, Test_H@10=0.225655
Epoch: 50: 2022-04-20 13:39:50.591071
Epoch 51/5000, D_loss=2.480478, reward=-8.607847
Epoch: 51: 2022-04-20 13:39:51.392243
Epoch 52/5000, D_loss=2.469729, reward=-8.604633
Epoch: 52: 2022-04-20 13:39:52.157469
Epoch 53/5000, D_loss=2.487478, reward=-8.587366
Epoch: 53: 2022-04-20 13:39:53.022783
Epoch 54/5000, D_loss=2.464575, reward=-8.610158
Epoch: 54: 2022-04-20 13:39:53.767857
Epoch 55/5000, D_loss=2.477451, reward=-8.594632
Epoch: 55: 2022-04-20 13:39:54.630542
Epoch 56/5000, D_loss=2.467767, reward=-8.612659
Epoch: 56: 2022-04-20 13:39:55.444145
Epoch 57/5000, D_loss=2.479173, reward=-8.600856
Epoch: 57: 2022-04-20 13:39:56.424458
Epoch 58/5000, D_loss=2.471227, reward=-8.606894
Epoch: 58: 2022-04-20 13:39:57.363330
Epoch 59/5000, D_loss=2.491678, reward=-8.601100
Epoch: 59: 2022-04-20 13:39:58.243986
Epoch 60/5000, D_loss=2.503387, reward=-8.582081
Epoch: 60: 2022-04-20 13:39:59.156368
Epoch 61/5000, D_loss=2.505370, reward=-8.584954
Epoch: 61: 2022-04-20 13:40:00.095861
