pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=kinship
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=10
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=10
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=10
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=10
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-20 13:39:02.800618
Test_MRR=0.219547, Test_MR=16.964618, Test_H@10=0.577747
Epoch: 0: 2022-04-20 13:39:04.072716
Epoch 1/5000, D_loss=2.618937, reward=-7.845134
Epoch: 1: 2022-04-20 13:39:04.518414
Epoch 2/5000, D_loss=2.605618, reward=-7.956761
Epoch: 2: 2022-04-20 13:39:04.957649
Epoch 3/5000, D_loss=2.578895, reward=-8.056767
Epoch: 3: 2022-04-20 13:39:05.394552
Epoch 4/5000, D_loss=2.583580, reward=-8.112713
Epoch: 4: 2022-04-20 13:39:05.822773
Epoch 5/5000, D_loss=2.565762, reward=-8.195766
Epoch: 5: 2022-04-20 13:39:06.260018
Epoch 6/5000, D_loss=2.579122, reward=-8.225084
Epoch: 6: 2022-04-20 13:39:06.698101
Epoch 7/5000, D_loss=2.567403, reward=-8.264893
Epoch: 7: 2022-04-20 13:39:07.137419
Epoch 8/5000, D_loss=2.557563, reward=-8.321371
Epoch: 8: 2022-04-20 13:39:07.573714
Epoch 9/5000, D_loss=2.556199, reward=-8.356517
Epoch: 9: 2022-04-20 13:39:08.007866
Epoch 10/5000, D_loss=2.530996, reward=-8.416915
Epoch: 10: 2022-04-20 13:39:08.440286
Epoch 11/5000, D_loss=2.539537, reward=-8.435772
Epoch: 11: 2022-04-20 13:39:08.875152
Epoch 12/5000, D_loss=2.552345, reward=-8.427281
