pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=umls
task.type=link
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 11:32:50.211255
Test_MRR=0.796212, Test_MR=1.795008, Test_H@10=0.987141
Epoch: 0: 2022-03-09 11:32:51.073598
Epoch 1/5000, D_loss=2.477447, reward=-5.703248
Epoch: 1: 2022-03-09 11:32:52.332679
Epoch 2/5000, D_loss=2.488650, reward=-5.726495
Epoch: 2: 2022-03-09 11:32:53.496372
Epoch 3/5000, D_loss=2.478872, reward=-5.796152
Epoch: 3: 2022-03-09 11:32:54.736357
Epoch 4/5000, D_loss=2.466326, reward=-5.886989
Epoch: 4: 2022-03-09 11:32:55.906267
Epoch 5/5000, D_loss=2.485672, reward=-5.963578
Epoch: 5: 2022-03-09 11:32:57.091003
Epoch 6/5000, D_loss=2.472862, reward=-6.026902
Epoch: 6: 2022-03-09 11:32:58.275541
Epoch 7/5000, D_loss=2.484996, reward=-6.026909
Epoch: 7: 2022-03-09 11:32:59.467138
Epoch 8/5000, D_loss=2.483444, reward=-6.051016
Epoch: 8: 2022-03-09 11:33:00.452597
Epoch 9/5000, D_loss=2.489124, reward=-6.064630
Epoch: 9: 2022-03-09 11:33:01.427242
Epoch 10/5000, D_loss=2.465061, reward=-6.113116
Epoch: 10: 2022-03-09 11:33:02.398548
Epoch 11/5000, D_loss=2.509203, reward=-6.082152
Epoch: 11: 2022-03-09 11:33:03.371009
Epoch 12/5000, D_loss=2.518191, reward=-6.105216
Epoch: 12: 2022-03-09 11:33:04.343199
Epoch 13/5000, D_loss=2.489655, reward=-6.198492
Epoch: 13: 2022-03-09 11:33:05.579665
Epoch 14/5000, D_loss=2.492320, reward=-6.196169
Epoch: 14: 2022-03-09 11:33:06.777371
Epoch 15/5000, D_loss=2.460907, reward=-6.233548
Epoch: 15: 2022-03-09 11:33:07.973544
Epoch 16/5000, D_loss=2.514452, reward=-6.151043
Epoch: 16: 2022-03-09 11:33:09.099952
Epoch 17/5000, D_loss=2.509792, reward=-6.164710
Epoch: 17: 2022-03-09 11:33:10.286456
Epoch 18/5000, D_loss=2.497540, reward=-6.211084
Epoch: 18: 2022-03-09 11:33:11.457174
