pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=umls
task.type=link
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 11:32:54.692330
Test_MRR=0.775677, Test_MR=2.066566, Test_H@10=0.984115
Epoch: 0: 2022-03-09 11:32:55.609390
Epoch 1/5000, D_loss=2.549664, reward=-5.415802
Epoch: 1: 2022-03-09 11:32:56.636522
Epoch 2/5000, D_loss=2.521290, reward=-5.491004
Epoch: 2: 2022-03-09 11:32:57.609467
Epoch 3/5000, D_loss=2.508785, reward=-5.557415
Epoch: 3: 2022-03-09 11:32:58.577247
Epoch 4/5000, D_loss=2.507468, reward=-5.616669
Epoch: 4: 2022-03-09 11:32:59.530201
Epoch 5/5000, D_loss=2.509216, reward=-5.643234
Epoch: 5: 2022-03-09 11:33:00.504011
Epoch 6/5000, D_loss=2.505127, reward=-5.694911
Epoch: 6: 2022-03-09 11:33:01.497563
Epoch 7/5000, D_loss=2.546894, reward=-5.693556
Epoch: 7: 2022-03-09 11:33:02.356309
Epoch 8/5000, D_loss=2.485155, reward=-5.804503
Epoch: 8: 2022-03-09 11:33:03.031119
Epoch 9/5000, D_loss=2.538047, reward=-5.776148
Epoch: 9: 2022-03-09 11:33:03.728305
Epoch 10/5000, D_loss=2.517580, reward=-5.836879
Epoch: 10: 2022-03-09 11:33:04.406184
Epoch 11/5000, D_loss=2.537761, reward=-5.858417
Epoch: 11: 2022-03-09 11:33:05.084559
Epoch 12/5000, D_loss=2.513397, reward=-5.918286
Epoch: 12: 2022-03-09 11:33:05.753114
Epoch 13/5000, D_loss=2.569884, reward=-5.884419
Epoch: 13: 2022-03-09 11:33:06.417467
Epoch 14/5000, D_loss=2.535060, reward=-5.948828
Epoch: 14: 2022-03-09 11:33:07.086688
Epoch 15/5000, D_loss=2.540556, reward=-5.965922
Epoch: 15: 2022-03-09 11:33:07.761554
Epoch 16/5000, D_loss=2.541167, reward=-5.986469
Epoch: 16: 2022-03-09 11:33:08.440208
Epoch 17/5000, D_loss=2.525710, reward=-6.044105
Epoch: 17: 2022-03-09 11:33:09.117112
Epoch 18/5000, D_loss=2.534171, reward=-6.060688
Epoch: 18: 2022-03-09 11:33:09.782787
Epoch 19/5000, D_loss=2.536620, reward=-6.079855
Epoch: 19: 2022-03-09 11:33:10.451340
Epoch 20/5000, D_loss=2.539152, reward=-6.076774
Epoch: 20: 2022-03-09 11:33:11.120180
Epoch 21/5000, D_loss=2.536635, reward=-6.092990
Epoch: 21: 2022-03-09 11:33:12.040748
Epoch 22/5000, D_loss=2.550056, reward=-6.094029
Epoch: 22: 2022-03-09 11:33:12.925847
Epoch 23/5000, D_loss=2.582966, reward=-6.079819
Epoch: 23: 2022-03-09 11:33:13.768171
Epoch 24/5000, D_loss=2.544435, reward=-6.144259
Epoch: 24: 2022-03-09 11:33:14.466080
Epoch 25/5000, D_loss=2.552086, reward=-6.152400
Epoch: 25: 2022-03-09 11:33:15.127802
Epoch 26/5000, D_loss=2.553263, reward=-6.148322
Epoch: 26: 2022-03-09 11:33:15.800317
Epoch 27/5000, D_loss=2.540206, reward=-6.155964
Epoch: 27: 2022-03-09 11:33:16.477481
Epoch 28/5000, D_loss=2.531498, reward=-6.165144
Epoch: 28: 2022-03-09 11:33:17.152021
Epoch 29/5000, D_loss=2.525202, reward=-6.176438
Epoch: 29: 2022-03-09 11:33:17.815111
Epoch 30/5000, D_loss=2.556678, reward=-6.141264
Epoch: 30: 2022-03-09 11:33:18.739329
Epoch 31/5000, D_loss=2.554646, reward=-6.149089
