pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=umls
task.type=link
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 11:32:38.059238
Test_MRR=0.796212, Test_MR=1.795008, Test_H@10=0.987141
Epoch: 0: 2022-03-09 11:32:38.941315
Epoch 1/5000, D_loss=2.273767, reward=-6.037798
Epoch: 1: 2022-03-09 11:32:39.927626
Epoch 2/5000, D_loss=2.256024, reward=-6.095565
Epoch: 2: 2022-03-09 11:32:40.789289
Epoch 3/5000, D_loss=2.280973, reward=-6.070761
Epoch: 3: 2022-03-09 11:32:41.732240
Epoch 4/5000, D_loss=2.244710, reward=-6.167289
Epoch: 4: 2022-03-09 11:32:42.675457
Epoch 5/5000, D_loss=2.229229, reward=-6.199753
Epoch: 5: 2022-03-09 11:32:43.615711
Epoch 6/5000, D_loss=2.245859, reward=-6.184566
Epoch: 6: 2022-03-09 11:32:44.557121
Epoch 7/5000, D_loss=2.241779, reward=-6.210678
Epoch: 7: 2022-03-09 11:32:45.502470
Epoch 8/5000, D_loss=2.209155, reward=-6.267597
Epoch: 8: 2022-03-09 11:32:46.420698
Epoch 9/5000, D_loss=2.203750, reward=-6.288314
Epoch: 9: 2022-03-09 11:32:47.587667
Epoch 10/5000, D_loss=2.208648, reward=-6.278532
Epoch: 10: 2022-03-09 11:32:48.644425
Epoch 11/5000, D_loss=2.252671, reward=-6.194855
Epoch: 11: 2022-03-09 11:32:49.612559
Epoch 12/5000, D_loss=2.260223, reward=-6.232893
Epoch: 12: 2022-03-09 11:32:50.551538
Epoch 13/5000, D_loss=2.240089, reward=-6.270614
Epoch: 13: 2022-03-09 11:32:51.525282
Epoch 14/5000, D_loss=2.230815, reward=-6.252059
Epoch: 14: 2022-03-09 11:32:52.425180
Epoch 15/5000, D_loss=2.225736, reward=-6.259384
Epoch: 15: 2022-03-09 11:32:53.258127
Epoch 16/5000, D_loss=2.248637, reward=-6.217248
Epoch: 16: 2022-03-09 11:32:54.017168
