pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=umls
task.type=link
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 11:32:34.550588
Test_MRR=0.775677, Test_MR=2.066566, Test_H@10=0.984115
Epoch: 0: 2022-03-09 11:32:35.473986
Epoch 1/5000, D_loss=2.328145, reward=-5.764016
Epoch: 1: 2022-03-09 11:32:36.188772
Epoch 2/5000, D_loss=2.294203, reward=-5.843448
Epoch: 2: 2022-03-09 11:32:36.876044
Epoch 3/5000, D_loss=2.271412, reward=-5.897998
Epoch: 3: 2022-03-09 11:32:37.520663
Epoch 4/5000, D_loss=2.264980, reward=-5.931792
Epoch: 4: 2022-03-09 11:32:38.182104
Epoch 5/5000, D_loss=2.319055, reward=-5.911737
Epoch: 5: 2022-03-09 11:32:38.840379
Epoch 6/5000, D_loss=2.327075, reward=-5.921011
Epoch: 6: 2022-03-09 11:32:39.471930
Epoch 7/5000, D_loss=2.293180, reward=-5.962355
Epoch: 7: 2022-03-09 11:32:40.107677
Epoch 8/5000, D_loss=2.302902, reward=-5.991181
Epoch: 8: 2022-03-09 11:32:40.767073
Epoch 9/5000, D_loss=2.303706, reward=-5.993896
Epoch: 9: 2022-03-09 11:32:41.407603
Epoch 10/5000, D_loss=2.322984, reward=-5.994084
Epoch: 10: 2022-03-09 11:32:42.114849
Epoch 11/5000, D_loss=2.274929, reward=-6.064218
Epoch: 11: 2022-03-09 11:32:42.770379
Epoch 12/5000, D_loss=2.298197, reward=-6.057732
Epoch: 12: 2022-03-09 11:32:43.425978
Epoch 13/5000, D_loss=2.288048, reward=-6.084616
Epoch: 13: 2022-03-09 11:32:44.108772
Epoch 14/5000, D_loss=2.298825, reward=-6.097837
Epoch: 14: 2022-03-09 11:32:44.780992
Epoch 15/5000, D_loss=2.291888, reward=-6.096513
Epoch: 15: 2022-03-09 11:32:45.453695
Epoch 16/5000, D_loss=2.295434, reward=-6.107030
Epoch: 16: 2022-03-09 11:32:46.119255
Epoch 17/5000, D_loss=2.333126, reward=-6.059853
Epoch: 17: 2022-03-09 11:32:46.759591
Epoch 18/5000, D_loss=2.279569, reward=-6.108936
Epoch: 18: 2022-03-09 11:32:47.394614
Epoch 19/5000, D_loss=2.309110, reward=-6.072763
Epoch: 19: 2022-03-09 11:32:48.033870
Epoch 20/5000, D_loss=2.274553, reward=-6.123581
Epoch: 20: 2022-03-09 11:32:48.677547
Epoch 21/5000, D_loss=2.293193, reward=-6.096889
Epoch: 21: 2022-03-09 11:32:49.338747
Epoch 22/5000, D_loss=2.302933, reward=-6.085725
Epoch: 22: 2022-03-09 11:32:50.007437
Epoch 23/5000, D_loss=2.320968, reward=-6.081024
Epoch: 23: 2022-03-09 11:32:50.628799
Epoch 24/5000, D_loss=2.289791, reward=-6.122960
Epoch: 24: 2022-03-09 11:32:51.242851
Epoch 25/5000, D_loss=2.304851, reward=-6.125914
Epoch: 25: 2022-03-09 11:32:51.864635
Epoch 26/5000, D_loss=2.304373, reward=-6.102696
Epoch: 26: 2022-03-09 11:32:52.485030
Epoch 27/5000, D_loss=2.300960, reward=-6.106900
Epoch: 27: 2022-03-09 11:32:53.104797
Epoch 28/5000, D_loss=2.296833, reward=-6.125841
Epoch: 28: 2022-03-09 11:32:53.733696
Epoch 29/5000, D_loss=2.276465, reward=-6.176917
Epoch: 29: 2022-03-09 11:32:54.357595
Epoch 30/5000, D_loss=2.298744, reward=-6.154364
Epoch: 30: 2022-03-09 11:32:54.961645
Epoch 31/5000, D_loss=2.299995, reward=-6.156529
Epoch: 31: 2022-03-09 11:32:55.561857
Epoch 32/5000, D_loss=2.286952, reward=-6.172111
Epoch: 32: 2022-03-09 11:32:56.152533
Epoch 33/5000, D_loss=2.326278, reward=-6.118062
Epoch: 33: 2022-03-09 11:32:56.751455
Epoch 34/5000, D_loss=2.321626, reward=-6.131543
Epoch: 34: 2022-03-09 11:32:57.353966
