pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:42:04.390686
Test_MRR=0.457107, Test_MR=288.239400, Test_H@10=0.931200
Epoch: 0: 2022-03-09 14:45:59.731013
Epoch 1/5000, D_loss=0.041725, reward=-8.482324
Epoch: 1: 2022-03-09 14:46:08.520213
Epoch 2/5000, D_loss=0.041816, reward=-8.500964
Epoch: 2: 2022-03-09 14:46:17.243032
Epoch 3/5000, D_loss=0.042585, reward=-8.506146
Epoch: 3: 2022-03-09 14:46:25.527443
Epoch 4/5000, D_loss=0.041941, reward=-8.517406
Epoch: 4: 2022-03-09 14:46:33.675079
Epoch 5/5000, D_loss=0.041015, reward=-8.523715
Epoch: 5: 2022-03-09 14:46:41.940684
Epoch 6/5000, D_loss=0.041947, reward=-8.534838
Epoch: 6: 2022-03-09 14:46:50.504832
Epoch 7/5000, D_loss=0.041769, reward=-8.527389
Epoch: 7: 2022-03-09 14:46:58.811674
Epoch 8/5000, D_loss=0.041149, reward=-8.532523
Epoch: 8: 2022-03-09 14:47:07.152794
Epoch 9/5000, D_loss=0.039353, reward=-8.541014
Epoch: 9: 2022-03-09 14:47:15.666628
Epoch 10/5000, D_loss=0.041222, reward=-8.527392
Epoch: 10: 2022-03-09 14:47:24.056178
Epoch 11/5000, D_loss=0.042493, reward=-8.517999
Epoch: 11: 2022-03-09 14:47:32.087824
Epoch 12/5000, D_loss=0.040191, reward=-8.522097
Epoch: 12: 2022-03-09 14:47:40.259146
Epoch 13/5000, D_loss=0.041476, reward=-8.520879
Epoch: 13: 2022-03-09 14:47:48.674294
Epoch 14/5000, D_loss=0.041905, reward=-8.512133
Epoch: 14: 2022-03-09 14:47:56.723358
Epoch 15/5000, D_loss=0.042903, reward=-8.505597
Epoch: 15: 2022-03-09 14:48:04.868992
Epoch 16/5000, D_loss=0.041907, reward=-8.506505
Epoch: 16: 2022-03-09 14:48:13.353661
Epoch 17/5000, D_loss=0.041461, reward=-8.511851
Epoch: 17: 2022-03-09 14:48:22.078998
Epoch 18/5000, D_loss=0.040311, reward=-8.514459
Epoch: 18: 2022-03-09 14:48:30.650074
Epoch 19/5000, D_loss=0.040847, reward=-8.509166
Epoch: 19: 2022-03-09 14:48:39.118476
Epoch 20/5000, D_loss=0.041859, reward=-8.504280
Epoch: 20: 2022-03-09 14:48:47.287188
Epoch 21/5000, D_loss=0.041606, reward=-8.504580
Epoch: 21: 2022-03-09 14:48:55.674810
Epoch 22/5000, D_loss=0.041206, reward=-8.499711
Epoch: 22: 2022-03-09 14:49:04.156730
Epoch 23/5000, D_loss=0.041225, reward=-8.506904
Epoch: 23: 2022-03-09 14:49:13.020606
Epoch 24/5000, D_loss=0.042160, reward=-8.506446
Epoch: 24: 2022-03-09 14:49:21.977888
Epoch 25/5000, D_loss=0.040340, reward=-8.494312
Epoch: 25: 2022-03-09 14:49:31.139427
Epoch 26/5000, D_loss=0.040089, reward=-8.493913
Epoch: 26: 2022-03-09 14:49:40.095710
Epoch 27/5000, D_loss=0.041872, reward=-8.500428
Epoch: 27: 2022-03-09 14:49:48.847823
Epoch 28/5000, D_loss=0.042276, reward=-8.493394
Epoch: 28: 2022-03-09 14:49:57.693522
Epoch 29/5000, D_loss=0.041482, reward=-8.489793
Epoch: 29: 2022-03-09 14:50:06.597325
Epoch 30/5000, D_loss=0.040902, reward=-8.485435
Epoch: 30: 2022-03-09 14:50:15.473747
Epoch 31/5000, D_loss=0.040615, reward=-8.483097
Epoch: 31: 2022-03-09 14:50:24.353452
Epoch 32/5000, D_loss=0.041076, reward=-8.492940
Epoch: 32: 2022-03-09 14:50:33.073676
Epoch 33/5000, D_loss=0.042179, reward=-8.487711
Epoch: 33: 2022-03-09 14:50:41.787663
Epoch 34/5000, D_loss=0.042267, reward=-8.479915
Epoch: 34: 2022-03-09 14:50:50.409369
Epoch 35/5000, D_loss=0.042304, reward=-8.471793
Epoch: 35: 2022-03-09 14:50:58.797804
Epoch 36/5000, D_loss=0.043452, reward=-8.460736
Epoch: 36: 2022-03-09 14:51:07.364540
Epoch 37/5000, D_loss=0.041265, reward=-8.471312
Epoch: 37: 2022-03-09 14:51:16.420993
Epoch 38/5000, D_loss=0.040140, reward=-8.469837
Epoch: 38: 2022-03-09 14:51:25.554570
Epoch 39/5000, D_loss=0.042790, reward=-8.463528
Epoch: 39: 2022-03-09 14:51:39.915297
Epoch 40/5000, D_loss=0.040416, reward=-8.460783
Epoch: 40: 2022-03-09 14:51:48.853999
Epoch 41/5000, D_loss=0.040175, reward=-8.465520
Epoch: 41: 2022-03-09 14:51:57.804043
Epoch 42/5000, D_loss=0.040431, reward=-8.457270
Epoch: 42: 2022-03-09 14:52:06.502123
Epoch 43/5000, D_loss=0.040711, reward=-8.450093
Epoch: 43: 2022-03-09 14:52:15.027524
