pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=wn18
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=5
2022-03-09 14:41:38.152259
Test_MRR=0.457107, Test_MR=288.239400, Test_H@10=0.931200
Epoch: 0: 2022-03-09 14:45:22.582768
Epoch 1/5000, D_loss=0.006779, reward=-8.598918
Epoch: 1: 2022-03-09 14:45:29.424526
Epoch 2/5000, D_loss=0.006188, reward=-8.612144
Epoch: 2: 2022-03-09 14:45:35.801024
Epoch 3/5000, D_loss=0.006224, reward=-8.607420
Epoch: 3: 2022-03-09 14:45:42.035731
Epoch 4/5000, D_loss=0.006178, reward=-8.611601
Epoch: 4: 2022-03-09 14:45:48.119018
Epoch 5/5000, D_loss=0.006220, reward=-8.614878
Epoch: 5: 2022-03-09 14:45:54.269340
Epoch 6/5000, D_loss=0.005980, reward=-8.618267
Epoch: 6: 2022-03-09 14:46:00.343485
Epoch 7/5000, D_loss=0.006401, reward=-8.611791
Epoch: 7: 2022-03-09 14:46:06.453185
Epoch 8/5000, D_loss=0.006403, reward=-8.608803
Epoch: 8: 2022-03-09 14:46:12.502287
Epoch 9/5000, D_loss=0.006372, reward=-8.605224
Epoch: 9: 2022-03-09 14:46:18.712028
Epoch 10/5000, D_loss=0.006254, reward=-8.602648
Epoch: 10: 2022-03-09 14:46:24.912304
Epoch 11/5000, D_loss=0.006370, reward=-8.595468
Epoch: 11: 2022-03-09 14:46:31.237244
Epoch 12/5000, D_loss=0.006643, reward=-8.594545
Epoch: 12: 2022-03-09 14:46:37.558878
Epoch 13/5000, D_loss=0.006644, reward=-8.605412
Epoch: 13: 2022-03-09 14:46:43.987889
Epoch 14/5000, D_loss=0.006672, reward=-8.595677
Epoch: 14: 2022-03-09 14:46:50.387838
Epoch 15/5000, D_loss=0.006252, reward=-8.610929
Epoch: 15: 2022-03-09 14:46:56.882451
Epoch 16/5000, D_loss=0.007074, reward=-8.601610
Epoch: 16: 2022-03-09 14:47:03.357316
Epoch 17/5000, D_loss=0.007269, reward=-8.600116
Epoch: 17: 2022-03-09 14:47:09.963588
Epoch 18/5000, D_loss=0.007147, reward=-8.602417
Epoch: 18: 2022-03-09 14:47:16.512984
Epoch 19/5000, D_loss=0.007403, reward=-8.605840
Epoch: 19: 2022-03-09 14:47:23.169322
Epoch 20/5000, D_loss=0.007184, reward=-8.599172
Epoch: 20: 2022-03-09 14:47:29.788636
Epoch 21/5000, D_loss=0.006630, reward=-8.594830
Epoch: 21: 2022-03-09 14:47:36.488981
Epoch 22/5000, D_loss=0.007003, reward=-8.583173
Epoch: 22: 2022-03-09 14:47:43.137887
Epoch 23/5000, D_loss=0.007116, reward=-8.586687
Epoch: 23: 2022-03-09 14:47:49.919863
Epoch 24/5000, D_loss=0.006775, reward=-8.589983
Epoch: 24: 2022-03-09 14:47:56.584607
Epoch 25/5000, D_loss=0.006937, reward=-8.593077
Epoch: 25: 2022-03-09 14:48:03.358673
Epoch 26/5000, D_loss=0.006772, reward=-8.597454
Epoch: 26: 2022-03-09 14:48:10.098055
Epoch 27/5000, D_loss=0.006601, reward=-8.604259
Epoch: 27: 2022-03-09 14:48:16.904666
Epoch 28/5000, D_loss=0.006894, reward=-8.597893
Epoch: 28: 2022-03-09 14:48:23.625127
Epoch 29/5000, D_loss=0.006701, reward=-8.598772
Epoch: 29: 2022-03-09 14:48:30.456460
Epoch 30/5000, D_loss=0.006476, reward=-8.590025
Epoch: 30: 2022-03-09 14:48:37.222365
Epoch 31/5000, D_loss=0.007034, reward=-8.588058
Epoch: 31: 2022-03-09 14:48:44.104811
Epoch 32/5000, D_loss=0.006795, reward=-8.587205
Epoch: 32: 2022-03-09 14:48:50.986171
Epoch 33/5000, D_loss=0.007036, reward=-8.596366
Epoch: 33: 2022-03-09 14:48:57.931681
Epoch 34/5000, D_loss=0.007301, reward=-8.596721
Epoch: 34: 2022-03-09 14:49:04.798120
Epoch 35/5000, D_loss=0.006718, reward=-8.603800
Epoch: 35: 2022-03-09 14:49:11.771297
Epoch 36/5000, D_loss=0.007105, reward=-8.599691
Epoch: 36: 2022-03-09 14:49:18.660021
Epoch 37/5000, D_loss=0.006818, reward=-8.606945
Epoch: 37: 2022-03-09 14:49:26.040910
Epoch 38/5000, D_loss=0.006818, reward=-8.604582
Epoch: 38: 2022-03-09 14:49:33.202837
Epoch 39/5000, D_loss=0.006441, reward=-8.599709
Epoch: 39: 2022-03-09 14:49:40.328425
Epoch 40/5000, D_loss=0.006978, reward=-8.602923
Epoch: 40: 2022-03-09 14:49:47.252944
Epoch 41/5000, D_loss=0.007504, reward=-8.602792
Epoch: 41: 2022-03-09 14:49:54.469170
Epoch 42/5000, D_loss=0.006642, reward=-8.607371
Epoch: 42: 2022-03-09 14:50:01.450880
Epoch 43/5000, D_loss=0.006777, reward=-8.605182
Epoch: 43: 2022-03-09 14:50:08.476754
