pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 11:34:19.960588
Test_MRR=0.178313, Test_MR=5914.253191, Test_H@10=0.412891
Epoch: 0: 2022-03-09 11:34:26.670743
Epoch 1/5000, D_loss=0.060308, reward=-8.057737
Epoch: 1: 2022-03-09 11:34:28.117796
Epoch 2/5000, D_loss=0.058251, reward=-8.064709
Epoch: 2: 2022-03-09 11:34:29.576006
Epoch 3/5000, D_loss=0.058500, reward=-8.061297
Epoch: 3: 2022-03-09 11:34:31.034965
Epoch 4/5000, D_loss=0.058260, reward=-8.064790
Epoch: 4: 2022-03-09 11:34:32.490502
Epoch 5/5000, D_loss=0.057606, reward=-8.063693
Epoch: 5: 2022-03-09 11:34:33.960242
Epoch 6/5000, D_loss=0.058400, reward=-8.064919
Epoch: 6: 2022-03-09 11:34:35.415852
Epoch 7/5000, D_loss=0.060025, reward=-8.060605
Epoch: 7: 2022-03-09 11:34:36.866847
Epoch 8/5000, D_loss=0.059617, reward=-8.058946
Epoch: 8: 2022-03-09 11:34:38.327727
Epoch 9/5000, D_loss=0.057361, reward=-8.064026
Epoch: 9: 2022-03-09 11:34:39.788103
Epoch 10/5000, D_loss=0.059296, reward=-8.061005
Epoch: 10: 2022-03-09 11:34:41.257535
Epoch 11/5000, D_loss=0.057731, reward=-8.059332
Epoch: 11: 2022-03-09 11:34:42.714795
Epoch 12/5000, D_loss=0.057225, reward=-8.060690
Epoch: 12: 2022-03-09 11:34:44.156844
Epoch 13/5000, D_loss=0.057619, reward=-8.067041
Epoch: 13: 2022-03-09 11:34:45.627918
Epoch 14/5000, D_loss=0.056415, reward=-8.066362
Epoch: 14: 2022-03-09 11:34:47.089867
Epoch 15/5000, D_loss=0.056729, reward=-8.059536
Epoch: 15: 2022-03-09 11:34:48.557609
Epoch 16/5000, D_loss=0.055881, reward=-8.062186
Epoch: 16: 2022-03-09 11:34:50.033600
Epoch 17/5000, D_loss=0.056724, reward=-8.056561
Epoch: 17: 2022-03-09 11:34:51.499740
Epoch 18/5000, D_loss=0.054147, reward=-8.063700
Epoch: 18: 2022-03-09 11:34:52.957561
Epoch 19/5000, D_loss=0.055313, reward=-8.058440
Epoch: 19: 2022-03-09 11:34:54.421376
Epoch 20/5000, D_loss=0.055630, reward=-8.059398
Epoch: 20: 2022-03-09 11:34:55.872518
Epoch 21/5000, D_loss=0.054183, reward=-8.055774
Epoch: 21: 2022-03-09 11:34:57.330503
Epoch 22/5000, D_loss=0.055812, reward=-8.054409
Epoch: 22: 2022-03-09 11:34:58.803940
Epoch 23/5000, D_loss=0.055392, reward=-8.054115
Epoch: 23: 2022-03-09 11:35:00.259056
Epoch 24/5000, D_loss=0.054264, reward=-8.057478
Epoch: 24: 2022-03-09 11:35:01.723440
Epoch 25/5000, D_loss=0.053313, reward=-8.052167
Epoch: 25: 2022-03-09 11:35:03.192166
Epoch 26/5000, D_loss=0.053884, reward=-8.056668
Epoch: 26: 2022-03-09 11:35:04.576916
Epoch 27/5000, D_loss=0.053845, reward=-8.052214
Epoch: 27: 2022-03-09 11:35:06.009304
Epoch 28/5000, D_loss=0.053286, reward=-8.054639
Epoch: 28: 2022-03-09 11:35:07.458028
Epoch 29/5000, D_loss=0.054651, reward=-8.051318
Epoch: 29: 2022-03-09 11:35:08.907508
Epoch 30/5000, D_loss=0.052526, reward=-8.048286
Epoch: 30: 2022-03-09 11:35:10.366875
Epoch 31/5000, D_loss=0.054445, reward=-8.046171
Epoch: 31: 2022-03-09 11:35:11.822233
Epoch 32/5000, D_loss=0.052508, reward=-8.050970
Epoch: 32: 2022-03-09 11:35:13.260566
Epoch 33/5000, D_loss=0.052661, reward=-8.045882
Epoch: 33: 2022-03-09 11:35:14.610322
Epoch 34/5000, D_loss=0.053048, reward=-8.043927
Epoch: 34: 2022-03-09 11:35:15.956732
Epoch 35/5000, D_loss=0.051654, reward=-8.046481
Epoch: 35: 2022-03-09 11:35:17.426237
Epoch 36/5000, D_loss=0.050972, reward=-8.047301
Epoch: 36: 2022-03-09 11:35:18.880723
Epoch 37/5000, D_loss=0.048740, reward=-8.051239
Epoch: 37: 2022-03-09 11:35:20.246314
Epoch 38/5000, D_loss=0.052152, reward=-8.039606
Epoch: 38: 2022-03-09 11:35:21.709993
Epoch 39/5000, D_loss=0.049656, reward=-8.042761
