pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 13:00:05.318410
Test_MRR=0.177738, Test_MR=5894.328334, Test_H@10=0.415444
Epoch: 0: 2022-03-09 13:00:14.963470
Epoch 1/5000, D_loss=0.048753, reward=-8.603853
Epoch: 1: 2022-03-09 13:00:16.281248
Epoch 2/5000, D_loss=0.048997, reward=-8.603063
Epoch: 2: 2022-03-09 13:00:17.410094
Epoch 3/5000, D_loss=0.046939, reward=-8.615674
Epoch: 3: 2022-03-09 13:00:18.380716
Epoch 4/5000, D_loss=0.049626, reward=-8.607555
Epoch: 4: 2022-03-09 13:00:19.350696
Epoch 5/5000, D_loss=0.049385, reward=-8.613955
Epoch: 5: 2022-03-09 13:00:20.299096
Epoch 6/5000, D_loss=0.050080, reward=-8.604408
Epoch: 6: 2022-03-09 13:00:21.245789
Epoch 7/5000, D_loss=0.049122, reward=-8.604223
Epoch: 7: 2022-03-09 13:00:22.194263
Epoch 8/5000, D_loss=0.051101, reward=-8.606629
Epoch: 8: 2022-03-09 13:00:23.168435
Epoch 9/5000, D_loss=0.049714, reward=-8.597819
Epoch: 9: 2022-03-09 13:00:24.317072
Epoch 10/5000, D_loss=0.051355, reward=-8.590475
Epoch: 10: 2022-03-09 13:00:25.530797
Epoch 11/5000, D_loss=0.051065, reward=-8.586973
Epoch: 11: 2022-03-09 13:00:26.841146
Epoch 12/5000, D_loss=0.048576, reward=-8.587071
Epoch: 12: 2022-03-09 13:00:28.144777
Epoch 13/5000, D_loss=0.050526, reward=-8.591132
Epoch: 13: 2022-03-09 13:00:29.255320
Epoch 14/5000, D_loss=0.049772, reward=-8.579055
Epoch: 14: 2022-03-09 13:00:30.621875
Epoch 15/5000, D_loss=0.049818, reward=-8.577931
Epoch: 15: 2022-03-09 13:00:31.934902
Epoch 16/5000, D_loss=0.049696, reward=-8.576525
Epoch: 16: 2022-03-09 13:00:33.275595
Epoch 17/5000, D_loss=0.050345, reward=-8.572896
Epoch: 17: 2022-03-09 13:00:34.483435
Epoch 18/5000, D_loss=0.051018, reward=-8.573816
Epoch: 18: 2022-03-09 13:00:35.739496
Epoch 19/5000, D_loss=0.048876, reward=-8.576809
Epoch: 19: 2022-03-09 13:00:36.937077
Epoch 20/5000, D_loss=0.047414, reward=-8.573417
Epoch: 20: 2022-03-09 13:00:38.116117
Epoch 21/5000, D_loss=0.047958, reward=-8.562807
Epoch: 21: 2022-03-09 13:00:39.194472
Epoch 22/5000, D_loss=0.046987, reward=-8.560740
Epoch: 22: 2022-03-09 13:00:40.425848
Epoch 23/5000, D_loss=0.048202, reward=-8.550018
Epoch: 23: 2022-03-09 13:00:41.748991
Epoch 24/5000, D_loss=0.048538, reward=-8.551295
Epoch: 24: 2022-03-09 13:00:42.794763
Epoch 25/5000, D_loss=0.050046, reward=-8.563269
Epoch: 25: 2022-03-09 13:00:43.746234
Epoch 26/5000, D_loss=0.049717, reward=-8.553062
Epoch: 26: 2022-03-09 13:00:44.688076
Epoch 27/5000, D_loss=0.046628, reward=-8.558882
Epoch: 27: 2022-03-09 13:00:45.629572
Epoch 28/5000, D_loss=0.047193, reward=-8.553400
Epoch: 28: 2022-03-09 13:00:46.579115
Epoch 29/5000, D_loss=0.046238, reward=-8.546021
Epoch: 29: 2022-03-09 13:00:47.528543
Epoch 30/5000, D_loss=0.047588, reward=-8.553072
Epoch: 30: 2022-03-09 13:00:48.516616
Epoch 31/5000, D_loss=0.046895, reward=-8.544563
Epoch: 31: 2022-03-09 13:00:49.498920
Epoch 32/5000, D_loss=0.047069, reward=-8.538310
Epoch: 32: 2022-03-09 13:00:50.697427
