pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=wn18rr
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=random
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=100
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=100
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=100
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=100
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-03-09 12:59:56.452593
Test_MRR=0.178313, Test_MR=5914.253191, Test_H@10=0.412891
Epoch: 0: 2022-03-09 13:00:03.777931
Epoch 1/5000, D_loss=0.060707, reward=-8.055759
Epoch: 1: 2022-03-09 13:00:04.756263
Epoch 2/5000, D_loss=0.060081, reward=-8.060462
Epoch: 2: 2022-03-09 13:00:05.640400
Epoch 3/5000, D_loss=0.061906, reward=-8.049855
Epoch: 3: 2022-03-09 13:00:06.544976
Epoch 4/5000, D_loss=0.060411, reward=-8.058764
Epoch: 4: 2022-03-09 13:00:07.371975
Epoch 5/5000, D_loss=0.058917, reward=-8.061125
Epoch: 5: 2022-03-09 13:00:08.271215
Epoch 6/5000, D_loss=0.060517, reward=-8.051738
Epoch: 6: 2022-03-09 13:00:09.189621
Epoch 7/5000, D_loss=0.060561, reward=-8.054530
Epoch: 7: 2022-03-09 13:00:10.091386
Epoch 8/5000, D_loss=0.059452, reward=-8.050653
Epoch: 8: 2022-03-09 13:00:10.893670
Epoch 9/5000, D_loss=0.059965, reward=-8.057164
Epoch: 9: 2022-03-09 13:00:11.703204
Epoch 10/5000, D_loss=0.058796, reward=-8.052155
Epoch: 10: 2022-03-09 13:00:12.503323
Epoch 11/5000, D_loss=0.058786, reward=-8.052075
Epoch: 11: 2022-03-09 13:00:13.323936
Epoch 12/5000, D_loss=0.058009, reward=-8.058317
Epoch: 12: 2022-03-09 13:00:14.116996
Epoch 13/5000, D_loss=0.059050, reward=-8.057760
Epoch: 13: 2022-03-09 13:00:15.000910
Epoch 14/5000, D_loss=0.058364, reward=-8.050253
Epoch: 14: 2022-03-09 13:00:15.906769
Epoch 15/5000, D_loss=0.059625, reward=-8.052830
Epoch: 15: 2022-03-09 13:00:16.718677
Epoch 16/5000, D_loss=0.056183, reward=-8.055123
Epoch: 16: 2022-03-09 13:00:17.591272
Epoch 17/5000, D_loss=0.058080, reward=-8.050152
Epoch: 17: 2022-03-09 13:00:18.434683
Epoch 18/5000, D_loss=0.058097, reward=-8.047035
Epoch: 18: 2022-03-09 13:00:19.342962
Epoch 19/5000, D_loss=0.056206, reward=-8.051801
Epoch: 19: 2022-03-09 13:00:20.233074
Epoch 20/5000, D_loss=0.057250, reward=-8.044576
Epoch: 20: 2022-03-09 13:00:21.173615
Epoch 21/5000, D_loss=0.055880, reward=-8.048598
Epoch: 21: 2022-03-09 13:00:22.101179
Epoch 22/5000, D_loss=0.057277, reward=-8.045575
Epoch: 22: 2022-03-09 13:00:23.013741
Epoch 23/5000, D_loss=0.057610, reward=-8.042624
Epoch: 23: 2022-03-09 13:00:23.826499
Epoch 24/5000, D_loss=0.058097, reward=-8.044599
Epoch: 24: 2022-03-09 13:00:24.673041
Epoch 25/5000, D_loss=0.054533, reward=-8.046492
Epoch: 25: 2022-03-09 13:00:25.584886
Epoch 26/5000, D_loss=0.056799, reward=-8.038573
Epoch: 26: 2022-03-09 13:00:26.395712
Epoch 27/5000, D_loss=0.056208, reward=-8.042337
Epoch: 27: 2022-03-09 13:00:27.030166
Epoch 28/5000, D_loss=0.054205, reward=-8.038762
Epoch: 28: 2022-03-09 13:00:27.836229
Epoch 29/5000, D_loss=0.054917, reward=-8.043018
Epoch: 29: 2022-03-09 13:00:28.733001
Epoch 30/5000, D_loss=0.052405, reward=-8.044634
Epoch: 30: 2022-03-09 13:00:29.602801
