pretrain_config=TransE
g_config=DistMult
d_config=TransD
test_batch_size=100
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-30 15:29:30.058985
Test_MRR=0.100625, Test_MR=1510.779004, Test_H@10=0.197611
Epoch: 0: 2022-04-30 15:41:14.341916
Epoch 1/5000, D_loss=0.461720, reward=-8.469211
Epoch: 1: 2022-04-30 15:41:42.520787
Epoch 2/5000, D_loss=0.449395, reward=-8.481300
Epoch: 2: 2022-04-30 15:42:11.473131
Epoch 3/5000, D_loss=0.441921, reward=-8.491573
Epoch: 3: 2022-04-30 15:42:39.882296
Epoch 4/5000, D_loss=0.439815, reward=-8.488786
Epoch: 4: 2022-04-30 15:43:08.260243
Epoch 5/5000, D_loss=0.437527, reward=-8.479183
Epoch: 5: 2022-04-30 15:43:36.349762
Epoch 6/5000, D_loss=0.435906, reward=-8.464937
Epoch: 6: 2022-04-30 15:44:04.498555
Epoch 7/5000, D_loss=0.435385, reward=-8.448768
Epoch: 7: 2022-04-30 15:44:33.054077
Epoch 8/5000, D_loss=0.434534, reward=-8.437902
Epoch: 8: 2022-04-30 15:45:01.525185
Epoch 9/5000, D_loss=0.434321, reward=-8.419834
Epoch: 9: 2022-04-30 15:45:29.632637
Epoch 10/5000, D_loss=0.434726, reward=-8.407622
Epoch: 10: 2022-04-30 15:45:57.566031
Epoch 11/5000, D_loss=0.434140, reward=-8.392109
Epoch: 11: 2022-04-30 15:46:25.319106
Epoch 12/5000, D_loss=0.429962, reward=-8.387783
Epoch: 12: 2022-04-30 15:46:52.850941
Epoch 13/5000, D_loss=0.431243, reward=-8.370199
Epoch: 13: 2022-04-30 15:47:20.104092
Epoch 14/5000, D_loss=0.431640, reward=-8.357603
Epoch: 14: 2022-04-30 15:47:48.487602
Epoch 15/5000, D_loss=0.427503, reward=-8.347226
Epoch: 15: 2022-04-30 15:48:16.710143
Epoch 16/5000, D_loss=0.428700, reward=-8.337547
Epoch: 16: 2022-04-30 15:48:44.481970
Epoch 17/5000, D_loss=0.426041, reward=-8.329836
Epoch: 17: 2022-04-30 15:49:11.825193
Epoch 18/5000, D_loss=0.426648, reward=-8.315048
Epoch: 18: 2022-04-30 15:49:39.649690
Epoch 19/5000, D_loss=0.424978, reward=-8.307816
Epoch: 19: 2022-04-30 15:50:08.165087
Epoch 20/5000, D_loss=0.424039, reward=-8.298266
Epoch: 20: 2022-04-30 15:50:36.606558
Epoch 21/5000, D_loss=0.423212, reward=-8.292806
Epoch: 21: 2022-04-30 15:51:05.385135
Epoch 22/5000, D_loss=0.421373, reward=-8.288455
Epoch: 22: 2022-04-30 15:51:33.467693
Epoch 23/5000, D_loss=0.419695, reward=-8.281299
Epoch: 23: 2022-04-30 15:52:02.043672
Epoch 24/5000, D_loss=0.418480, reward=-8.275114
Epoch: 24: 2022-04-30 15:52:30.385045
Epoch 25/5000, D_loss=0.417924, reward=-8.269510
Epoch: 25: 2022-04-30 15:52:58.297048
Epoch 26/5000, D_loss=0.417856, reward=-8.266469
Epoch: 26: 2022-04-30 15:53:27.156419
Epoch 27/5000, D_loss=0.416378, reward=-8.259894
Epoch: 27: 2022-04-30 15:53:54.881870
Epoch 28/5000, D_loss=0.416969, reward=-8.252338
Epoch: 28: 2022-04-30 15:54:23.180621
Epoch 29/5000, D_loss=0.415036, reward=-8.250192
Epoch: 29: 2022-04-30 15:54:51.631814
Epoch 30/5000, D_loss=0.414184, reward=-8.247887
Epoch: 30: 2022-04-30 15:55:18.834680
Epoch 31/5000, D_loss=0.414038, reward=-8.243747
Epoch: 31: 2022-04-30 15:55:46.279803
Epoch 32/5000, D_loss=0.413531, reward=-8.237983
Epoch: 32: 2022-04-30 15:56:15.230960
Epoch 33/5000, D_loss=0.412956, reward=-8.235605
Epoch: 33: 2022-04-30 15:56:43.641666
Epoch 34/5000, D_loss=0.410318, reward=-8.234224
Epoch: 34: 2022-04-30 15:57:12.463662
Epoch 35/5000, D_loss=0.409910, reward=-8.232602
Epoch: 35: 2022-04-30 15:57:41.641658
Epoch 36/5000, D_loss=0.410072, reward=-8.230591
Epoch: 36: 2022-04-30 15:58:11.228669
Epoch 37/5000, D_loss=0.407911, reward=-8.231490
Epoch: 37: 2022-04-30 15:58:40.789124
Epoch 38/5000, D_loss=0.408292, reward=-8.229742
Epoch: 38: 2022-04-30 15:59:08.822613
Epoch 39/5000, D_loss=0.406757, reward=-8.231671
Epoch: 39: 2022-04-30 15:59:37.540102
Epoch 40/5000, D_loss=0.405434, reward=-8.231421
Epoch: 40: 2022-04-30 16:00:06.180178
Epoch 41/5000, D_loss=0.404507, reward=-8.231446
Epoch: 41: 2022-04-30 16:00:35.672449
Epoch 42/5000, D_loss=0.405510, reward=-8.227143
Epoch: 42: 2022-04-30 16:01:05.073726
Epoch 43/5000, D_loss=0.404297, reward=-8.228305
Epoch: 43: 2022-04-30 16:01:33.565432
Epoch 44/5000, D_loss=0.403413, reward=-8.229780
Epoch: 44: 2022-04-30 16:02:02.958939
Epoch 45/5000, D_loss=0.401308, reward=-8.232835
Epoch: 45: 2022-04-30 16:02:33.241512
Epoch 46/5000, D_loss=0.402221, reward=-8.227300
Epoch: 46: 2022-04-30 16:03:01.371588
Epoch 47/5000, D_loss=0.399915, reward=-8.228335
Epoch: 47: 2022-04-30 16:03:29.553718
Epoch 48/5000, D_loss=0.399760, reward=-8.227445
Epoch: 48: 2022-04-30 16:03:59.548986
Epoch 49/5000, D_loss=0.399608, reward=-8.227336
Epoch: 49: 2022-04-30 16:04:28.887979
Epoch 50/5000, D_loss=0.398590, reward=-8.229950
Test_MRR=0.155491, Test_MR=1988.341302, Test_H@10=0.294395
Epoch: 50: 2022-04-30 16:16:20.652732
Epoch 51/5000, D_loss=0.399235, reward=-8.228078
Epoch: 51: 2022-04-30 16:16:50.110560
Epoch 52/5000, D_loss=0.397111, reward=-8.231931
Epoch: 52: 2022-04-30 16:17:17.827952
Epoch 53/5000, D_loss=0.398046, reward=-8.231751
Epoch: 53: 2022-04-30 16:17:45.556695
Epoch 54/5000, D_loss=0.397942, reward=-8.228936
Epoch: 54: 2022-04-30 16:18:13.889183
Epoch 55/5000, D_loss=0.395099, reward=-8.233569
Epoch: 55: 2022-04-30 16:18:42.068356
Epoch 56/5000, D_loss=0.395330, reward=-8.233042
Epoch: 56: 2022-04-30 16:19:10.838244
Epoch 57/5000, D_loss=0.395104, reward=-8.231628
Epoch: 57: 2022-04-30 16:19:39.461544
Epoch 58/5000, D_loss=0.393827, reward=-8.233438
Epoch: 58: 2022-04-30 16:20:07.231161
Epoch 59/5000, D_loss=0.393716, reward=-8.233993
Epoch: 59: 2022-04-30 16:20:36.200297
Epoch 60/5000, D_loss=0.393687, reward=-8.233935
Epoch: 60: 2022-04-30 16:21:05.369098
Epoch 61/5000, D_loss=0.393249, reward=-8.237464
Epoch: 61: 2022-04-30 16:21:33.742984
Epoch 62/5000, D_loss=0.392540, reward=-8.237185
Epoch: 62: 2022-04-30 16:22:02.000516
Epoch 63/5000, D_loss=0.391863, reward=-8.239057
Epoch: 63: 2022-04-30 16:22:30.342487
Epoch 64/5000, D_loss=0.391900, reward=-8.237469
Epoch: 64: 2022-04-30 16:22:58.535028
Epoch 65/5000, D_loss=0.391576, reward=-8.239532
Epoch: 65: 2022-04-30 16:23:27.038715
Epoch 66/5000, D_loss=0.391236, reward=-8.238710
Epoch: 66: 2022-04-30 16:23:55.835181
Epoch 67/5000, D_loss=0.391529, reward=-8.237686
Epoch: 67: 2022-04-30 16:24:24.360973
Epoch 68/5000, D_loss=0.390158, reward=-8.240148
Epoch: 68: 2022-04-30 16:24:52.907404
Epoch 69/5000, D_loss=0.389529, reward=-8.242196
Epoch: 69: 2022-04-30 16:25:20.818440
Epoch 70/5000, D_loss=0.387891, reward=-8.244808
Epoch: 70: 2022-04-30 16:25:47.732338
Epoch 71/5000, D_loss=0.389465, reward=-8.241948
Epoch: 71: 2022-04-30 16:26:15.772096
Epoch 72/5000, D_loss=0.387161, reward=-8.245852
Epoch: 72: 2022-04-30 16:26:44.412728
Epoch 73/5000, D_loss=0.386691, reward=-8.246898
Epoch: 73: 2022-04-30 16:27:11.241067
Epoch 74/5000, D_loss=0.387043, reward=-8.249159
Epoch: 74: 2022-04-30 16:27:39.033030
Epoch 75/5000, D_loss=0.388227, reward=-8.247269
Epoch: 75: 2022-04-30 16:28:07.371696
Epoch 76/5000, D_loss=0.387583, reward=-8.248601
Epoch: 76: 2022-04-30 16:28:35.250654
Epoch 77/5000, D_loss=0.385539, reward=-8.251100
Epoch: 77: 2022-04-30 16:29:03.173049
Epoch 78/5000, D_loss=0.385063, reward=-8.254104
Epoch: 78: 2022-04-30 16:29:30.825046
Epoch 79/5000, D_loss=0.385195, reward=-8.255566
Epoch: 79: 2022-04-30 16:29:59.760282
Epoch 80/5000, D_loss=0.385194, reward=-8.252478
Epoch: 80: 2022-04-30 16:30:27.916747
Epoch 81/5000, D_loss=0.384452, reward=-8.255141
Epoch: 81: 2022-04-30 16:30:56.080246
Epoch 82/5000, D_loss=0.384488, reward=-8.255923
Epoch: 82: 2022-04-30 16:31:24.977997
Epoch 83/5000, D_loss=0.384137, reward=-8.254023
Epoch: 83: 2022-04-30 16:31:52.894349
Epoch 84/5000, D_loss=0.382528, reward=-8.257953
Epoch: 84: 2022-04-30 16:32:20.826794
Epoch 85/5000, D_loss=0.383268, reward=-8.256223
Epoch: 85: 2022-04-30 16:32:48.178111
Epoch 86/5000, D_loss=0.383328, reward=-8.256652
Epoch: 86: 2022-04-30 16:33:16.094677
Epoch 87/5000, D_loss=0.382109, reward=-8.258371
Epoch: 87: 2022-04-30 16:33:43.011969
Epoch 88/5000, D_loss=0.381796, reward=-8.258674
Epoch: 88: 2022-04-30 16:34:10.075349
Epoch 89/5000, D_loss=0.382417, reward=-8.259106
Epoch: 89: 2022-04-30 16:34:38.217762
Epoch 90/5000, D_loss=0.382074, reward=-8.262012
Epoch: 90: 2022-04-30 16:35:05.893215
Epoch 91/5000, D_loss=0.382507, reward=-8.260732
Epoch: 91: 2022-04-30 16:35:33.837168
Epoch 92/5000, D_loss=0.380971, reward=-8.261695
