pretrain_config=TransE
g_config=ComplEx
d_config=TransD
test_batch_size=100
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-05-06 08:47:19.945976
Test_MRR=0.100625, Test_MR=1510.779004, Test_H@10=0.197611
Epoch: 0: 2022-05-06 08:58:49.586116
Epoch 1/5000, D_loss=0.463556, reward=-8.457659
Epoch: 1: 2022-05-06 08:59:33.044151
Epoch 2/5000, D_loss=0.451920, reward=-8.462647
Epoch: 2: 2022-05-06 09:00:13.663737
Epoch 3/5000, D_loss=0.444166, reward=-8.478246
Epoch: 3: 2022-05-06 09:00:54.681276
Epoch 4/5000, D_loss=0.440706, reward=-8.476018
Epoch: 4: 2022-05-06 09:01:35.636294
Epoch 5/5000, D_loss=0.438337, reward=-8.468481
Epoch: 5: 2022-05-06 09:02:16.460254
Epoch 6/5000, D_loss=0.438519, reward=-8.458610
Epoch: 6: 2022-05-06 09:02:56.899343
Epoch 7/5000, D_loss=0.437732, reward=-8.451948
Epoch: 7: 2022-05-06 09:03:36.585092
Epoch 8/5000, D_loss=0.438183, reward=-8.435906
Epoch: 8: 2022-05-06 09:04:16.196325
Epoch 9/5000, D_loss=0.436393, reward=-8.422351
Epoch: 9: 2022-05-06 09:04:55.346348
Epoch 10/5000, D_loss=0.434840, reward=-8.409190
Epoch: 10: 2022-05-06 09:05:36.175485
Epoch 11/5000, D_loss=0.435218, reward=-8.390919
Epoch: 11: 2022-05-06 09:06:16.576555
Epoch 12/5000, D_loss=0.433687, reward=-8.381897
Epoch: 12: 2022-05-06 09:06:57.147529
Epoch 13/5000, D_loss=0.432359, reward=-8.373782
Epoch: 13: 2022-05-06 09:07:38.649272
Epoch 14/5000, D_loss=0.431977, reward=-8.358769
Epoch: 14: 2022-05-06 09:08:19.435521
Epoch 15/5000, D_loss=0.428713, reward=-8.347667
Epoch: 15: 2022-05-06 09:08:59.910968
Epoch 16/5000, D_loss=0.427924, reward=-8.339666
Epoch: 16: 2022-05-06 09:09:39.433060
Epoch 17/5000, D_loss=0.428177, reward=-8.330936
