pretrain_config=TransE
g_config=ComplEx
d_config=TransE
test_batch_size=100
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-05-06 08:50:21.296832
Test_MRR=0.105025, Test_MR=959.292955, Test_H@10=0.216078
Epoch: 0: 2022-05-06 08:58:28.715919
Epoch 1/5000, D_loss=0.407612, reward=-7.746887
Epoch: 1: 2022-05-06 08:59:00.904342
Epoch 2/5000, D_loss=0.398861, reward=-7.762968
Epoch: 2: 2022-05-06 08:59:32.903239
Epoch 3/5000, D_loss=0.393852, reward=-7.769665
Epoch: 3: 2022-05-06 09:00:05.018178
Epoch 4/5000, D_loss=0.392061, reward=-7.769311
Epoch: 4: 2022-05-06 09:00:37.497410
Epoch 5/5000, D_loss=0.392905, reward=-7.766971
Epoch: 5: 2022-05-06 09:01:09.960324
Epoch 6/5000, D_loss=0.391241, reward=-7.768943
Epoch: 6: 2022-05-06 09:01:41.798615
Epoch 7/5000, D_loss=0.391608, reward=-7.765149
Epoch: 7: 2022-05-06 09:02:13.558127
Epoch 8/5000, D_loss=0.390825, reward=-7.765853
Epoch: 8: 2022-05-06 09:02:45.714228
Epoch 9/5000, D_loss=0.392822, reward=-7.761033
Epoch: 9: 2022-05-06 09:03:17.676285
Epoch 10/5000, D_loss=0.391646, reward=-7.759711
Epoch: 10: 2022-05-06 09:03:50.146450
Epoch 11/5000, D_loss=0.393618, reward=-7.759049
Epoch: 11: 2022-05-06 09:04:22.103603
Epoch 12/5000, D_loss=0.392859, reward=-7.757428
