pretrain_config=TransE
g_config=DistMult
d_config=TransE
test_batch_size=100
task.dir=yago3_10
task.type=link
adv.use_pretrained_models=True
adv.n_sample=20
adv.sample_type=original
adv.measure_type=entropy
adv.n_epoch=5000
adv.n_batch=100
adv.epoch_per_test=50
adv.temperature=1.0
TransE.dim=50
TransE.margin=3
TransE.p=1
TransE.n_epoch=1000
TransE.n_batch=200
TransE.epoch_per_test=50
TransE.model_file=transe.mdl
TransD.dim=50
TransD.margin=3
TransD.p=1
TransD.n_epoch=1000
TransD.n_batch=500
TransD.epoch_per_test=50
TransD.model_file=transd.mdl
DistMult.dim=50
DistMult.lam=0.1
DistMult.n_sample=20
DistMult.sample_freq=1
DistMult.n_epoch=1000
DistMult.n_batch=200
DistMult.epoch_per_test=50
DistMult.model_file=distmult.mdl
ComplEx.dim=25
ComplEx.lam=0.1
ComplEx.n_sample=20
ComplEx.sample_freq=1
ComplEx.n_epoch=1000
ComplEx.n_batch=200
ComplEx.epoch_per_test=50
ComplEx.model_file=complex.mdl
log.dump_config=False
log.log_train=True
log.log_config=True
log.dir=./logs
log.log_advtrain_graphs=True
log.log_pretrain_graph=True
log.graph_every_nth_epoch=10
2022-04-30 15:29:30.706049
Test_MRR=0.105025, Test_MR=959.292955, Test_H@10=0.216078
Epoch: 0: 2022-04-30 15:36:08.404554
Epoch 1/5000, D_loss=0.406268, reward=-7.747657
Epoch: 1: 2022-04-30 15:36:28.368053
Epoch 2/5000, D_loss=0.396930, reward=-7.761041
Epoch: 2: 2022-04-30 15:36:48.095918
Epoch 3/5000, D_loss=0.394130, reward=-7.765261
Epoch: 3: 2022-04-30 15:37:07.867168
Epoch 4/5000, D_loss=0.391932, reward=-7.767593
Epoch: 4: 2022-04-30 15:37:28.081725
Epoch 5/5000, D_loss=0.391264, reward=-7.766075
Epoch: 5: 2022-04-30 15:37:47.977479
Epoch 6/5000, D_loss=0.389952, reward=-7.764339
Epoch: 6: 2022-04-30 15:38:07.693129
Epoch 7/5000, D_loss=0.390921, reward=-7.762856
Epoch: 7: 2022-04-30 15:38:28.141211
Epoch 8/5000, D_loss=0.391429, reward=-7.758102
Epoch: 8: 2022-04-30 15:38:48.107929
Epoch 9/5000, D_loss=0.391674, reward=-7.756811
Epoch: 9: 2022-04-30 15:39:07.784944
Epoch 10/5000, D_loss=0.391227, reward=-7.756158
Epoch: 10: 2022-04-30 15:39:27.307763
Epoch 11/5000, D_loss=0.392352, reward=-7.752679
Epoch: 11: 2022-04-30 15:39:47.307169
Epoch 12/5000, D_loss=0.392679, reward=-7.751170
Epoch: 12: 2022-04-30 15:40:07.115885
Epoch 13/5000, D_loss=0.391448, reward=-7.751853
Epoch: 13: 2022-04-30 15:40:27.238239
Epoch 14/5000, D_loss=0.393716, reward=-7.748217
Epoch: 14: 2022-04-30 15:40:47.464898
Epoch 15/5000, D_loss=0.393139, reward=-7.750372
Epoch: 15: 2022-04-30 15:41:07.208563
Epoch 16/5000, D_loss=0.392761, reward=-7.750521
Epoch: 16: 2022-04-30 15:41:27.175363
Epoch 17/5000, D_loss=0.391623, reward=-7.754825
Epoch: 17: 2022-04-30 15:41:47.146495
Epoch 18/5000, D_loss=0.391871, reward=-7.752467
Epoch: 18: 2022-04-30 15:42:06.911971
Epoch 19/5000, D_loss=0.392990, reward=-7.751389
Epoch: 19: 2022-04-30 15:42:26.663767
Epoch 20/5000, D_loss=0.392744, reward=-7.754772
Epoch: 20: 2022-04-30 15:42:46.245220
Epoch 21/5000, D_loss=0.391501, reward=-7.756501
Epoch: 21: 2022-04-30 15:43:05.919713
Epoch 22/5000, D_loss=0.392598, reward=-7.757874
Epoch: 22: 2022-04-30 15:43:25.594329
Epoch 23/5000, D_loss=0.392115, reward=-7.759693
Epoch: 23: 2022-04-30 15:43:45.317807
Epoch 24/5000, D_loss=0.390763, reward=-7.764003
Epoch: 24: 2022-04-30 15:44:04.794983
Epoch 25/5000, D_loss=0.392400, reward=-7.762259
Epoch: 25: 2022-04-30 15:44:24.136919
Epoch 26/5000, D_loss=0.391507, reward=-7.766924
Epoch: 26: 2022-04-30 15:44:43.606142
Epoch 27/5000, D_loss=0.389873, reward=-7.772081
Epoch: 27: 2022-04-30 15:45:03.282866
Epoch 28/5000, D_loss=0.390211, reward=-7.773362
Epoch: 28: 2022-04-30 15:45:23.313324
Epoch 29/5000, D_loss=0.388495, reward=-7.777726
Epoch: 29: 2022-04-30 15:45:43.136958
Epoch 30/5000, D_loss=0.390312, reward=-7.777081
Epoch: 30: 2022-04-30 15:46:02.834671
Epoch 31/5000, D_loss=0.390223, reward=-7.780235
Epoch: 31: 2022-04-30 15:46:22.498349
Epoch 32/5000, D_loss=0.389411, reward=-7.784595
Epoch: 32: 2022-04-30 15:46:42.115787
